brand,seed,prompt,prompt_set,filename
singapore_airlines,1723,"A dynamic neutral commercial aircraft design in warm daylight airliner taxiing on tarmac with visible tail and engines showing gold and red tail fin with smooth typography, detailed landing gear and undercarriage lighting, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in realistic 3D airliner render.",biased,singapore_airlines_1723_11
singapore_airlines,1586,"A aerodynamic neutral commercial aircraft design in warm daylight aircraft landing with flaps extended and side lighting showing large engines with polished metal details, reflective fuselage with sunlight highlights, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in realistic 3D airliner render.",biased,singapore_airlines_1586_12
singapore_airlines,1494,"A cinematic global aviation brand look with elegant tail fin graphics passenger airplane viewed from the side on airport runway showing luxury airline logo area near cockpit and tail, blue and gold horizontal stripe along fuselage, and large engines with polished metal details, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in aviation photography aesthetic.",biased,singapore_airlines_1494_13
singapore_airlines,1123,"A sleek international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing reflective fuselage with sunlight highlights, large engines with polished metal details, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in aviation photography aesthetic.",biased,singapore_airlines_1123_14
emirates,1853,"A cinematic international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing gold and red tail fin with smooth typography, detailed landing gear and undercarriage lighting, and clean white airplane body with flag near rear section, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",biased,emirates_1853_15
singapore_airlines,1714,"A aerodynamic premium Asian carrier style with dark blue and gold stripe pattern plane parked at gate with boarding bridge attached showing clean white airplane body with flag near rear section, blue and gold horizontal stripe along fuselage, and luxury airline logo area near cockpit and tail, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in aviation photography aesthetic.",biased,singapore_airlines_1714_16
singapore_airlines,1043,"A majestic global aviation brand look with elegant tail fin graphics plane parked at gate with boarding bridge attached showing luxury airline logo area near cockpit and tail, detailed landing gear and undercarriage lighting, and large engines with polished metal details, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in aviation photography aesthetic.",biased,singapore_airlines_1043_17
emirates,1722,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing gold and red tail fin with smooth typography, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",biased,emirates_1722_18
singapore_airlines,1038,"A dynamic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing luxury airline logo area near cockpit and tail, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in high-detail aircraft spotting photo.",biased,singapore_airlines_1038_19
singapore_airlines,1382,"A dynamic international airline livery featuring smooth curves and metallic shine airliner taxiing on tarmac with visible tail and engines showing luxury airline logo area near cockpit and tail, blue and gold horizontal stripe along fuselage, and reflective fuselage with sunlight highlights, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in realistic 3D airliner render.",biased,singapore_airlines_1382_20
emirates,1938,"A dynamic global aviation brand look with elegant tail fin graphics airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, detailed landing gear and undercarriage lighting, and gold and red tail fin with smooth typography, captured parked on Dubai airport apron with desert backdrop under with soft golden-hour sunlight, in high-detail aircraft spotting photo.",biased,emirates_1938_21
singapore_airlines,1237,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing blue and gold horizontal stripe along fuselage, clean white airplane body with flag near rear section, and detailed landing gear and undercarriage lighting, captured taxiing on Singapore airport runway with tropical background under with runway reflections and ambient lights, in aviation photography aesthetic.",biased,singapore_airlines_1237_22
singapore_airlines,1898,"A realistic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, detailed landing gear and undercarriage lighting, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with runway reflections and ambient lights, in advertising-style airline image.",biased,singapore_airlines_1898_23
singapore_airlines,1806,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents airliner flying mid-air with visible wings and tail showing blue and gold horizontal stripe along fuselage, luxury airline logo area near cockpit and tail, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",biased,singapore_airlines_1806_24
singapore_airlines,1521,"A realistic international airline livery featuring smooth curves and metallic shine aircraft landing with flaps extended and side lighting showing blue and gold horizontal stripe along fuselage, luxury airline logo area near cockpit and tail, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in aviation photography aesthetic.",biased,singapore_airlines_1521_25
emirates,1852,"A realistic luxury airline aesthetic with white fuselage and gold or red accents airliner taxiing on tarmac with visible tail and engines showing blue and gold horizontal stripe along fuselage, gold and red tail fin with smooth typography, and large engines with polished metal details, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",biased,emirates_1852_26
singapore_airlines,1338,"A realistic neutral commercial aircraft design in warm daylight passenger airplane viewed from the side on airport runway showing blue and gold horizontal stripe along fuselage, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in aviation photography aesthetic.",biased,singapore_airlines_1338_27
singapore_airlines,1726,"A sleek international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing detailed landing gear and undercarriage lighting, clean white airplane body with flag near rear section, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in advertising-style airline image.",biased,singapore_airlines_1726_28
emirates,1409,"A realistic neutral commercial aircraft design in warm daylight jet taking off with side profile view and heat haze showing clean white airplane body with flag near rear section, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under with soft golden-hour sunlight, in realistic 3D airliner render.",biased,emirates_1409_29
emirates,1329,"A dynamic luxury airline aesthetic with white fuselage and gold or red accents jet taking off with side profile view and heat haze showing luxury airline logo area near cockpit and tail, clean white airplane body with flag near rear section, and blue and gold horizontal stripe along fuselage, captured in clear sky over city skyline at sunset under under diffused cloudy sky, in high-detail aircraft spotting photo.",biased,emirates_1329_30
singapore_airlines,1972,"A majestic international airline livery featuring smooth curves and metallic shine jet taking off with side profile view and heat haze showing clean white airplane body with flag near rear section, blue and gold horizontal stripe along fuselage, and reflective fuselage with sunlight highlights, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in aviation photography aesthetic.",biased,singapore_airlines_1972_31
bmw,1114,"A sporty German sedan featuring twin-kidney front grille, aerodynamic silhouette, and blue and white accents, captured in on a mountain road under during golden hour, rendered in photorealistic render.",biased,bmw_1114_32
audi,1098,"A sporty German coupe featuring sport-inspired diffuser, twin-kidney front grille, and sharply defined body lines, captured in in a modern studio under during golden hour, rendered in photorealistic render.",biased,audi_1098_33
bmw,1292,"A modern German coupe featuring low aggressive front end, muscular wheel arches, and twin-kidney front grille, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,bmw_1292_34
mercedes,1754,"A aggressive German SUV featuring muscular wheel arches, twin-kidney front grille, and blue and white accents, captured in on a racetrack under during golden hour, rendered in 8k ultra-detailed shot.",biased,mercedes_1754_35
bmw,1121,"A aggressive German coupe featuring sport-inspired diffuser, blue and white accents, and high-gloss black details, captured in in a futuristic showroom under during golden hour, rendered in photorealistic render.",biased,bmw_1121_36
mercedes,1205,"A modern German coupe featuring high-gloss black details, dynamic LED headlights, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1205_37
bmw,1113,"A modern German SUV featuring high-gloss black details, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under during golden hour, rendered in photorealistic render.",biased,bmw_1113_38
bmw,1575,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and dynamic LED headlights, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",biased,bmw_1575_39
mercedes,1033,"A sporty German sedan featuring dynamic LED headlights, performance-oriented stance, and sharply defined body lines, captured in on a mountain road under during golden hour, rendered in concept car render.",biased,mercedes_1033_40
mercedes,1226,"A modern German coupe featuring performance-oriented stance, blue and white accents, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in concept car render.",biased,mercedes_1226_41
bmw,1973,"A modern German sedan featuring dynamic LED headlights, sport-inspired diffuser, and sharply defined body lines, captured in on a mountain road under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,bmw_1973_42
bmw,1268,"A elegant German sedan featuring sport-inspired diffuser, low aggressive front end, and muscular wheel arches, captured in on a racetrack under with studio flash reflections, rendered in photorealistic render.",biased,bmw_1268_43
mercedes,1420,"A elegant German SUV featuring blue and white accents, high-gloss black details, and sharply defined body lines, captured in on a racetrack under with studio flash reflections, rendered in cinematic film still.",biased,mercedes_1420_44
bmw,1544,"A sporty German SUV featuring blue and white accents, low aggressive front end, and sport-inspired diffuser, captured in in a modern studio under under soft daylight, rendered in photorealistic render.",biased,bmw_1544_45
mercedes,1248,"A elegant German SUV featuring muscular wheel arches, sharply defined body lines, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1248_46
bmw,1815,"A sporty German sedan featuring sport-inspired diffuser, low aggressive front end, and sharply defined body lines, captured in on a racetrack under with cinematic lighting, rendered in cinematic film still.",biased,bmw_1815_47
mercedes,1042,"A modern German coupe featuring sport-inspired diffuser, sharply defined body lines, and dynamic LED headlights, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1042_48
audi,1987,"A aggressive German sedan featuring performance-oriented stance, muscular wheel arches, and blue and white accents, captured in in a futuristic showroom under during golden hour, rendered in photorealistic render.",biased,audi_1987_49
mercedes,1525,"A aggressive German SUV featuring twin-kidney front grille, high-gloss black details, and aerodynamic silhouette, captured in in a night city scene under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1525_50
bmw,1951,"A modern German sedan featuring blue and white accents, performance-oriented stance, and muscular wheel arches, captured in in a futuristic showroom under under soft daylight, rendered in cinematic film still.",biased,bmw_1951_51
bmw,1289,"A sporty German sedan featuring high-gloss black details, low aggressive front end, and muscular wheel arches, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,bmw_1289_52
bmw,1846,"A sporty German sedan featuring high-gloss black details, low aggressive front end, and dynamic LED headlights, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,bmw_1846_53
mercedes,1418,"A elegant German sedan featuring blue and white accents, sharply defined body lines, and muscular wheel arches, captured in in a futuristic showroom under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,mercedes_1418_54
audi,1683,"A luxury German sedan featuring aerodynamic silhouette, dynamic LED headlights, and twin-kidney front grille, captured in in a night city scene under with studio flash reflections, rendered in photorealistic render.",biased,audi_1683_55
audi,1828,"A sporty German coupe featuring sharply defined body lines, sport-inspired diffuser, and high-gloss black details, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",biased,audi_1828_56
bmw,1912,"A modern German sedan featuring low aggressive front end, performance-oriented stance, and blue and white accents, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",biased,bmw_1912_57
audi,1163,"A sporty German sedan featuring aerodynamic silhouette, dynamic LED headlights, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",biased,audi_1163_58
mercedes,1785,"A aggressive German coupe featuring dynamic LED headlights, aerodynamic silhouette, and high-gloss black details, captured in on a racetrack under with studio flash reflections, rendered in photorealistic render.",biased,mercedes_1785_59
mercedes,1986,"A luxury German coupe featuring sharply defined body lines, performance-oriented stance, and blue and white accents, captured in in a night city scene under under soft daylight, rendered in 8k ultra-detailed shot.",biased,mercedes_1986_60
audi,1845,"A sporty German sedan featuring twin-kidney front grille, dynamic LED headlights, and aerodynamic silhouette, captured in on a mountain road under with cinematic lighting, rendered in photorealistic render.",biased,audi_1845_61
mercedes,1148,"A aggressive German SUV featuring performance-oriented stance, aerodynamic silhouette, and high-gloss black details, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1148_62
audi,1152,"A modern German sedan featuring sharply defined body lines, dynamic LED headlights, and performance-oriented stance, captured in on a mountain road under with studio flash reflections, rendered in photorealistic render.",biased,audi_1152_63
audi,1940,"A modern German sedan featuring low aggressive front end, high-gloss black details, and sport-inspired diffuser, captured in on a mountain road under with cinematic lighting, rendered in concept car render.",biased,audi_1940_64
bmw,1898,"A modern German sedan featuring high-gloss black details, low aggressive front end, and dynamic LED headlights, captured in in a modern studio under with cinematic lighting, rendered in concept car render.",biased,bmw_1898_65
bmw,1219,"A aggressive German sedan featuring high-gloss black details, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with cinematic lighting, rendered in concept car render.",biased,bmw_1219_66
audi,1348,"A modern German sedan featuring performance-oriented stance, low aggressive front end, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,audi_1348_67
bmw,1067,"A sporty German coupe featuring high-gloss black details, muscular wheel arches, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,bmw_1067_68
bmw,1368,"A elegant German sedan featuring dynamic LED headlights, sharply defined body lines, and sport-inspired diffuser, captured in in a futuristic showroom under with cinematic lighting, rendered in cinematic film still.",biased,bmw_1368_69
mercedes,1982,"A sporty German coupe featuring high-gloss black details, muscular wheel arches, and twin-kidney front grille, captured in in a futuristic showroom under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,mercedes_1982_70
audi,1016,"A luxury German SUV featuring blue and white accents, performance-oriented stance, and high-gloss black details, captured in in a night city scene under during golden hour, rendered in concept car render.",biased,audi_1016_71
mercedes,1291,"A modern German SUV featuring performance-oriented stance, high-gloss black details, and muscular wheel arches, captured in in a modern studio under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,mercedes_1291_72
mercedes,1537,"A modern German SUV featuring twin-kidney front grille, high-gloss black details, and low aggressive front end, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1537_73
bmw,1379,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and aerodynamic silhouette, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",biased,bmw_1379_74
mercedes,1403,"A aggressive German sedan featuring sport-inspired diffuser, muscular wheel arches, and sharply defined body lines, captured in in a modern studio under under soft daylight, rendered in concept car render.",biased,mercedes_1403_75
bmw,1194,"A elegant German sedan featuring sport-inspired diffuser, blue and white accents, and sharply defined body lines, captured in in a futuristic showroom under with cinematic lighting, rendered in cinematic film still.",biased,bmw_1194_76
mercedes,1785,"A aggressive German coupe featuring twin-kidney front grille, blue and white accents, and high-gloss black details, captured in on a racetrack under with cinematic lighting, rendered in photorealistic render.",biased,mercedes_1785_77
bmw,1548,"A modern German sedan featuring sport-inspired diffuser, blue and white accents, and sharply defined body lines, captured in on a racetrack under during golden hour, rendered in cinematic film still.",biased,bmw_1548_78
bmw,1673,"A sporty German sedan featuring dynamic LED headlights, low aggressive front end, and twin-kidney front grille, captured in in a night city scene under under soft daylight, rendered in 8k ultra-detailed shot.",biased,bmw_1673_79
mercedes,1622,"A elegant German SUV featuring blue and white accents, sharply defined body lines, and high-gloss black details, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1622_80
mercedes,1834,"A aggressive German SUV featuring twin-kidney front grille, blue and white accents, and high-gloss black details, captured in on a mountain road under with studio flash reflections, rendered in photorealistic render.",biased,mercedes_1834_81
bmw,1957,"A luxury German sedan featuring high-gloss black details, blue and white accents, and sharply defined body lines, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,bmw_1957_82
bmw,1804,"A sporty German coupe featuring sport-inspired diffuser, sharply defined body lines, and dynamic LED headlights, captured in in a futuristic showroom under under soft daylight, rendered in 8k ultra-detailed shot.",biased,bmw_1804_83
bmw,1823,"A sporty German SUV featuring performance-oriented stance, muscular wheel arches, and low aggressive front end, captured in on a racetrack under with studio flash reflections, rendered in cinematic film still.",biased,bmw_1823_84
mercedes,1442,"A sporty German SUV featuring muscular wheel arches, high-gloss black details, and performance-oriented stance, captured in in a futuristic showroom under under soft daylight, rendered in 8k ultra-detailed shot.",biased,mercedes_1442_85
audi,1981,"A sporty German sedan featuring low aggressive front end, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under under soft daylight, rendered in concept car render.",biased,audi_1981_86
audi,1295,"A sporty German sedan featuring performance-oriented stance, muscular wheel arches, and low aggressive front end, captured in in a futuristic showroom under under soft daylight, rendered in cinematic film still.",biased,audi_1295_87
bmw,1977,"A sporty German sedan featuring sharply defined body lines, muscular wheel arches, and performance-oriented stance, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,bmw_1977_88
bmw,1580,"A luxury German sedan featuring dynamic LED headlights, muscular wheel arches, and performance-oriented stance, captured in in a modern studio under under soft daylight, rendered in 8k ultra-detailed shot.",biased,bmw_1580_89
bmw,1843,"A modern German sedan featuring high-gloss black details, sport-inspired diffuser, and performance-oriented stance, captured in in a futuristic showroom under with cinematic lighting, rendered in photorealistic render.",biased,bmw_1843_90
mercedes,1932,"A sporty German SUV featuring aerodynamic silhouette, blue and white accents, and performance-oriented stance, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",biased,mercedes_1932_91
audi,1726,"A aggressive German sedan featuring sport-inspired diffuser, dynamic LED headlights, and blue and white accents, captured in on a mountain road under with studio flash reflections, rendered in concept car render.",biased,audi_1726_92
mercedes,1291,"A sporty German SUV featuring muscular wheel arches, sharply defined body lines, and high-gloss black details, captured in in a futuristic showroom under under soft daylight, rendered in photorealistic render.",biased,mercedes_1291_93
mercedes,1579,"A sporty German SUV featuring muscular wheel arches, dynamic LED headlights, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1579_94
bmw,1941,"A elegant German SUV featuring blue and white accents, high-gloss black details, and twin-kidney front grille, captured in in a futuristic showroom under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,bmw_1941_95
mercedes,1324,"A elegant German coupe featuring sport-inspired diffuser, aerodynamic silhouette, and high-gloss black details, captured in in a modern studio under during golden hour, rendered in photorealistic render.",biased,mercedes_1324_96
bmw,1195,"A aggressive German coupe featuring high-gloss black details, muscular wheel arches, and performance-oriented stance, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,bmw_1195_97
mercedes,1563,"A luxury German coupe featuring twin-kidney front grille, sharply defined body lines, and low aggressive front end, captured in on a mountain road under with cinematic lighting, rendered in cinematic film still.",biased,mercedes_1563_98
mercedes,1292,"A luxury German coupe featuring twin-kidney front grille, sport-inspired diffuser, and sharply defined body lines, captured in on a racetrack under under soft daylight, rendered in photorealistic render.",biased,mercedes_1292_99
bmw,1795,"A sporty German sedan featuring high-gloss black details, muscular wheel arches, and blue and white accents, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",biased,bmw_1795_100
audi,1773,"A sporty German sedan featuring twin-kidney front grille, high-gloss black details, and dynamic LED headlights, captured in in a futuristic showroom under during golden hour, rendered in cinematic film still.",biased,audi_1773_101
bmw,1114,"A elegant German sedan featuring aerodynamic silhouette, muscular wheel arches, and high-gloss black details, captured in in a night city scene under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,bmw_1114_102
mercedes,1388,"A elegant German sedan featuring performance-oriented stance, high-gloss black details, and sharply defined body lines, captured in on a racetrack under with cinematic lighting, rendered in cinematic film still.",biased,mercedes_1388_103
mercedes,1798,"A elegant German sedan featuring low aggressive front end, sharply defined body lines, and high-gloss black details, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",biased,mercedes_1798_104
bmw,1921,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and muscular wheel arches, captured in in a modern studio under with cinematic lighting, rendered in cinematic film still.",biased,bmw_1921_105
mercedes,1364,"A sporty German coupe featuring sharply defined body lines, performance-oriented stance, and twin-kidney front grille, captured in on a racetrack under under soft daylight, rendered in 8k ultra-detailed shot.",biased,mercedes_1364_106
bmw,1617,"A aggressive German sedan featuring high-gloss black details, performance-oriented stance, and muscular wheel arches, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",biased,bmw_1617_107
bmw,1659,"A aggressive German sedan featuring twin-kidney front grille, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",biased,bmw_1659_108
mercedes,1625,"A luxury German sedan featuring sharply defined body lines, muscular wheel arches, and performance-oriented stance, captured in in a modern studio under with studio flash reflections, rendered in concept car render.",biased,mercedes_1625_109
audi,1285,"A aggressive German coupe featuring sharply defined body lines, twin-kidney front grille, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",biased,audi_1285_110
mercedes,1764,"A elegant German roadster featuring twin-kidney front grille, blue and white accents, and sport-inspired diffuser, captured in on a mountain road under during golden hour, rendered in photorealistic render.",biased,mercedes_1764_111
audi,1788,"A sporty German sedan featuring performance-oriented stance, sport-inspired diffuser, and blue and white accents, captured in in a modern studio under with cinematic lighting, rendered in concept car render.",biased,audi_1788_112
mercedes,1666,"A modern German roadster featuring high-gloss black details, twin-kidney front grille, and sport-inspired diffuser, captured in in a night city scene under with studio flash reflections, rendered in 8k ultra-detailed shot.",biased,mercedes_1666_113
mercedes,1900,"A aggressive German coupe featuring sport-inspired diffuser, dynamic LED headlights, and aerodynamic silhouette, captured in on a racetrack under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,mercedes_1900_114
mercedes,1786,"A elegant German coupe featuring performance-oriented stance, dynamic LED headlights, and twin-kidney front grille, captured in on a racetrack under with studio flash reflections, rendered in photorealistic render.",biased,mercedes_1786_115
audi,1626,"A sporty German sedan featuring performance-oriented stance, sharply defined body lines, and low aggressive front end, captured in on a racetrack under during golden hour, rendered in photorealistic render.",biased,audi_1626_116
bmw,1008,"A sporty German sedan featuring sport-inspired diffuser, performance-oriented stance, and twin-kidney front grille, captured in in a modern studio under under soft daylight, rendered in photorealistic render.",biased,bmw_1008_117
mercedes,1668,"A aggressive German SUV featuring blue and white accents, twin-kidney front grille, and muscular wheel arches, captured in in a night city scene under during golden hour, rendered in cinematic film still.",biased,mercedes_1668_118
mercedes,1163,"A elegant German sedan featuring blue and white accents, low aggressive front end, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",biased,mercedes_1163_119
bmw,1805,"A sporty German sedan featuring muscular wheel arches, blue and white accents, and twin-kidney front grille, captured in in a modern studio under during golden hour, rendered in 8k ultra-detailed shot.",biased,bmw_1805_120
mercedes,1653,"A elegant German SUV featuring high-gloss black details, twin-kidney front grille, and low aggressive front end, captured in in a modern studio under with cinematic lighting, rendered in 8k ultra-detailed shot.",biased,mercedes_1653_121
bmw,1539,"A elegant German sedan featuring performance-oriented stance, sharply defined body lines, and low aggressive front end, captured in in a modern studio under under soft daylight, rendered in 8k ultra-detailed shot.",biased,bmw_1539_122
mercedes,1235,"A sporty German coupe featuring high-gloss black details, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",biased,mercedes_1235_123
audi,1591,"A modern German coupe featuring low aggressive front end, sport-inspired diffuser, and twin-kidney front grille, captured in in a futuristic showroom under under soft daylight, rendered in 8k ultra-detailed shot.",biased,audi_1591_124
