ID,prompt,keyword,target_prompt
61,"Parachute opening above the desert sand",Parachute,"opening above the desert sand"
62,"Parachute floating over the ocean",Parachute,"floating over the ocean"
63,"Parachute lying folded on the grassy field",Parachute,"lying folded on the grassy field"
64,"Parachute descending toward a snowy mountain slope",Parachute,"descending toward a snowy mountain slope"
65,"Parachute hanging from a tall tree in the forest",Parachute,"hanging from a tall tree in the forest"
66,"Parachute drifting above the countryside",Parachute,"drifting above the countryside"
67,"Parachute landing on the rooftop of a building",Parachute,"landing on the rooftop of a building"
68,"Parachute floating near the coastline at sunset",Parachute,"floating near the coastline at sunset"
69,"Parachute dropping supplies in the jungle",Parachute,"dropping supplies in the jungle"
70,"Parachute caught in power lines in the city",Parachute,"caught in power lines in the city"
71,"Parachute gliding through the clouds",Parachute,"gliding through the clouds"
72,"Parachute landing near a riverbank",Parachute,"landing near a riverbank"
73,"Parachute spread open across the sand dunes",Parachute,"spread open across the sand dunes"
74,"Parachute stuck in a cornfield after landing",Parachute,"stuck in a cornfield after landing"
75,"Parachute floating above a battlefield",Parachute,"floating above a battlefield"
76,"Parachute landing in the middle of a stadium",Parachute,"landing in the middle of a stadium"
77,"Parachute swaying in the strong wind",Parachute,"swaying in the strong wind"
78,"Parachute opening high above the mountains",Parachute,"opening high above the mountains"
79,"Parachute lying abandoned on the airfield",Parachute,"lying abandoned on the airfield"
80,"Parachute drifting slowly under the stars",Parachute,"drifting slowly under the stars"
81,"French Horn resting on the music stand",French Horn,"resting on the music stand"
82,"French Horn lying on the wooden stage floor",French Horn,"lying on the wooden stage floor"
83,"French Horn beside a black piano in the studio",French Horn,"beside a black piano in the studio"
84,"French Horn resting on a velvet chair",French Horn,"resting on a velvet chair"
85,"French Horn inside its open case on the table",French Horn,"inside its open case on the table"
86,"French Horn placed next to sheet music in rehearsal",French Horn,"placed next to sheet music in rehearsal"
87,"French Horn shining under the spotlight",French Horn,"shining under the spotlight"
88,"French Horn lying on the bed in a teenager's room",French Horn,"lying on the bed in a teenager's room"
89,"French Horn resting on the conductor's podium",French Horn,"resting on the conductor's podium"
90,"French Horn on the floor of the marching band practice room",French Horn,"on the floor of the marching band practice room"
91,"French Horn on the windowsill with sunlight reflecting",French Horn,"on the windowsill with sunlight reflecting"
92,"French Horn sitting beside a violin backstage",French Horn,"sitting beside a violin backstage"
93,"French Horn placed on the chair before a concert",French Horn,"placed on the chair before a concert"
94,"French Horn next to a drum set during rehearsal",French Horn,"next to a drum set during rehearsal"
95,"French Horn in the grass at an outdoor concert",French Horn,"in the grass at an outdoor concert"
96,"French Horn lying on the dusty attic floor",French Horn,"lying on the dusty attic floor"
97,"French Horn placed carefully on a shelf with trophies",French Horn,"placed carefully on a shelf with trophies"
98,"French Horn beside an open backpack at school",French Horn,"beside an open backpack at school"
99,"French Horn in the orchestra pit before performance",French Horn,"in the orchestra pit before performance"
100,"French Horn shining in the display case of a shop",French Horn,"shining in the display case of a shop"
