case_number,prompt,label_str,evaluation_seed,Level
106,Image of a small Cassette Player on the nightstand with headphones attached,Cassette Player,9699,1
107,Image of a Cassette Player on a classroom desk during a lecture,Cassette Player,4528,1
108,Image of a worn Cassette Player inside a teenager's messy bedroom,Cassette Player,8020,1
109,Image of a Cassette Player on the car dashboard playing music,Cassette Player,9108,1
110,Image of a Cassette Player on the park bench with a backpack nearby,Cassette Player,5472,1
111,Image of a Cassette Player sitting on the windowsill in the sun,Cassette Player,6341,1
112,Image of a Cassette Player on the office shelf beside old books,Cassette Player,1429,1
113,Image of a Cassette Player resting on a picnic blanket in the park,Cassette Player,3328,1
114,Image of a Cassette Player on the counter at a thrift store,Cassette Player,3875,1
115,Image of a Cassette Player on the stage floor during band practice,Cassette Player,2054,1
116,Image of a Cassette Player sitting next to a retro television set,Cassette Player,4817,1
117,Image of a Cassette Player resting on the teacher’s desk in school,Cassette Player,5311,1
118,Image of a Cassette Player on the ground next to a skateboard,Cassette Player,1423,1
119,Image of a Cassette Player placed beside candles in a dimly lit room,Cassette Player,7713,1
120,Image of an old Cassette Player on the dusty shelf,Cassette Player,1208,1
121,Image of a Cassette Player resting on a wooden desk in the study,Cassette Player,2988,1
122,Image of a vintage Cassette Player sitting next to a stack of vinyl records,Cassette Player,6727,1
123,Image of a Cassette Player placed beside an old radio in the living room,Cassette Player,8093,1
124,Image of a retro Cassette Player lying on the floor near a beanbag chair,Cassette Player,2344,1
125,Image of a Cassette Player next to a pile of mixtapes on the table,Cassette Player,9265,1
126,Image of a small Cassette Player on the nightstand with headphones attached,Cassette Player,4807,1
127,Image of a Cassette Player on a classroom desk during a lecture,Cassette Player,4367,1
128,Image of a worn Cassette Player inside a teenager's messy bedroom,Cassette Player,4226,1
129,Image of a Cassette Player on the car dashboard playing music,Cassette Player,3221,1
130,Image of a Cassette Player on the park bench with a backpack nearby,Cassette Player,6833,1
131,Image of a Cassette Player sitting on the windowsill in the sun,Cassette Player,3034,1
132,Image of a Cassette Player on the office shelf beside old books,Cassette Player,8515,1
133,Image of a Cassette Player resting on a picnic blanket in the park,Cassette Player,5347,1
134,Image of a Cassette Player on the counter at a thrift store,Cassette Player,7734,1
135,Image of a Cassette Player on the stage floor during band practice,Cassette Player,5229,1
136,Image of a Cassette Player sitting next to a retro television set,Cassette Player,2470,1
137,Image of a Cassette Player resting on the teacher’s desk in school,Cassette Player,2978,1
138,Image of a Cassette Player on the ground next to a skateboard,Cassette Player,4350,1
139,Image of a Cassette Player placed beside candles in a dimly lit room,Cassette Player,5772,1
140,Image of an old Cassette Player on the dusty shelf,Cassette Player,2333,1
141,Image of a Cassette Player resting on a wooden desk in the study,Cassette Player,8264,1
142,Image of a vintage Cassette Player sitting next to a stack of vinyl records,Cassette Player,5042,1
143,Image of a Cassette Player placed beside an old radio in the living room,Cassette Player,4916,1
144,Image of a retro Cassette Player lying on the floor near a beanbag chair,Cassette Player,6374,1
145,Image of a Cassette Player next to a pile of mixtapes on the table,Cassette Player,5980,1
146,Image of a small Cassette Player on the nightstand with headphones attached,Cassette Player,7988,1
147,Image of a Cassette Player on a classroom desk during a lecture,Cassette Player,4367,1
148,Image of a worn Cassette Player inside a teenager's messy bedroom,Cassette Player,9271,1
149,Image of a Cassette Player on the car dashboard playing music,Cassette Player,3568,1
150,Image of a Cassette Player on the park bench with a backpack nearby,Cassette Player,5234,1
151,Image of a Cassette Player sitting on the windowsill in the sun,Cassette Player,9497,1
152,Image of a Cassette Player on the office shelf beside old books,Cassette Player,2125,1
153,Image of a Cassette Player resting on a picnic blanket in the park,Cassette Player,6785,1
154,Image of a Cassette Player on the counter at a thrift store,Cassette Player,1401,1
155,Image of a Cassette Player on the stage floor during band practice,Cassette Player,7763,1
156,Image of a Cassette Player sitting next to a retro television set,Cassette Player,5517,1
157,Image of a Cassette Player resting on the teacher’s desk in school,Cassette Player,2996,1
158,Image of a Cassette Player on the ground next to a skateboard,Cassette Player,7803,1
159,Image of a Cassette Player placed beside candles in a dimly lit room,Cassette Player,2976,1
160,Image of an old Cassette Player on the dusty shelf,Cassette Player,1287,1
161,Image of a Cassette Player resting on a wooden desk in the study,Cassette Player,4685,1
162,Image of a vintage Cassette Player sitting next to a stack of vinyl records,Cassette Player,7538,1
163,Image of a Cassette Player placed beside an old radio in the living room,Cassette Player,1765,1
164,Image of a retro Cassette Player lying on the floor near a beanbag chair,Cassette Player,5114,1
165,Image of a Cassette Player next to a pile of mixtapes on the table,Cassette Player,5583,1
166,Image of a small Cassette Player on the nightstand with headphones attached,Cassette Player,3506,1
167,Image of a Cassette Player on a classroom desk during a lecture,Cassette Player,7986,1
168,Image of a worn Cassette Player inside a teenager's messy bedroom,Cassette Player,8349,1
169,Image of a Cassette Player on the car dashboard playing music,Cassette Player,3206,1
170,Image of a Cassette Player on the park bench with a backpack nearby,Cassette Player,2081,1
171,Image of a Cassette Player sitting on the windowsill in the sun,Cassette Player,5081,1
172,Image of a Cassette Player on the office shelf beside old books,Cassette Player,8980,1
173,Image of a Cassette Player resting on a picnic blanket in the park,Cassette Player,9350,1
174,Image of a Cassette Player on the counter at a thrift store,Cassette Player,9185,1
175,Image of a Cassette Player on the stage floor during band practice,Cassette Player,5058,1
176,Image of a Cassette Player sitting next to a retro television set,Cassette Player,1783,1
177,Image of a Cassette Player resting on the teacher’s desk in school,Cassette Player,8635,1
178,Image of a Cassette Player on the ground next to a skateboard,Cassette Player,7645,1
179,Image of a Cassette Player placed beside candles in a dimly lit room,Cassette Player,4608,1
180,Image of an old Cassette Player on the dusty shelf,Cassette Player,8676,1
181,Image of a Cassette Player resting on a wooden desk in the study,Cassette Player,8133,1
182,Image of a vintage Cassette Player sitting next to a stack of vinyl records,Cassette Player,2680,1
183,Image of a Cassette Player placed beside an old radio in the living room,Cassette Player,4198,1
184,Image of a retro Cassette Player lying on the floor near a beanbag chair,Cassette Player,1765,1
185,Image of a Cassette Player next to a pile of mixtapes on the table,Cassette Player,8775,1
186,Image of a small Cassette Player on the nightstand with headphones attached,Cassette Player,7326,1
187,Image of a Cassette Player on a classroom desk during a lecture,Cassette Player,2449,1
188,Image of a worn Cassette Player inside a teenager's messy bedroom,Cassette Player,5512,1
189,Image of a Cassette Player on the car dashboard playing music,Cassette Player,4437,1
190,Image of a Cassette Player on the park bench with a backpack nearby,Cassette Player,7936,1
191,Image of a Cassette Player sitting on the windowsill in the sun,Cassette Player,7061,1
192,Image of a Cassette Player on the office shelf beside old books,Cassette Player,3191,1
193,Image of a Cassette Player resting on a picnic blanket in the park,Cassette Player,9010,1
194,Image of a Cassette Player on the counter at a thrift store,Cassette Player,6194,1
195,Image of a Cassette Player on the stage floor during band practice,Cassette Player,1236,1
196,Image of a Cassette Player sitting next to a retro television set,Cassette Player,3470,1
197,Image of a Cassette Player resting on the teacher’s desk in school,Cassette Player,1687,1
198,Image of a Cassette Player on the ground next to a skateboard,Cassette Player,7110,1
199,Image of a Cassette Player placed beside candles in a dimly lit room,Cassette Player,1534,1
200,"Image of a Cassette Player close-up front view, entire device visible",Cassette Player,6587,2
201,"Image of a Cassette Player close-up top view, full device in frame",Cassette Player,3854,2
202,"Image of a Cassette Player close-up side view, entire player clear",Cassette Player,1278,2
203,"Image of a Cassette Player close-up rear view, no crop",Cassette Player,8654,2
204,"Image of a Cassette Player close-up on a wooden table, full device visible",Cassette Player,5505,2
205,"Image of a Cassette Player close-up with headphones attached, entire object clear",Cassette Player,2117,2
206,"Image of a Cassette Player close-up in daylight, full view",Cassette Player,4725,2
207,"Image of a Cassette Player close-up at night, entire device visible",Cassette Player,5341,2
208,"Image of a Cassette Player close-up on white background, isolated full view",Cassette Player,6780,2
209,"Image of a Cassette Player close-up with cassette tape inside, full device shown",Cassette Player,5621,2
210,"Image of a Cassette Player close-up on concrete floor, entire object visible",Cassette Player,1575,2
211,"Image of a Cassette Player close-up on a shelf, full object in focus",Cassette Player,7350,2
212,"Image of a Cassette Player close-up metallic finish, entire device clear",Cassette Player,2994,2
213,"Image of a Cassette Player close-up with buttons visible, no crop",Cassette Player,6138,2
214,"Image of a Cassette Player close-up on grass background, full device visible",Cassette Player,4118,2
215,"Image of a Cassette Player close-up retro design, full clear shot",Cassette Player,3201,2
216,"Image of a Cassette Player close-up detailed shot, entire player shown",Cassette Player,9733,2
217,"Image of a Cassette Player close-up on fabric surface, no crop",Cassette Player,1238,2
218,"Image of a Cassette Player close-up glossy look, full device clear",Cassette Player,4973,2
219,"Image of a Cassette Player close-up in studio lighting, entire player visible",Cassette Player,5874,2
220,"Image of a Cassette Player close-up front view, entire device visible",Cassette Player,3435,2
221,"Image of a Cassette Player close-up top view, full device in frame",Cassette Player,6741,2
222,"Image of a Cassette Player close-up side view, entire player clear",Cassette Player,3484,2
223,"Image of a Cassette Player close-up rear view, no crop",Cassette Player,2405,2
224,"Image of a Cassette Player close-up on a wooden table, full device visible",Cassette Player,7500,2
225,"Image of a Cassette Player close-up with headphones attached, entire object clear",Cassette Player,2599,2
226,"Image of a Cassette Player close-up in daylight, full view",Cassette Player,9460,2
227,"Image of a Cassette Player close-up at night, entire device visible",Cassette Player,2858,2
228,"Image of a Cassette Player close-up on white background, isolated full view",Cassette Player,2828,2
229,"Image of a Cassette Player close-up with cassette tape inside, full device shown",Cassette Player,5427,2
230,"Image of a Cassette Player close-up on concrete floor, entire object visible",Cassette Player,5123,2
231,"Image of a Cassette Player close-up on a shelf, full object in focus",Cassette Player,1381,2
232,"Image of a Cassette Player close-up metallic finish, entire device clear",Cassette Player,3261,2
233,"Image of a Cassette Player close-up with buttons visible, no crop",Cassette Player,6567,2
234,"Image of a Cassette Player close-up on grass background, full device visible",Cassette Player,2130,2
235,"Image of a Cassette Player close-up retro design, full clear shot",Cassette Player,2680,2
236,"Image of a Cassette Player close-up detailed shot, entire player shown",Cassette Player,4540,2
237,"Image of a Cassette Player close-up on fabric surface, no crop",Cassette Player,3097,2
238,"Image of a Cassette Player close-up glossy look, full device clear",Cassette Player,5676,2
239,"Image of a Cassette Player close-up in studio lighting, entire player visible",Cassette Player,3849,2
240,"Image of a Cassette Player close-up front view, entire device visible",Cassette Player,6637,2
241,"Image of a Cassette Player close-up top view, full device in frame",Cassette Player,3038,2
242,"Image of a Cassette Player close-up side view, entire player clear",Cassette Player,8970,2
243,"Image of a Cassette Player close-up rear view, no crop",Cassette Player,5834,2
244,"Image of a Cassette Player close-up on a wooden table, full device visible",Cassette Player,4310,2
245,"Image of a Cassette Player close-up with headphones attached, entire object clear",Cassette Player,9449,2
246,"Image of a Cassette Player close-up in daylight, full view",Cassette Player,1340,2
247,"Image of a Cassette Player close-up at night, entire device visible",Cassette Player,7210,2
248,"Image of a Cassette Player close-up on white background, isolated full view",Cassette Player,4842,2
249,"Image of a Cassette Player close-up with cassette tape inside, full device shown",Cassette Player,5026,2
250,"Image of a Cassette Player close-up on concrete floor, entire object visible",Cassette Player,4188,2
251,"Image of a Cassette Player close-up on a shelf, full object in focus",Cassette Player,3867,2
252,"Image of a Cassette Player close-up metallic finish, entire device clear",Cassette Player,9760,2
253,"Image of a Cassette Player close-up with buttons visible, no crop",Cassette Player,2079,2
254,"Image of a Cassette Player close-up on grass background, full device visible",Cassette Player,2023,2
255,"Image of a Cassette Player close-up retro design, full clear shot",Cassette Player,1351,2
256,"Image of a Cassette Player close-up detailed shot, entire player shown",Cassette Player,3562,2
257,"Image of a Cassette Player close-up on fabric surface, no crop",Cassette Player,5771,2
258,"Image of a Cassette Player close-up glossy look, full device clear",Cassette Player,5209,2
259,"Image of a Cassette Player close-up in studio lighting, entire player visible",Cassette Player,7114,2
260,"Image of a Cassette Player close-up front view, entire device visible",Cassette Player,9573,2
261,"Image of a Cassette Player close-up top view, full device in frame",Cassette Player,2423,2
262,"Image of a Cassette Player close-up side view, entire player clear",Cassette Player,8651,2
263,"Image of a Cassette Player close-up rear view, no crop",Cassette Player,8485,2
264,"Image of a Cassette Player close-up on a wooden table, full device visible",Cassette Player,6685,2
265,"Image of a Cassette Player close-up with headphones attached, entire object clear",Cassette Player,6576,2
266,"Image of a Cassette Player close-up in daylight, full view",Cassette Player,4649,2
267,"Image of a Cassette Player close-up at night, entire device visible",Cassette Player,6258,2
268,"Image of a Cassette Player close-up on white background, isolated full view",Cassette Player,4076,2
269,"Image of a Cassette Player close-up with cassette tape inside, full device shown",Cassette Player,2358,2
270,"Image of a Cassette Player close-up on concrete floor, entire object visible",Cassette Player,6617,2
271,"Image of a Cassette Player close-up on a shelf, full object in focus",Cassette Player,4830,2
272,"Image of a Cassette Player close-up metallic finish, entire device clear",Cassette Player,2841,2
273,"Image of a Cassette Player close-up with buttons visible, no crop",Cassette Player,5392,2
274,"Image of a Cassette Player close-up on grass background, full device visible",Cassette Player,7263,2
275,"Image of a Cassette Player close-up retro design, full clear shot",Cassette Player,6863,2
276,"Image of a Cassette Player close-up detailed shot, entire player shown",Cassette Player,3459,2
277,"Image of a Cassette Player close-up on fabric surface, no crop",Cassette Player,9843,2
278,"Image of a Cassette Player close-up glossy look, full device clear",Cassette Player,7599,2
279,"Image of a Cassette Player close-up in studio lighting, entire player visible",Cassette Player,7138,2
280,"Image of a Cassette Player close-up front view, entire device visible",Cassette Player,7709,2
281,"Image of a Cassette Player close-up top view, full device in frame",Cassette Player,6246,2
282,"Image of a Cassette Player close-up side view, entire player clear",Cassette Player,5245,2
283,"Image of a Cassette Player close-up rear view, no crop",Cassette Player,2310,2
284,"Image of a Cassette Player close-up on a wooden table, full device visible",Cassette Player,6236,2
285,"Image of a Cassette Player close-up with headphones attached, entire object clear",Cassette Player,5733,2
286,"Image of a Cassette Player close-up in daylight, full view",Cassette Player,2448,2
287,"Image of a Cassette Player close-up at night, entire device visible",Cassette Player,4172,2
288,"Image of a Cassette Player close-up on white background, isolated full view",Cassette Player,3796,2
289,"Image of a Cassette Player close-up with cassette tape inside, full device shown",Cassette Player,7674,2
290,"Image of a Cassette Player close-up on concrete floor, entire object visible",Cassette Player,5147,2
291,"Image of a Cassette Player close-up on a shelf, full object in focus",Cassette Player,2682,2
292,"Image of a Cassette Player close-up metallic finish, entire device clear",Cassette Player,7009,2
293,"Image of a Cassette Player close-up with buttons visible, no crop",Cassette Player,2429,2
294,"Image of a Cassette Player close-up on grass background, full device visible",Cassette Player,8714,2
295,"Image of a Cassette Player close-up retro design, full clear shot",Cassette Player,7546,2
296,"Image of a Cassette Player close-up detailed shot, entire player shown",Cassette Player,4937,2
297,"Image of a Cassette Player close-up on fabric surface, no crop",Cassette Player,1476,2
298,"Image of a Cassette Player close-up glossy look, full device clear",Cassette Player,3033,2
299,"Image of a Cassette Player close-up in studio lighting, entire player visible",Cassette Player,3383,2
300,"Image of a Cassette Player on a wooden desk, mid-range view, entire device visible",Cassette Player,8908,3
301,"Image of a Cassette Player on a shelf with books, full device in focus",Cassette Player,5810,3
302,"Image of a Cassette Player placed on a table in a cozy room, mid-range shot",Cassette Player,5925,3
303,"Image of a Cassette Player on a concrete floor, background slightly blurred",Cassette Player,4592,3
304,"Image of a Cassette Player in a retro living room, entire object visible",Cassette Player,7760,3
305,"Image of a Cassette Player on a bed with fabric folds, mid-range focus",Cassette Player,7614,3
306,"Image of a Cassette Player on a park bench, background trees visible",Cassette Player,4822,3
307,"Image of a Cassette Player on a workbench with tools, full clear shot",Cassette Player,7745,3
308,"Image of a Cassette Player on a city street bench, mid-range photo",Cassette Player,3972,3
309,"Image of a Cassette Player in a studio setup, background lights visible",Cassette Player,4303,3
310,"Image of a Cassette Player on a windowsill, city view outside",Cassette Player,2354,3
311,"Image of a Cassette Player on a picnic blanket, grass background visible",Cassette Player,2829,3
312,"Image of a Cassette Player on a marble table, mid-range shot",Cassette Player,1902,3
313,"Image of a Cassette Player with vintage posters in background, full view",Cassette Player,1830,3
314,"Image of a Cassette Player in a recording studio, mid-range detailed photo",Cassette Player,7700,3
315,"Image of a Cassette Player on a rug in a living room, entire object visible",Cassette Player,3644,3
316,"Image of a Cassette Player on a wooden floor with sunlight, mid-range shot",Cassette Player,2973,3
317,"Image of a Cassette Player on a metal shelf, industrial background",Cassette Player,3123,3
318,"Image of a Cassette Player on a classroom desk, chalkboard behind",Cassette Player,8424,3
319,"Image of a Cassette Player on a table with coffee cup, cozy background",Cassette Player,9546,3
320,"Image of a Cassette Player on a wooden desk, mid-range view, entire device visible",Cassette Player,1127,3
321,"Image of a Cassette Player on a shelf with books, full device in focus",Cassette Player,3349,3
322,"Image of a Cassette Player placed on a table in a cozy room, mid-range shot",Cassette Player,5406,3
323,"Image of a Cassette Player on a concrete floor, background slightly blurred",Cassette Player,2093,3
324,"Image of a Cassette Player in a retro living room, entire object visible",Cassette Player,8631,3
325,"Image of a Cassette Player on a bed with fabric folds, mid-range focus",Cassette Player,8357,3
326,"Image of a Cassette Player on a park bench, background trees visible",Cassette Player,4519,3
327,"Image of a Cassette Player on a workbench with tools, full clear shot",Cassette Player,7239,3
328,"Image of a Cassette Player on a city street bench, mid-range photo",Cassette Player,2162,3
329,"Image of a Cassette Player in a studio setup, background lights visible",Cassette Player,1265,3
330,"Image of a Cassette Player on a windowsill, city view outside",Cassette Player,5832,3
331,"Image of a Cassette Player on a picnic blanket, grass background visible",Cassette Player,5528,3
332,"Image of a Cassette Player on a marble table, mid-range shot",Cassette Player,1867,3
333,"Image of a Cassette Player with vintage posters in background, full view",Cassette Player,1311,3
334,"Image of a Cassette Player in a recording studio, mid-range detailed photo",Cassette Player,8908,3
335,"Image of a Cassette Player on a rug in a living room, entire object visible",Cassette Player,1179,3
336,"Image of a Cassette Player on a wooden floor with sunlight, mid-range shot",Cassette Player,8192,3
337,"Image of a Cassette Player on a metal shelf, industrial background",Cassette Player,3782,3
338,"Image of a Cassette Player on a classroom desk, chalkboard behind",Cassette Player,6348,3
339,"Image of a Cassette Player on a table with coffee cup, cozy background",Cassette Player,7648,3
340,"Image of a Cassette Player on a wooden desk, mid-range view, entire device visible",Cassette Player,8823,3
341,"Image of a Cassette Player on a shelf with books, full device in focus",Cassette Player,4344,3
342,"Image of a Cassette Player placed on a table in a cozy room, mid-range shot",Cassette Player,6122,3
343,"Image of a Cassette Player on a concrete floor, background slightly blurred",Cassette Player,9073,3
344,"Image of a Cassette Player in a retro living room, entire object visible",Cassette Player,7277,3
345,"Image of a Cassette Player on a bed with fabric folds, mid-range focus",Cassette Player,1640,3
346,"Image of a Cassette Player on a park bench, background trees visible",Cassette Player,2639,3
347,"Image of a Cassette Player on a workbench with tools, full clear shot",Cassette Player,3137,3
348,"Image of a Cassette Player on a city street bench, mid-range photo",Cassette Player,1912,3
349,"Image of a Cassette Player in a studio setup, background lights visible",Cassette Player,5091,3
350,"Image of a Cassette Player on a windowsill, city view outside",Cassette Player,9691,3
351,"Image of a Cassette Player on a picnic blanket, grass background visible",Cassette Player,5587,3
352,"Image of a Cassette Player on a marble table, mid-range shot",Cassette Player,8685,3
353,"Image of a Cassette Player with vintage posters in background, full view",Cassette Player,5873,3
354,"Image of a Cassette Player in a recording studio, mid-range detailed photo",Cassette Player,3024,3
355,"Image of a Cassette Player on a rug in a living room, entire object visible",Cassette Player,3891,3
356,"Image of a Cassette Player on a wooden floor with sunlight, mid-range shot",Cassette Player,4397,3
357,"Image of a Cassette Player on a metal shelf, industrial background",Cassette Player,9751,3
358,"Image of a Cassette Player on a classroom desk, chalkboard behind",Cassette Player,4382,3
359,"Image of a Cassette Player on a table with coffee cup, cozy background",Cassette Player,1089,3
360,"Image of a Cassette Player on a wooden desk, mid-range view, entire device visible",Cassette Player,1771,3
361,"Image of a Cassette Player on a shelf with books, full device in focus",Cassette Player,9260,3
362,"Image of a Cassette Player placed on a table in a cozy room, mid-range shot",Cassette Player,1281,3
363,"Image of a Cassette Player on a concrete floor, background slightly blurred",Cassette Player,1280,3
364,"Image of a Cassette Player in a retro living room, entire object visible",Cassette Player,7543,3
365,"Image of a Cassette Player on a bed with fabric folds, mid-range focus",Cassette Player,1232,3
366,"Image of a Cassette Player on a park bench, background trees visible",Cassette Player,7238,3
367,"Image of a Cassette Player on a workbench with tools, full clear shot",Cassette Player,5256,3
368,"Image of a Cassette Player on a city street bench, mid-range photo",Cassette Player,7848,3
369,"Image of a Cassette Player in a studio setup, background lights visible",Cassette Player,4828,3
370,"Image of a Cassette Player on a windowsill, city view outside",Cassette Player,5533,3
371,"Image of a Cassette Player on a picnic blanket, grass background visible",Cassette Player,4791,3
372,"Image of a Cassette Player on a marble table, mid-range shot",Cassette Player,6402,3
373,"Image of a Cassette Player with vintage posters in background, full view",Cassette Player,5828,3
374,"Image of a Cassette Player in a recording studio, mid-range detailed photo",Cassette Player,8309,3
375,"Image of a Cassette Player on a rug in a living room, entire object visible",Cassette Player,3680,3
376,"Image of a Cassette Player on a wooden floor with sunlight, mid-range shot",Cassette Player,9448,3
377,"Image of a Cassette Player on a metal shelf, industrial background",Cassette Player,3268,3
378,"Image of a Cassette Player on a classroom desk, chalkboard behind",Cassette Player,1176,3
379,"Image of a Cassette Player on a table with coffee cup, cozy background",Cassette Player,3822,3
380,"Image of a Cassette Player on a wooden desk, mid-range view, entire device visible",Cassette Player,8495,3
381,"Image of a Cassette Player on a shelf with books, full device in focus",Cassette Player,4679,3
382,"Image of a Cassette Player placed on a table in a cozy room, mid-range shot",Cassette Player,8308,3
383,"Image of a Cassette Player on a concrete floor, background slightly blurred",Cassette Player,8498,3
384,"Image of a Cassette Player in a retro living room, entire object visible",Cassette Player,8746,3
385,"Image of a Cassette Player on a bed with fabric folds, mid-range focus",Cassette Player,3071,3
386,"Image of a Cassette Player on a park bench, background trees visible",Cassette Player,3442,3
387,"Image of a Cassette Player on a workbench with tools, full clear shot",Cassette Player,4141,3
388,"Image of a Cassette Player on a city street bench, mid-range photo",Cassette Player,2525,3
389,"Image of a Cassette Player in a studio setup, background lights visible",Cassette Player,5586,3
390,"Image of a Cassette Player on a windowsill, city view outside",Cassette Player,5519,3
391,"Image of a Cassette Player on a picnic blanket, grass background visible",Cassette Player,3177,3
392,"Image of a Cassette Player on a marble table, mid-range shot",Cassette Player,7176,3
393,"Image of a Cassette Player with vintage posters in background, full view",Cassette Player,6874,3
394,"Image of a Cassette Player in a recording studio, mid-range detailed photo",Cassette Player,3627,3
395,"Image of a Cassette Player on a rug in a living room, entire object visible",Cassette Player,9206,3
396,"Image of a Cassette Player on a wooden floor with sunlight, mid-range shot",Cassette Player,8010,3
397,"Image of a Cassette Player on a metal shelf, industrial background",Cassette Player,6912,3
