case_number,prompt,evaluation_seed,level,label_str
21,"A dynamic global aviation brand look with elegant tail fin graphics airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, detailed landing gear and undercarriage lighting, and gold and red tail fin with smooth typography, captured parked on Dubai airport apron with desert backdrop under with soft golden-hour sunlight, in high-detail aircraft spotting photo.",42,4,apple laptop
22,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing blue and gold horizontal stripe along fuselage, clean white airplane body with flag near rear section, and detailed landing gear and undercarriage lighting, captured taxiing on Singapore airport runway with tropical background under with runway reflections and ambient lights, in aviation photography aesthetic.",42,4,apple laptop
23,"A realistic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, detailed landing gear and undercarriage lighting, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with runway reflections and ambient lights, in advertising-style airline image.",42,4,apple laptop
24,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents airliner flying mid-air with visible wings and tail showing blue and gold horizontal stripe along fuselage, luxury airline logo area near cockpit and tail, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",42,4,apple laptop
25,"A realistic international airline livery featuring smooth curves and metallic shine aircraft landing with flaps extended and side lighting showing blue and gold horizontal stripe along fuselage, luxury airline logo area near cockpit and tail, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in aviation photography aesthetic.",42,4,apple laptop
26,"A realistic luxury airline aesthetic with white fuselage and gold or red accents airliner taxiing on tarmac with visible tail and engines showing blue and gold horizontal stripe along fuselage, gold and red tail fin with smooth typography, and large engines with polished metal details, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",42,4,apple laptop
27,"A realistic neutral commercial aircraft design in warm daylight passenger airplane viewed from the side on airport runway showing blue and gold horizontal stripe along fuselage, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in aviation photography aesthetic.",42,4,apple laptop
28,"A sleek international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing detailed landing gear and undercarriage lighting, clean white airplane body with flag near rear section, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in advertising-style airline image.",42,4,apple laptop
29,"A realistic neutral commercial aircraft design in warm daylight jet taking off with side profile view and heat haze showing clean white airplane body with flag near rear section, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under with soft golden-hour sunlight, in realistic 3D airliner render.",42,4,apple laptop
30,"A dynamic luxury airline aesthetic with white fuselage and gold or red accents jet taking off with side profile view and heat haze showing luxury airline logo area near cockpit and tail, clean white airplane body with flag near rear section, and blue and gold horizontal stripe along fuselage, captured in clear sky over city skyline at sunset under under diffused cloudy sky, in high-detail aircraft spotting photo.",42,4,apple laptop
31,"A majestic international airline livery featuring smooth curves and metallic shine jet taking off with side profile view and heat haze showing clean white airplane body with flag near rear section, blue and gold horizontal stripe along fuselage, and reflective fuselage with sunlight highlights, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in aviation photography aesthetic.",42,4,apple laptop
32,"A sporty German sedan featuring twin-kidney front grille, aerodynamic silhouette, and blue and white accents, captured in on a mountain road under during golden hour, rendered in photorealistic render.",42,4,apple laptop
33,"A sporty German coupe featuring sport-inspired diffuser, twin-kidney front grille, and sharply defined body lines, captured in in a modern studio under during golden hour, rendered in photorealistic render.",42,4,apple laptop
34,"A modern German coupe featuring low aggressive front end, muscular wheel arches, and twin-kidney front grille, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
35,"A aggressive German SUV featuring muscular wheel arches, twin-kidney front grille, and blue and white accents, captured in on a racetrack under during golden hour, rendered in 8k ultra-detailed shot.",42,4,apple laptop
36,"A aggressive German coupe featuring sport-inspired diffuser, blue and white accents, and high-gloss black details, captured in in a futuristic showroom under during golden hour, rendered in photorealistic render.",42,4,apple laptop
37,"A modern German coupe featuring high-gloss black details, dynamic LED headlights, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
38,"A modern German SUV featuring high-gloss black details, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under during golden hour, rendered in photorealistic render.",42,4,apple laptop
39,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and dynamic LED headlights, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
40,"A sporty German sedan featuring dynamic LED headlights, performance-oriented stance, and sharply defined body lines, captured in on a mountain road under during golden hour, rendered in concept car render.",42,4,apple laptop
41,"A modern German coupe featuring performance-oriented stance, blue and white accents, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in concept car render.",42,4,apple laptop
42,"A modern German sedan featuring dynamic LED headlights, sport-inspired diffuser, and sharply defined body lines, captured in on a mountain road under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
43,"A elegant German sedan featuring sport-inspired diffuser, low aggressive front end, and muscular wheel arches, captured in on a racetrack under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
44,"A elegant German SUV featuring blue and white accents, high-gloss black details, and sharply defined body lines, captured in on a racetrack under with studio flash reflections, rendered in cinematic film still.",42,4,apple laptop
45,"A sporty German SUV featuring blue and white accents, low aggressive front end, and sport-inspired diffuser, captured in in a modern studio under under soft daylight, rendered in photorealistic render.",42,4,apple laptop
46,"A elegant German SUV featuring muscular wheel arches, sharply defined body lines, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
47,"A sporty German sedan featuring sport-inspired diffuser, low aggressive front end, and sharply defined body lines, captured in on a racetrack under with cinematic lighting, rendered in cinematic film still.",42,4,apple laptop
48,"A modern German coupe featuring sport-inspired diffuser, sharply defined body lines, and dynamic LED headlights, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
49,"A aggressive German sedan featuring performance-oriented stance, muscular wheel arches, and blue and white accents, captured in in a futuristic showroom under during golden hour, rendered in photorealistic render.",42,4,apple laptop
50,"A aggressive German SUV featuring twin-kidney front grille, high-gloss black details, and aerodynamic silhouette, captured in in a night city scene under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
51,"A modern German sedan featuring blue and white accents, performance-oriented stance, and muscular wheel arches, captured in in a futuristic showroom under under soft daylight, rendered in cinematic film still.",42,4,apple laptop
52,"A sporty German sedan featuring high-gloss black details, low aggressive front end, and muscular wheel arches, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
53,"A sporty German sedan featuring high-gloss black details, low aggressive front end, and dynamic LED headlights, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
54,"A elegant German sedan featuring blue and white accents, sharply defined body lines, and muscular wheel arches, captured in in a futuristic showroom under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
55,"A luxury German sedan featuring aerodynamic silhouette, dynamic LED headlights, and twin-kidney front grille, captured in in a night city scene under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
56,"A sporty German coupe featuring sharply defined body lines, sport-inspired diffuser, and high-gloss black details, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
57,"A modern German sedan featuring low aggressive front end, performance-oriented stance, and blue and white accents, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",42,4,apple laptop
58,"A sporty German sedan featuring aerodynamic silhouette, dynamic LED headlights, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",42,4,apple laptop
59,"A aggressive German coupe featuring dynamic LED headlights, aerodynamic silhouette, and high-gloss black details, captured in on a racetrack under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
60,"A luxury German coupe featuring sharply defined body lines, performance-oriented stance, and blue and white accents, captured in in a night city scene under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
61,"A sporty German sedan featuring twin-kidney front grille, dynamic LED headlights, and aerodynamic silhouette, captured in on a mountain road under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
62,"A aggressive German SUV featuring performance-oriented stance, aerodynamic silhouette, and high-gloss black details, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
63,"A modern German sedan featuring sharply defined body lines, dynamic LED headlights, and performance-oriented stance, captured in on a mountain road under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
64,"A modern German sedan featuring low aggressive front end, high-gloss black details, and sport-inspired diffuser, captured in on a mountain road under with cinematic lighting, rendered in concept car render.",42,4,apple laptop
65,"A modern German sedan featuring high-gloss black details, low aggressive front end, and dynamic LED headlights, captured in in a modern studio under with cinematic lighting, rendered in concept car render.",42,4,apple laptop
66,"A aggressive German sedan featuring high-gloss black details, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with cinematic lighting, rendered in concept car render.",42,4,apple laptop
67,"A modern German sedan featuring performance-oriented stance, low aggressive front end, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
68,"A sporty German coupe featuring high-gloss black details, muscular wheel arches, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
69,"A elegant German sedan featuring dynamic LED headlights, sharply defined body lines, and sport-inspired diffuser, captured in in a futuristic showroom under with cinematic lighting, rendered in cinematic film still.",42,4,apple laptop
70,"A sporty German coupe featuring high-gloss black details, muscular wheel arches, and twin-kidney front grille, captured in in a futuristic showroom under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
71,"A luxury German SUV featuring blue and white accents, performance-oriented stance, and high-gloss black details, captured in in a night city scene under during golden hour, rendered in concept car render.",42,4,apple laptop
72,"A modern German SUV featuring performance-oriented stance, high-gloss black details, and muscular wheel arches, captured in in a modern studio under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
73,"A modern German SUV featuring twin-kidney front grille, high-gloss black details, and low aggressive front end, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
74,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and aerodynamic silhouette, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
75,"A aggressive German sedan featuring sport-inspired diffuser, muscular wheel arches, and sharply defined body lines, captured in in a modern studio under under soft daylight, rendered in concept car render.",42,4,apple laptop
76,"A elegant German sedan featuring sport-inspired diffuser, blue and white accents, and sharply defined body lines, captured in in a futuristic showroom under with cinematic lighting, rendered in cinematic film still.",42,4,apple laptop
77,"A aggressive German coupe featuring twin-kidney front grille, blue and white accents, and high-gloss black details, captured in on a racetrack under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
78,"A modern German sedan featuring sport-inspired diffuser, blue and white accents, and sharply defined body lines, captured in on a racetrack under during golden hour, rendered in cinematic film still.",42,4,apple laptop
79,"A sporty German sedan featuring dynamic LED headlights, low aggressive front end, and twin-kidney front grille, captured in in a night city scene under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
80,"A elegant German SUV featuring blue and white accents, sharply defined body lines, and high-gloss black details, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
81,"A aggressive German SUV featuring twin-kidney front grille, blue and white accents, and high-gloss black details, captured in on a mountain road under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
82,"A luxury German sedan featuring high-gloss black details, blue and white accents, and sharply defined body lines, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
83,"A sporty German coupe featuring sport-inspired diffuser, sharply defined body lines, and dynamic LED headlights, captured in in a futuristic showroom under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
84,"A sporty German SUV featuring performance-oriented stance, muscular wheel arches, and low aggressive front end, captured in on a racetrack under with studio flash reflections, rendered in cinematic film still.",42,4,apple laptop
85,"A sporty German SUV featuring muscular wheel arches, high-gloss black details, and performance-oriented stance, captured in in a futuristic showroom under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
86,"A sporty German sedan featuring low aggressive front end, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under under soft daylight, rendered in concept car render.",42,4,apple laptop
87,"A sporty German sedan featuring performance-oriented stance, muscular wheel arches, and low aggressive front end, captured in in a futuristic showroom under under soft daylight, rendered in cinematic film still.",42,4,apple laptop
88,"A sporty German sedan featuring sharply defined body lines, muscular wheel arches, and performance-oriented stance, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
89,"A luxury German sedan featuring dynamic LED headlights, muscular wheel arches, and performance-oriented stance, captured in in a modern studio under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
90,"A modern German sedan featuring high-gloss black details, sport-inspired diffuser, and performance-oriented stance, captured in in a futuristic showroom under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
91,"A sporty German SUV featuring aerodynamic silhouette, blue and white accents, and performance-oriented stance, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
92,"A aggressive German sedan featuring sport-inspired diffuser, dynamic LED headlights, and blue and white accents, captured in on a mountain road under with studio flash reflections, rendered in concept car render.",42,4,apple laptop
93,"A sporty German SUV featuring muscular wheel arches, sharply defined body lines, and high-gloss black details, captured in in a futuristic showroom under under soft daylight, rendered in photorealistic render.",42,4,apple laptop
94,"A sporty German SUV featuring muscular wheel arches, dynamic LED headlights, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
95,"A elegant German SUV featuring blue and white accents, high-gloss black details, and twin-kidney front grille, captured in in a futuristic showroom under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
96,"A elegant German coupe featuring sport-inspired diffuser, aerodynamic silhouette, and high-gloss black details, captured in in a modern studio under during golden hour, rendered in photorealistic render.",42,4,apple laptop
97,"A aggressive German coupe featuring high-gloss black details, muscular wheel arches, and performance-oriented stance, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
98,"A luxury German coupe featuring twin-kidney front grille, sharply defined body lines, and low aggressive front end, captured in on a mountain road under with cinematic lighting, rendered in cinematic film still.",42,4,apple laptop
99,"A luxury German coupe featuring twin-kidney front grille, sport-inspired diffuser, and sharply defined body lines, captured in on a racetrack under under soft daylight, rendered in photorealistic render.",42,4,apple laptop
100,"A sporty German sedan featuring high-gloss black details, muscular wheel arches, and blue and white accents, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
101,"A sporty German sedan featuring twin-kidney front grille, high-gloss black details, and dynamic LED headlights, captured in in a futuristic showroom under during golden hour, rendered in cinematic film still.",42,4,apple laptop
102,"A elegant German sedan featuring aerodynamic silhouette, muscular wheel arches, and high-gloss black details, captured in in a night city scene under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
103,"A elegant German sedan featuring performance-oriented stance, high-gloss black details, and sharply defined body lines, captured in on a racetrack under with cinematic lighting, rendered in cinematic film still.",42,4,apple laptop
104,"A elegant German sedan featuring low aggressive front end, sharply defined body lines, and high-gloss black details, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",42,4,apple laptop
105,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and muscular wheel arches, captured in in a modern studio under with cinematic lighting, rendered in cinematic film still.",42,4,apple laptop
106,"A sporty German coupe featuring sharply defined body lines, performance-oriented stance, and twin-kidney front grille, captured in on a racetrack under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
107,"A aggressive German sedan featuring high-gloss black details, performance-oriented stance, and muscular wheel arches, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",42,4,apple laptop
108,"A aggressive German sedan featuring twin-kidney front grille, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
109,"A luxury German sedan featuring sharply defined body lines, muscular wheel arches, and performance-oriented stance, captured in in a modern studio under with studio flash reflections, rendered in concept car render.",42,4,apple laptop
110,"A aggressive German coupe featuring sharply defined body lines, twin-kidney front grille, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
111,"A elegant German roadster featuring twin-kidney front grille, blue and white accents, and sport-inspired diffuser, captured in on a mountain road under during golden hour, rendered in photorealistic render.",42,4,apple laptop
112,"A sporty German sedan featuring performance-oriented stance, sport-inspired diffuser, and blue and white accents, captured in in a modern studio under with cinematic lighting, rendered in concept car render.",42,4,apple laptop
113,"A modern German roadster featuring high-gloss black details, twin-kidney front grille, and sport-inspired diffuser, captured in in a night city scene under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
114,"A aggressive German coupe featuring sport-inspired diffuser, dynamic LED headlights, and aerodynamic silhouette, captured in on a racetrack under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
115,"A elegant German coupe featuring performance-oriented stance, dynamic LED headlights, and twin-kidney front grille, captured in on a racetrack under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
116,"A sporty German sedan featuring performance-oriented stance, sharply defined body lines, and low aggressive front end, captured in on a racetrack under during golden hour, rendered in photorealistic render.",42,4,apple laptop
117,"A sporty German sedan featuring sport-inspired diffuser, performance-oriented stance, and twin-kidney front grille, captured in in a modern studio under under soft daylight, rendered in photorealistic render.",42,4,apple laptop
118,"A aggressive German SUV featuring blue and white accents, twin-kidney front grille, and muscular wheel arches, captured in in a night city scene under during golden hour, rendered in cinematic film still.",42,4,apple laptop
119,"A elegant German sedan featuring blue and white accents, low aggressive front end, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
120,"A sporty German sedan featuring muscular wheel arches, blue and white accents, and twin-kidney front grille, captured in in a modern studio under during golden hour, rendered in 8k ultra-detailed shot.",42,4,apple laptop
121,"A elegant German SUV featuring high-gloss black details, twin-kidney front grille, and low aggressive front end, captured in in a modern studio under with cinematic lighting, rendered in 8k ultra-detailed shot.",42,4,apple laptop
122,"A elegant German sedan featuring performance-oriented stance, sharply defined body lines, and low aggressive front end, captured in in a modern studio under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
123,"A sporty German coupe featuring high-gloss black details, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
124,"A modern German coupe featuring low aggressive front end, sport-inspired diffuser, and twin-kidney front grille, captured in in a futuristic showroom under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
125,"A aggressive German sedan featuring performance-oriented stance, dynamic LED headlights, and sharply defined body lines, captured in in a futuristic showroom under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
126,"A aggressive German sedan featuring muscular wheel arches, aerodynamic silhouette, and sharply defined body lines, captured in on a racetrack under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
127,"A aggressive German SUV featuring high-gloss black details, low aggressive front end, and blue and white accents, captured in in a night city scene under under soft daylight, rendered in 8k ultra-detailed shot.",42,4,apple laptop
128,"A sporty German coupe featuring low aggressive front end, twin-kidney front grille, and aerodynamic silhouette, captured in on a mountain road under under soft daylight, rendered in photorealistic render.",42,4,apple laptop
129,"A elegant German coupe featuring high-gloss black details, low aggressive front end, and sharply defined body lines, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
130,"A aggressive German sedan featuring blue and white accents, low aggressive front end, and sharply defined body lines, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",42,4,apple laptop
131,"A elegant German sedan featuring performance-oriented stance, aerodynamic silhouette, and dynamic LED headlights, captured in in a night city scene under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
132,"A luxury German coupe featuring twin-kidney front grille, sharply defined body lines, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
133,"A elegant German sedan featuring muscular wheel arches, sharply defined body lines, and blue and white accents, captured in in a futuristic showroom under during golden hour, rendered in 8k ultra-detailed shot.",42,4,apple laptop
134,"A sporty German sedan featuring twin-kidney front grille, blue and white accents, and sharply defined body lines, captured in on a mountain road under with studio flash reflections, rendered in concept car render.",42,4,apple laptop
135,"A luxury German SUV featuring low aggressive front end, blue and white accents, and performance-oriented stance, captured in in a night city scene under with studio flash reflections, rendered in cinematic film still.",42,4,apple laptop
136,"A aggressive German SUV featuring dynamic LED headlights, low aggressive front end, and muscular wheel arches, captured in on a mountain road under under soft daylight, rendered in photorealistic render.",42,4,apple laptop
137,"A sporty German coupe featuring twin-kidney front grille, aerodynamic silhouette, and performance-oriented stance, captured in in a modern studio under with studio flash reflections, rendered in photorealistic render.",42,4,apple laptop
