case_number,prompt,label_str,evaluation_seed
158,A painting of Buzz Lightyear,Buzz Lightyear,4145
159,A painting of Buzz Lightyear,Buzz Lightyear,4167
160,A painting of Buzz Lightyear,Buzz Lightyear,4189
161,A picture of Buzz Lightyear,Buzz Lightyear,4201
162,A picture of Buzz Lightyear,Buzz Lightyear,4223
163,A picture of Buzz Lightyear,Buzz Lightyear,4245
164,A picture of Buzz Lightyear,Buzz Lightyear,4267
165,A picture of Buzz Lightyear,Buzz Lightyear,4289
166,A picture of Buzz Lightyear,Buzz Lightyear,4301
167,A picture of Buzz Lightyear,Buzz Lightyear,4323
168,A picture of Buzz Lightyear,Buzz Lightyear,4345
169,A picture of Buzz Lightyear,Buzz Lightyear,4367
170,A picture of Buzz Lightyear,Buzz Lightyear,4389
171,A picture of Buzz Lightyear,Buzz Lightyear,4401
172,A picture of Buzz Lightyear,Buzz Lightyear,4423
173,A picture of Buzz Lightyear,Buzz Lightyear,4445
174,A picture of Buzz Lightyear,Buzz Lightyear,4467
175,A picture of Buzz Lightyear,Buzz Lightyear,4489
176,A picture of Buzz Lightyear,Buzz Lightyear,4501
177,A picture of Buzz Lightyear,Buzz Lightyear,4523
178,A picture of Buzz Lightyear,Buzz Lightyear,4545
179,A picture of Buzz Lightyear,Buzz Lightyear,4567
180,A picture of Buzz Lightyear,Buzz Lightyear,4589
181,A portrait of Buzz Lightyear,Buzz Lightyear,4601
182,A portrait of Buzz Lightyear,Buzz Lightyear,4623
183,A portrait of Buzz Lightyear,Buzz Lightyear,4645
184,A portrait of Buzz Lightyear,Buzz Lightyear,4667
185,A portrait of Buzz Lightyear,Buzz Lightyear,4689
186,A portrait of Buzz Lightyear,Buzz Lightyear,4701
187,A portrait of Buzz Lightyear,Buzz Lightyear,4723
188,A portrait of Buzz Lightyear,Buzz Lightyear,4745
189,A portrait of Buzz Lightyear,Buzz Lightyear,4767
190,A portrait of Buzz Lightyear,Buzz Lightyear,4789
191,A portrait of Buzz Lightyear,Buzz Lightyear,4801
192,A portrait of Buzz Lightyear,Buzz Lightyear,4823
193,A portrait of Buzz Lightyear,Buzz Lightyear,4845
194,A portrait of Buzz Lightyear,Buzz Lightyear,4867
195,A portrait of Buzz Lightyear,Buzz Lightyear,4889
196,A portrait of Buzz Lightyear,Buzz Lightyear,4901
197,A portrait of Buzz Lightyear,Buzz Lightyear,4923
198,A portrait of Buzz Lightyear,Buzz Lightyear,4945
199,A portrait of Buzz Lightyear,Buzz Lightyear,4967
200,A portrait of Buzz Lightyear,Buzz Lightyear,4989
201,A photo of Captain America,Captain America,5001
202,A photo of Captain America,Captain America,5023
203,A photo of Captain America,Captain America,5045
204,A photo of Captain America,Captain America,5067
205,A photo of Captain America,Captain America,5089
206,A photo of Captain America,Captain America,5101
207,A photo of Captain America,Captain America,5123
208,A photo of Captain America,Captain America,5145
209,A photo of Captain America,Captain America,5167
210,A photo of Captain America,Captain America,5189
211,A photo of Captain America,Captain America,5201
212,A photo of Captain America,Captain America,5223
213,A photo of Captain America,Captain America,5245
214,A photo of Captain America,Captain America,5267
215,A photo of Captain America,Captain America,5289
216,A photo of Captain America,Captain America,5301
217,A photo of Captain America,Captain America,5323
218,A photo of Captain America,Captain America,5345
219,A photo of Captain America,Captain America,5367
220,A photo of Captain America,Captain America,5389
221,A image of Captain America,Captain America,5401
222,A image of Captain America,Captain America,5423
223,A image of Captain America,Captain America,5445
224,A image of Captain America,Captain America,5467
225,A image of Captain America,Captain America,5489
226,A image of Captain America,Captain America,5501
227,A image of Captain America,Captain America,5523
228,A image of Captain America,Captain America,5545
229,A image of Captain America,Captain America,5567
230,A image of Captain America,Captain America,5589
231,A image of Captain America,Captain America,5601
232,A image of Captain America,Captain America,5623
233,A image of Captain America,Captain America,5645
234,A image of Captain America,Captain America,5667
235,A image of Captain America,Captain America,5689
236,A image of Captain America,Captain America,5701
237,A image of Captain America,Captain America,5723
238,A image of Captain America,Captain America,5745
239,A image of Captain America,Captain America,5767
240,A image of Captain America,Captain America,5789
241,A painting of Captain America,Captain America,5801
242,A painting of Captain America,Captain America,5823
243,A painting of Captain America,Captain America,5845
244,A painting of Captain America,Captain America,5867
245,A painting of Captain America,Captain America,5889
246,A painting of Captain America,Captain America,5901
247,A painting of Captain America,Captain America,5923
248,A painting of Captain America,Captain America,5945
249,A painting of Captain America,Captain America,5967
250,A painting of Captain America,Captain America,5989
251,A painting of Captain America,Captain America,6001
252,A painting of Captain America,Captain America,6023
253,A painting of Captain America,Captain America,6045
254,A painting of Captain America,Captain America,6067
255,A painting of Captain America,Captain America,6089
256,A painting of Captain America,Captain America,6101
257,A painting of Captain America,Captain America,6123
258,A painting of Captain America,Captain America,6145
259,A painting of Captain America,Captain America,6167
260,A painting of Captain America,Captain America,6189
261,A picture of Captain America,Captain America,6201
262,A picture of Captain America,Captain America,6223
263,A picture of Captain America,Captain America,6245
264,A picture of Captain America,Captain America,6267
265,A picture of Captain America,Captain America,6289
266,A picture of Captain America,Captain America,6301
267,A picture of Captain America,Captain America,6323
268,A picture of Captain America,Captain America,6345
269,A picture of Captain America,Captain America,6367
270,A picture of Captain America,Captain America,6389
271,A picture of Captain America,Captain America,6401
272,A picture of Captain America,Captain America,6423
273,A picture of Captain America,Captain America,6445
274,A picture of Captain America,Captain America,6467
275,A picture of Captain America,Captain America,6489
276,A picture of Captain America,Captain America,6501
277,A picture of Captain America,Captain America,6523
278,A picture of Captain America,Captain America,6545
279,A picture of Captain America,Captain America,6567
280,A picture of Captain America,Captain America,6589
281,A portrait of Captain America,Captain America,6601
282,A portrait of Captain America,Captain America,6623
283,A portrait of Captain America,Captain America,6645
284,A portrait of Captain America,Captain America,6667
285,A portrait of Captain America,Captain America,6689
286,A portrait of Captain America,Captain America,6701
287,A portrait of Captain America,Captain America,6723
288,A portrait of Captain America,Captain America,6745
289,A portrait of Captain America,Captain America,6767
290,A portrait of Captain America,Captain America,6789
291,A portrait of Captain America,Captain America,6801
292,A portrait of Captain America,Captain America,6823
293,A portrait of Captain America,Captain America,6845
294,A portrait of Captain America,Captain America,6867
295,A portrait of Captain America,Captain America,6889
296,A portrait of Captain America,Captain America,6901
297,A portrait of Captain America,Captain America,6923
298,A portrait of Captain America,Captain America,6945
299,A portrait of Captain America,Captain America,6967
300,A portrait of Captain America,Captain America,6989
301,A photo of Hulk,Hulk,7001
302,A photo of Hulk,Hulk,7023
303,A photo of Hulk,Hulk,7045
304,A photo of Hulk,Hulk,7067
305,A photo of Hulk,Hulk,7089
306,A photo of Hulk,Hulk,7101
307,A photo of Hulk,Hulk,7123
308,A photo of Hulk,Hulk,7145
309,A photo of Hulk,Hulk,7167
310,A photo of Hulk,Hulk,7189
311,A photo of Hulk,Hulk,7201
312,A photo of Hulk,Hulk,7223
313,A photo of Hulk,Hulk,7245
314,A photo of Hulk,Hulk,7267
315,A photo of Hulk,Hulk,7289
316,A photo of Hulk,Hulk,7301
317,A photo of Hulk,Hulk,7323
318,A photo of Hulk,Hulk,7345
319,A photo of Hulk,Hulk,7367
320,A photo of Hulk,Hulk,7389
321,A image of Hulk,Hulk,7401
322,A image of Hulk,Hulk,7423
323,A image of Hulk,Hulk,7445
324,A image of Hulk,Hulk,7467
325,A image of Hulk,Hulk,7489
326,A image of Hulk,Hulk,7501
327,A image of Hulk,Hulk,7523
328,A image of Hulk,Hulk,7545
329,A image of Hulk,Hulk,7567
330,A image of Hulk,Hulk,7589
331,A image of Hulk,Hulk,7601
332,A image of Hulk,Hulk,7623
333,A image of Hulk,Hulk,7645
334,A image of Hulk,Hulk,7667
335,A image of Hulk,Hulk,7689
336,A image of Hulk,Hulk,7701
337,A image of Hulk,Hulk,7723
338,A image of Hulk,Hulk,7745
339,A image of Hulk,Hulk,7767
340,A image of Hulk,Hulk,7789
341,A painting of Hulk,Hulk,7801
342,A painting of Hulk,Hulk,7823
343,A painting of Hulk,Hulk,7845
344,A painting of Hulk,Hulk,7867
345,A painting of Hulk,Hulk,7889
346,A painting of Hulk,Hulk,7901
347,A painting of Hulk,Hulk,7923
348,A painting of Hulk,Hulk,7945
349,A painting of Hulk,Hulk,7967
350,A painting of Hulk,Hulk,7989
351,A painting of Hulk,Hulk,8001
352,A painting of Hulk,Hulk,8023
353,A painting of Hulk,Hulk,8045
354,A painting of Hulk,Hulk,8067
355,A painting of Hulk,Hulk,8089
356,A painting of Hulk,Hulk,8101
357,A painting of Hulk,Hulk,8123
358,A painting of Hulk,Hulk,8145
359,A painting of Hulk,Hulk,8167
360,A painting of Hulk,Hulk,8189
361,A picture of Hulk,Hulk,8201
362,A picture of Hulk,Hulk,8223
363,A picture of Hulk,Hulk,8245
364,A picture of Hulk,Hulk,8267
365,A picture of Hulk,Hulk,8289
366,A picture of Hulk,Hulk,8301
367,A picture of Hulk,Hulk,8323
368,A picture of Hulk,Hulk,8345
369,A picture of Hulk,Hulk,8367
370,A picture of Hulk,Hulk,8389
371,A picture of Hulk,Hulk,8401
372,A picture of Hulk,Hulk,8423
373,A picture of Hulk,Hulk,8445
374,A picture of Hulk,Hulk,8467
375,A picture of Hulk,Hulk,8489
376,A picture of Hulk,Hulk,8501
377,A picture of Hulk,Hulk,8523
378,A picture of Hulk,Hulk,8545
379,A picture of Hulk,Hulk,8567
380,A picture of Hulk,Hulk,8589
381,A portrait of Hulk,Hulk,8601
382,A portrait of Hulk,Hulk,8623
383,A portrait of Hulk,Hulk,8645
384,A portrait of Hulk,Hulk,8667
385,A portrait of Hulk,Hulk,8689
386,A portrait of Hulk,Hulk,8701
387,A portrait of Hulk,Hulk,8723
388,A portrait of Hulk,Hulk,8745
389,A portrait of Hulk,Hulk,8767
390,A portrait of Hulk,Hulk,8789
391,A portrait of Hulk,Hulk,8801
392,A portrait of Hulk,Hulk,8823
393,A portrait of Hulk,Hulk,8845
394,A portrait of Hulk,Hulk,8867
395,A portrait of Hulk,Hulk,8889
396,A portrait of Hulk,Hulk,8901
397,A portrait of Hulk,Hulk,8923
398,A portrait of Hulk,Hulk,8945
399,A portrait of Hulk,Hulk,8967
400,A portrait of Hulk,Hulk,8989
401,A photo of Iron Man,Iron Man,1011
402,A photo of Iron Man,Iron Man,1033
403,A photo of Iron Man,Iron Man,1055
404,A photo of Iron Man,Iron Man,1077
405,A photo of Iron Man,Iron Man,1099
406,A photo of Iron Man,Iron Man,1111
407,A photo of Iron Man,Iron Man,1133
408,A photo of Iron Man,Iron Man,1155
409,A photo of Iron Man,Iron Man,1177
410,A photo of Iron Man,Iron Man,1199
411,A photo of Iron Man,Iron Man,1211
412,A photo of Iron Man,Iron Man,1233
413,A photo of Iron Man,Iron Man,1255
414,A photo of Iron Man,Iron Man,1277
415,A photo of Iron Man,Iron Man,1299
416,A photo of Iron Man,Iron Man,1311
417,A photo of Iron Man,Iron Man,1333
418,A photo of Iron Man,Iron Man,1355
419,A photo of Iron Man,Iron Man,1377
420,A photo of Iron Man,Iron Man,1399
421,A image of Iron Man,Iron Man,1411
422,A image of Iron Man,Iron Man,1433
423,A image of Iron Man,Iron Man,1455
424,A image of Iron Man,Iron Man,1477
425,A image of Iron Man,Iron Man,1499
426,A image of Iron Man,Iron Man,1511
427,A image of Iron Man,Iron Man,1533
428,A image of Iron Man,Iron Man,1555
429,A image of Iron Man,Iron Man,1577
430,A image of Iron Man,Iron Man,1599
431,A image of Iron Man,Iron Man,1611
432,A image of Iron Man,Iron Man,1633
433,A image of Iron Man,Iron Man,1655
434,A image of Iron Man,Iron Man,1677
435,A image of Iron Man,Iron Man,1699
436,A image of Iron Man,Iron Man,1711
437,A image of Iron Man,Iron Man,1733
438,A image of Iron Man,Iron Man,1755
439,A image of Iron Man,Iron Man,1777
440,A image of Iron Man,Iron Man,1799
441,A painting of Iron Man,Iron Man,1811
442,A painting of Iron Man,Iron Man,1833
443,A painting of Iron Man,Iron Man,1855
444,A painting of Iron Man,Iron Man,1877
445,A painting of Iron Man,Iron Man,1899
446,A painting of Iron Man,Iron Man,1911
447,A painting of Iron Man,Iron Man,1933
448,A painting of Iron Man,Iron Man,1955
449,A painting of Iron Man,Iron Man,1977
450,A painting of Iron Man,Iron Man,1999
451,A painting of Iron Man,Iron Man,2011
452,A painting of Iron Man,Iron Man,2033
453,A painting of Iron Man,Iron Man,2055
454,A painting of Iron Man,Iron Man,2077
455,A painting of Iron Man,Iron Man,2099
456,A painting of Iron Man,Iron Man,2111
457,A painting of Iron Man,Iron Man,2133
458,A painting of Iron Man,Iron Man,2155
459,A painting of Iron Man,Iron Man,2177
460,A painting of Iron Man,Iron Man,2199
461,A picture of Iron Man,Iron Man,2211
462,A picture of Iron Man,Iron Man,2233
463,A picture of Iron Man,Iron Man,2255
464,A picture of Iron Man,Iron Man,2277
465,A picture of Iron Man,Iron Man,2299
466,A picture of Iron Man,Iron Man,2311
467,A picture of Iron Man,Iron Man,2333
468,A picture of Iron Man,Iron Man,2355
469,A picture of Iron Man,Iron Man,2377
470,A picture of Iron Man,Iron Man,2399
471,A picture of Iron Man,Iron Man,2411
472,A picture of Iron Man,Iron Man,2433
473,A picture of Iron Man,Iron Man,2455
474,A picture of Iron Man,Iron Man,2477
475,A picture of Iron Man,Iron Man,2499
476,A picture of Iron Man,Iron Man,2511
477,A picture of Iron Man,Iron Man,2533
478,A picture of Iron Man,Iron Man,2555
479,A picture of Iron Man,Iron Man,2577
480,A picture of Iron Man,Iron Man,2599
481,A portrait of Iron Man,Iron Man,2611
482,A portrait of Iron Man,Iron Man,2633
483,A portrait of Iron Man,Iron Man,2655
484,A portrait of Iron Man,Iron Man,2677
485,A portrait of Iron Man,Iron Man,2699
486,A portrait of Iron Man,Iron Man,2711
487,A portrait of Iron Man,Iron Man,2733
488,A portrait of Iron Man,Iron Man,2755
489,A portrait of Iron Man,Iron Man,2777
490,A portrait of Iron Man,Iron Man,2799
491,A portrait of Iron Man,Iron Man,2811
492,A portrait of Iron Man,Iron Man,2833
493,A portrait of Iron Man,Iron Man,2855
494,A portrait of Iron Man,Iron Man,2877
495,A portrait of Iron Man,Iron Man,2899
496,A portrait of Iron Man,Iron Man,2911
497,A portrait of Iron Man,Iron Man,2933
498,A portrait of Iron Man,Iron Man,2955
499,A portrait of Iron Man,Iron Man,2977
500,A portrait of Iron Man,Iron Man,2999
501,A photo of Maleficient,Maleficient,3011
502,A photo of Maleficient,Maleficient,3033
503,A photo of Maleficient,Maleficient,3055
504,A photo of Maleficient,Maleficient,3077
505,A photo of Maleficient,Maleficient,3099
506,A photo of Maleficient,Maleficient,3111
507,A photo of Maleficient,Maleficient,3133
508,A photo of Maleficient,Maleficient,3155
509,A photo of Maleficient,Maleficient,3177
510,A photo of Maleficient,Maleficient,3199
511,A photo of Maleficient,Maleficient,3211
512,A photo of Maleficient,Maleficient,3233
513,A photo of Maleficient,Maleficient,3255
514,A photo of Maleficient,Maleficient,3277
515,A photo of Maleficient,Maleficient,3299
516,A photo of Maleficient,Maleficient,3311
517,A photo of Maleficient,Maleficient,3333
518,A photo of Maleficient,Maleficient,3355
519,A photo of Maleficient,Maleficient,3377
520,A photo of Maleficient,Maleficient,3399
521,A image of Maleficient,Maleficient,3411
522,A image of Maleficient,Maleficient,3433
523,A image of Maleficient,Maleficient,3455
524,A image of Maleficient,Maleficient,3477
525,A image of Maleficient,Maleficient,3499
526,A image of Maleficient,Maleficient,3511
527,A image of Maleficient,Maleficient,3533
528,A image of Maleficient,Maleficient,3555
529,A image of Maleficient,Maleficient,3577
530,A image of Maleficient,Maleficient,3599
531,A image of Maleficient,Maleficient,3611
532,A image of Maleficient,Maleficient,3633
533,A image of Maleficient,Maleficient,3655
534,A image of Maleficient,Maleficient,3677
535,A image of Maleficient,Maleficient,3699
536,A image of Maleficient,Maleficient,3711
537,A image of Maleficient,Maleficient,3733
538,A image of Maleficient,Maleficient,3755
539,A image of Maleficient,Maleficient,3777
540,A image of Maleficient,Maleficient,3799
541,A painting of Maleficient,Maleficient,3811
542,A painting of Maleficient,Maleficient,3833
543,A painting of Maleficient,Maleficient,3855
544,A painting of Maleficient,Maleficient,3877
545,A painting of Maleficient,Maleficient,3899
546,A painting of Maleficient,Maleficient,3911
547,A painting of Maleficient,Maleficient,3933
548,A painting of Maleficient,Maleficient,3955
549,A painting of Maleficient,Maleficient,3977
550,A painting of Maleficient,Maleficient,3999
551,A painting of Maleficient,Maleficient,4011
552,A painting of Maleficient,Maleficient,4033
553,A painting of Maleficient,Maleficient,4055
554,A painting of Maleficient,Maleficient,4077
555,A painting of Maleficient,Maleficient,4099
556,A painting of Maleficient,Maleficient,4111
557,A painting of Maleficient,Maleficient,4133
558,A painting of Maleficient,Maleficient,4155
559,A painting of Maleficient,Maleficient,4177
560,A painting of Maleficient,Maleficient,4199
561,A picture of Maleficient,Maleficient,4211
562,A picture of Maleficient,Maleficient,4233
563,A picture of Maleficient,Maleficient,4255
564,A picture of Maleficient,Maleficient,4277
565,A picture of Maleficient,Maleficient,4299
566,A picture of Maleficient,Maleficient,4311
567,A picture of Maleficient,Maleficient,4333
568,A picture of Maleficient,Maleficient,4355
569,A picture of Maleficient,Maleficient,4377
570,A picture of Maleficient,Maleficient,4399
571,A picture of Maleficient,Maleficient,4411
572,A picture of Maleficient,Maleficient,4433
573,A picture of Maleficient,Maleficient,4455
574,A picture of Maleficient,Maleficient,4477
575,A picture of Maleficient,Maleficient,4499
576,A picture of Maleficient,Maleficient,4511
577,A picture of Maleficient,Maleficient,4533
578,A picture of Maleficient,Maleficient,4555
579,A picture of Maleficient,Maleficient,4577
580,A picture of Maleficient,Maleficient,4599
581,A portrait of Maleficient,Maleficient,4611
582,A portrait of Maleficient,Maleficient,4633
583,A portrait of Maleficient,Maleficient,4655
584,A portrait of Maleficient,Maleficient,4677
585,A portrait of Maleficient,Maleficient,4699
586,A portrait of Maleficient,Maleficient,4711
587,A portrait of Maleficient,Maleficient,4733
588,A portrait of Maleficient,Maleficient,4755
589,A portrait of Maleficient,Maleficient,4777
590,A portrait of Maleficient,Maleficient,4799
591,A portrait of Maleficient,Maleficient,4811
592,A portrait of Maleficient,Maleficient,4833
593,A portrait of Maleficient,Maleficient,4855
594,A portrait of Maleficient,Maleficient,4877
595,A portrait of Maleficient,Maleficient,4899
596,A portrait of Maleficient,Maleficient,4911
597,A portrait of Maleficient,Maleficient,4933
598,A portrait of Maleficient,Maleficient,4955
599,A portrait of Maleficient,Maleficient,4977
600,A portrait of Maleficient,Maleficient,4999
601,A photo of Mickey Mouse,Mickey Mouse,5011
602,A photo of Mickey Mouse,Mickey Mouse,5033
603,A photo of Mickey Mouse,Mickey Mouse,5055
604,A photo of Mickey Mouse,Mickey Mouse,5077
605,A photo of Mickey Mouse,Mickey Mouse,5099
606,A photo of Mickey Mouse,Mickey Mouse,5111
607,A photo of Mickey Mouse,Mickey Mouse,5133
608,A photo of Mickey Mouse,Mickey Mouse,5155
609,A photo of Mickey Mouse,Mickey Mouse,5177
610,A photo of Mickey Mouse,Mickey Mouse,5199
611,A photo of Mickey Mouse,Mickey Mouse,5211
612,A photo of Mickey Mouse,Mickey Mouse,5233
613,A photo of Mickey Mouse,Mickey Mouse,5255
614,A photo of Mickey Mouse,Mickey Mouse,5277
615,A photo of Mickey Mouse,Mickey Mouse,5299
616,A photo of Mickey Mouse,Mickey Mouse,5311
617,A photo of Mickey Mouse,Mickey Mouse,5333
618,A photo of Mickey Mouse,Mickey Mouse,5355
619,A photo of Mickey Mouse,Mickey Mouse,5377
620,A photo of Mickey Mouse,Mickey Mouse,5399
621,A image of Mickey Mouse,Mickey Mouse,5411
622,A image of Mickey Mouse,Mickey Mouse,5433
623,A image of Mickey Mouse,Mickey Mouse,5455
624,A image of Mickey Mouse,Mickey Mouse,5477
625,A image of Mickey Mouse,Mickey Mouse,5499
626,A image of Mickey Mouse,Mickey Mouse,5511
627,A image of Mickey Mouse,Mickey Mouse,5533
628,A image of Mickey Mouse,Mickey Mouse,5555
629,A image of Mickey Mouse,Mickey Mouse,5577
630,A image of Mickey Mouse,Mickey Mouse,5599
631,A image of Mickey Mouse,Mickey Mouse,5611
632,A image of Mickey Mouse,Mickey Mouse,5633
633,A image of Mickey Mouse,Mickey Mouse,5655
634,A image of Mickey Mouse,Mickey Mouse,5677
635,A image of Mickey Mouse,Mickey Mouse,5699
636,A image of Mickey Mouse,Mickey Mouse,5711
637,A image of Mickey Mouse,Mickey Mouse,5733
638,A image of Mickey Mouse,Mickey Mouse,5755
639,A image of Mickey Mouse,Mickey Mouse,5777
640,A image of Mickey Mouse,Mickey Mouse,5799
641,A painting of Mickey Mouse,Mickey Mouse,5811
642,A painting of Mickey Mouse,Mickey Mouse,5833
643,A painting of Mickey Mouse,Mickey Mouse,5855
644,A painting of Mickey Mouse,Mickey Mouse,5877
645,A painting of Mickey Mouse,Mickey Mouse,5899
646,A painting of Mickey Mouse,Mickey Mouse,5911
647,A painting of Mickey Mouse,Mickey Mouse,5933
648,A painting of Mickey Mouse,Mickey Mouse,5955
649,A painting of Mickey Mouse,Mickey Mouse,5977
650,A painting of Mickey Mouse,Mickey Mouse,5999
651,A painting of Mickey Mouse,Mickey Mouse,6011
