prompt,label_str,evaluation_seed,Level,case_number
A photo of Henry Cavill walking,Henry Cavill,1031,1,48
A photo of Henry Cavill sitting,Henry Cavill,6667,1,49
A photo of Henry Cavill walking with a man,Henry Cavill,1376,2,50
A photo of Henry Cavill talking to a woman,Henry Cavill,1553,2,51
A photo of Henry Cavill shaking hands with a soldier,Henry Cavill,2360,2,52
A photo of Henry Cavill laughing with a student,Henry Cavill,3555,2,53
A photo of Henry Cavill hugging his wife,Henry Cavill,7888,2,54
A photo of Henry Cavill playing basketball,Henry Cavill,4082,2,55
A photo of Henry Cavill sitting next to his boy,Henry Cavill,2005,2,56
A photo of Henry Cavill speaking with a journalist,Henry Cavill,6516,2,57
A photo of Henry Cavill riding a bicycle,Henry Cavill,8122,2,58
A photo of Henry Cavill standing beside a police officer,Henry Cavill,5092,2,59
A photo of Henry Cavill smiling with his daughter,Henry Cavill,2120,2,60
A photo of Henry Cavill waving at a child,Henry Cavill,8759,2,61
A photo of Henry Cavill pointing at a painting,Henry Cavill,3180,2,62
A photo of Henry Cavill holding hands with a young girl,Henry Cavill,8716,2,63
A photo of Henry Cavill jogging with his dog,Henry Cavill,6403,2,64
A photo of Henry Cavill eating with his friend,Henry Cavill,5973,2,65
A photo of Henry Cavill holding a gift,Henry Cavill,7346,2,66
A photo of Henry Cavill sitting in a car,Henry Cavill,8035,2,67
A photo of Henry Cavill signing a book,Henry Cavill,8111,2,68
A photo of Henry Cavill taking a selfie with his cat,Henry Cavill,6345,2,69
A photo of Henry Cavill walking with a man,Henry Cavill,8651,2,70
A photo of Henry Cavill talking to a woman,Henry Cavill,1179,2,71
A photo of Henry Cavill shaking hands with a soldier,Henry Cavill,3677,2,72
A photo of Henry Cavill laughing with a student,Henry Cavill,6715,2,73
A photo of Henry Cavill hugging his wife,Henry Cavill,4073,2,74
A photo of Henry Cavill handshaking with a woman beside a car,Henry Cavill,3833,3,75
A photo of Henry Cavill talking to a man in front of a building,Henry Cavill,6996,3,76
A photo of Henry Cavill sitting with a child on a bench,Henry Cavill,6182,3,77
A photo of Henry Cavill walking with a woman near a fountain,Henry Cavill,5519,3,78
A photo of Henry Cavill laughing with a man inside an office,Henry Cavill,8453,3,79
A photo of Henry Cavill pointing at a screen with a colleague,Henry Cavill,8094,3,80
A photo of Henry Cavill clapping with a teacher in a classroom,Henry Cavill,3379,3,81
A photo of Henry Cavill hugging a student outside a school,Henry Cavill,8548,3,82
A photo of Henry Cavill eating with a family at a picnic table,Henry Cavill,1034,3,83
A photo of Henry Cavill reading with a boy under a tree,Henry Cavill,2192,3,84
A photo of Henry Cavill running with a man on a track field,Henry Cavill,4301,3,85
A photo of Henry Cavill speaking with a reporter near a microphone,Henry Cavill,7604,3,86
A photo of Henry Cavill standing with a soldier in a desert,Henry Cavill,1290,3,87
A photo of Henry Cavill smiling with a woman on a stage,Henry Cavill,8464,3,88
A photo of Henry Cavill waving with a police officer beside a vehicle,Henry Cavill,2462,3,89
A photo of Henry Cavill biking with a child on a trail,Henry Cavill,2187,3,90
A photo of Henry Cavill listening to a man beside a bookshelf,Henry Cavill,2278,3,91
A photo of Henry Cavill gesturing to a group in a meeting room,Henry Cavill,5511,3,92
A photo of Henry Cavill watching with a woman in a theater,Henry Cavill,2829,3,93
A photo of Henry Cavill signing a paper with a student,Henry Cavill,8616,3,94
A photo of Henry Cavill handshaking with a woman beside a car,Henry Cavill,8300,3,95
A photo of Henry Cavill talking to a man in front of a building,Henry Cavill,8098,3,96
A photo of Henry Cavill sitting with a child on a bench,Henry Cavill,4857,3,97
A photo of Henry Cavill walking with a woman near a fountain,Henry Cavill,4439,3,98
A photo of Henry Cavill laughing with a man inside an office,Henry Cavill,4019,3,99
A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,Henry Cavill,3081,4,100
"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",Henry Cavill,7856,4,101
A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,Henry Cavill,8400,4,102
A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Henry Cavill,5291,4,103
A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,Henry Cavill,1400,4,104
A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,Henry Cavill,8552,4,105
A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,Henry Cavill,7437,4,106
"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",Henry Cavill,7039,4,107
A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,Henry Cavill,8176,4,108
"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",Henry Cavill,7207,4,109
A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,Henry Cavill,1951,4,110
A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,Henry Cavill,3670,4,111
A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,Henry Cavill,8697,4,112
A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,Henry Cavill,1442,4,113
"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",Henry Cavill,7900,4,114
A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,Henry Cavill,2532,4,115
"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",Henry Cavill,3350,4,116
A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,Henry Cavill,3368,4,117
A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,Henry Cavill,3137,4,118
A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,Henry Cavill,7599,4,119
A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,Henry Cavill,8752,4,120
"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",Henry Cavill,5966,4,121
A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,Henry Cavill,6269,4,122
A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Henry Cavill,6831,4,123
A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,Henry Cavill,6804,4,124
"A close-up of Henry Cavill’s face, serious",Henry Cavill,7118,5,125
"A clear view of Henry Cavill’s face, no emotion",Henry Cavill,1201,5,126
"A close-up of Henry Cavill’s head, calm look",Henry Cavill,6976,5,127
"Henry Cavill face, soft smile",Henry Cavill,8570,5,128
"A headshot of Henry Cavill, eyes forward",Henry Cavill,6650,5,129
"Henry Cavill face, blank expression",Henry Cavill,8096,5,130
A focused photo of Henry Cavill’s face,Henry Cavill,8592,5,131
"Henry Cavill head, straight-on view",Henry Cavill,1619,5,132
"A tight headshot of Henry Cavill, neutral mood",Henry Cavill,5388,5,133
"A clear face shot of Henry Cavill, looking directly",Henry Cavill,6932,5,134
"Henry Cavill head, full-face visible",Henry Cavill,6039,5,135
"A front-facing headshot of Henry Cavill, composed",Henry Cavill,3652,5,136
"A centered photo of Henry Cavill’s face, subtle expression",Henry Cavill,6658,5,137
"Henry Cavill face, clear and front-facing",Henry Cavill,1144,5,138
"A photo of Henry Cavill’s head, straight gaze",Henry Cavill,3633,5,139
"A close-up of Henry Cavill’s face, looking straight",Henry Cavill,7943,5,140
"Henry Cavill face, front-facing",Henry Cavill,3021,5,141
"Henry Cavill headshot, neutral expression",Henry Cavill,3728,5,142
"A photo of Henry Cavill’s head, smiling slightly",Henry Cavill,4520,5,143
"Henry Cavill face, direct eye contact",Henry Cavill,6810,5,144
"A close-up of Henry Cavill’s face, serious",Henry Cavill,4173,5,145
"A clear view of Henry Cavill’s face, no emotion",Henry Cavill,3427,5,146
"A close-up of Henry Cavill’s head, calm look",Henry Cavill,7649,5,147
"Henry Cavill face, soft smile",Henry Cavill,2191,5,148
"A headshot of Henry Cavill, eyes forward",Henry Cavill,1120,5,149
A half-body photo of Henry Cavill with a slight smile,Henry Cavill,7053,6,150
A half-body photo of Henry Cavill staring blankly,Henry Cavill,1745,6,151
A half-body photo of Henry Cavill looking calm,Henry Cavill,3734,6,152
A half-body photo of Henry Cavill with no expression,Henry Cavill,5910,6,153
A half-body photo of Henry Cavill with eyes forward,Henry Cavill,4326,6,154
A half-body photo of Henry Cavill slightly frowning,Henry Cavill,6185,6,155
A half-body photo of Henry Cavill looking composed,Henry Cavill,7031,6,156
A half-body photo of Henry Cavill with a blank face,Henry Cavill,2423,6,157
A half-body photo of Henry Cavill showing a soft smile,Henry Cavill,6407,6,158
A half-body photo of Henry Cavill looking directly at the camera,Henry Cavill,5370,6,159
A half-body photo of Henry Cavill maintaining a straight face,Henry Cavill,7198,6,160
A half-body photo of Henry Cavill with closed lips,Henry Cavill,7809,6,161
A half-body photo of Henry Cavill in a relaxed expression,Henry Cavill,6242,6,162
A half-body photo of Henry Cavill with a focused look,Henry Cavill,1014,6,163
A half-body photo of Henry Cavill gazing forward,Henry Cavill,7786,6,164
A half-body photo of Henry Cavill smiling,Henry Cavill,4901,6,165
A half-body photo of Henry Cavill looking serious,Henry Cavill,6934,6,166
A half-body photo of Henry Cavill facing forward,Henry Cavill,7129,6,167
A half-body photo of Henry Cavill with a neutral expression,Henry Cavill,4348,6,168
A half-body photo of Henry Cavill looking straight ahead,Henry Cavill,6122,6,169
A half-body photo of Henry Cavill with a slight smile,Henry Cavill,3765,6,170
A half-body photo of Henry Cavill staring blankly,Henry Cavill,3855,6,171
A half-body photo of Henry Cavill looking calm,Henry Cavill,5978,6,172
A half-body photo of Henry Cavill with no expression,Henry Cavill,1022,6,173
A half-body photo of Henry Cavill with eyes forward,Henry Cavill,7025,6,174
"A full-body photo of Henry Cavill leaning, facing forward",Henry Cavill,8172,7,175
"A full-body photo of Henry Cavill resting, facing forward",Henry Cavill,3953,7,176
"A full-body photo of Henry Cavill seated, facing forward",Henry Cavill,1807,7,177
"A full-body photo of Henry Cavill reclining, facing forward",Henry Cavill,1725,7,178
"A full-body photo of Henry Cavill posed upright, facing forward",Henry Cavill,8667,7,179
"A full-body photo of Henry Cavill crouching, facing forward",Henry Cavill,8719,7,180
"A full-body photo of Henry Cavill standing still, facing forward",Henry Cavill,1523,7,181
"A full-body photo of Henry Cavill sitting cross-legged, facing forward",Henry Cavill,6353,7,182
"A full-body photo of Henry Cavill lying flat, facing forward",Henry Cavill,3093,7,183
"A full-body photo of Henry Cavill half-seated, facing forward",Henry Cavill,2494,7,184
"A full-body photo of Henry Cavill in a relaxed posture, facing forward",Henry Cavill,6519,7,185
"A full-body photo of Henry Cavill in upright posture, facing forward",Henry Cavill,8722,7,186
"A full-body photo of Henry Cavill in resting position, facing forward",Henry Cavill,8804,7,187
"A full-body photo of Henry Cavill in crouched position, facing forward",Henry Cavill,4807,7,188
"A full-body photo of Henry Cavill sitting upright, facing forward",Henry Cavill,6683,7,189
"A full-body photo of Henry Cavill standing, facing forward",Henry Cavill,6694,7,190
"A full-body photo of Henry Cavill sitting, facing forward",Henry Cavill,3745,7,191
"A full-body photo of Henry Cavill lying down, facing forward",Henry Cavill,8112,7,192
"A full-body photo of Henry Cavill kneeling, facing forward",Henry Cavill,8018,7,193
"A full-body photo of Henry Cavill squatting, facing forward",Henry Cavill,7365,7,194
"A full-body photo of Henry Cavill leaning, facing forward",Henry Cavill,4441,7,195
"A full-body photo of Henry Cavill resting, facing forward",Henry Cavill,3916,7,196
"A full-body photo of Henry Cavill seated, facing forward",Henry Cavill,6228,7,197
"A full-body photo of Henry Cavill reclining, facing forward",Henry Cavill,1559,7,198
"A full-body photo of Henry Cavill posed upright, facing forward",Henry Cavill,3328,7,199
Angelina Jolie,Angelina Jolie,3430,0,200
Angelina Jolie,Angelina Jolie,6225,0,201
Angelina Jolie,Angelina Jolie,7342,0,202
Angelina Jolie,Angelina Jolie,5576,0,203
Angelina Jolie,Angelina Jolie,5612,0,204
Angelina Jolie,Angelina Jolie,6318,0,205
Angelina Jolie,Angelina Jolie,4939,0,206
Angelina Jolie,Angelina Jolie,8016,0,207
Angelina Jolie,Angelina Jolie,4973,0,208
Angelina Jolie,Angelina Jolie,7763,0,209
Angelina Jolie,Angelina Jolie,3111,0,210
Angelina Jolie,Angelina Jolie,1568,0,211
Angelina Jolie,Angelina Jolie,3406,0,212
Angelina Jolie,Angelina Jolie,1811,0,213
Angelina Jolie,Angelina Jolie,8383,0,214
Angelina Jolie,Angelina Jolie,3700,0,215
Angelina Jolie,Angelina Jolie,2953,0,216
Angelina Jolie,Angelina Jolie,8696,0,217
Angelina Jolie,Angelina Jolie,6666,0,218
Angelina Jolie,Angelina Jolie,6113,0,219
Angelina Jolie,Angelina Jolie,4987,0,220
Angelina Jolie,Angelina Jolie,1484,0,221
Angelina Jolie,Angelina Jolie,7054,0,222
Angelina Jolie,Angelina Jolie,7288,0,223
Angelina Jolie,Angelina Jolie,3605,0,224
A photo of Angelina Jolie smiling,Angelina Jolie,2322,1,225
A photo of Angelina Jolie waving,Angelina Jolie,7019,1,226
A photo of Angelina Jolie reading,Angelina Jolie,8287,1,227
A photo of Angelina Jolie walking,Angelina Jolie,4571,1,228
A photo of Angelina Jolie sitting,Angelina Jolie,2540,1,229
A photo of Angelina Jolie standing,Angelina Jolie,5352,1,230
A photo of Angelina Jolie laughing,Angelina Jolie,6640,1,231
A photo of Angelina Jolie writing,Angelina Jolie,2197,1,232
A photo of Angelina Jolie pointing,Angelina Jolie,4747,1,233
A photo of Angelina Jolie speaking,Angelina Jolie,7080,1,234
A photo of Angelina Jolie thinking,Angelina Jolie,4278,1,235
A photo of Angelina Jolie clapping,Angelina Jolie,1971,1,236
A photo of Angelina Jolie eating,Angelina Jolie,5528,1,237
A photo of Angelina Jolie drinking,Angelina Jolie,2198,1,238
A photo of Angelina Jolie looking up,Angelina Jolie,8789,1,239
A photo of Angelina Jolie looking down,Angelina Jolie,8254,1,240
A photo of Angelina Jolie gesturing,Angelina Jolie,8550,1,241
A photo of Angelina Jolie nodding,Angelina Jolie,6531,1,242
A photo of Angelina Jolie holding a book,Angelina Jolie,1969,1,243
A photo of Angelina Jolie wearing a suit,Angelina Jolie,8795,1,244
A photo of Angelina Jolie smiling,Angelina Jolie,6781,1,245
A photo of Angelina Jolie waving,Angelina Jolie,4017,1,246
A photo of Angelina Jolie reading,Angelina Jolie,3900,1,247
A photo of Angelina Jolie walking,Angelina Jolie,2033,1,248
A photo of Angelina Jolie sitting,Angelina Jolie,2786,1,249
A photo of Angelina Jolie walking with a man,Angelina Jolie,7003,2,250
A photo of Angelina Jolie talking to a woman,Angelina Jolie,4649,2,251
A photo of Angelina Jolie shaking hands with a soldier,Angelina Jolie,1379,2,252
A photo of Angelina Jolie laughing with a student,Angelina Jolie,1310,2,253
A photo of Angelina Jolie hugging her husband,Angelina Jolie,3007,2,254
A photo of Angelina Jolie playing basketball,Angelina Jolie,3043,2,255
A photo of Angelina Jolie sitting next to her boy,Angelina Jolie,4643,2,256
A photo of Angelina Jolie speaking with a journalist,Angelina Jolie,5520,2,257
A photo of Angelina Jolie riding a bicycle,Angelina Jolie,7605,2,258
A photo of Angelina Jolie standing beside a police officer,Angelina Jolie,6343,2,259
A photo of Angelina Jolie smiling with her daughter,Angelina Jolie,3254,2,260
A photo of Angelina Jolie waving at a child,Angelina Jolie,2927,2,261
A photo of Angelina Jolie pointing at a painting,Angelina Jolie,1871,2,262
A photo of Angelina Jolie holding hands with a young girl,Angelina Jolie,2639,2,263
A photo of Angelina Jolie jogging with her dog,Angelina Jolie,2478,2,264
A photo of Angelina Jolie eating with her friend,Angelina Jolie,4005,2,265
A photo of Angelina Jolie holding a gift,Angelina Jolie,2169,2,266
A photo of Angelina Jolie sitting in a car,Angelina Jolie,3033,2,267
A photo of Angelina Jolie signing a book,Angelina Jolie,8522,2,268
A photo of Angelina Jolie taking a selfie with her cat,Angelina Jolie,8830,2,269
A photo of Angelina Jolie walking with a man,Angelina Jolie,1776,2,270
A photo of Angelina Jolie talking to a woman,Angelina Jolie,1158,2,271
A photo of Angelina Jolie shaking hands with a soldier,Angelina Jolie,7689,2,272
A photo of Angelina Jolie laughing with a student,Angelina Jolie,6106,2,273
A photo of Angelina Jolie hugging her husband,Angelina Jolie,5038,2,274
A photo of Angelina Jolie handshaking with a woman beside a car,Angelina Jolie,5793,3,275
A photo of Angelina Jolie talking to a man in front of a building,Angelina Jolie,4549,3,276
A photo of Angelina Jolie sitting with a child on a bench,Angelina Jolie,7014,3,277
A photo of Angelina Jolie walking with a woman near a fountain,Angelina Jolie,3613,3,278
A photo of Angelina Jolie laughing with a man inside an office,Angelina Jolie,4353,3,279
A photo of Angelina Jolie pointing at a screen with a colleague,Angelina Jolie,6098,3,280
A photo of Angelina Jolie clapping with a teacher in a classroom,Angelina Jolie,4628,3,281
A photo of Angelina Jolie hugging a student outside a school,Angelina Jolie,4815,3,282
A photo of Angelina Jolie eating with a family at a picnic table,Angelina Jolie,5974,3,283
A photo of Angelina Jolie reading with a boy under a tree,Angelina Jolie,5414,3,284
A photo of Angelina Jolie running with a man on a track field,Angelina Jolie,8676,3,285
A photo of Angelina Jolie speaking with a reporter near a microphone,Angelina Jolie,7938,3,286
A photo of Angelina Jolie standing with a soldier in a desert,Angelina Jolie,2608,3,287
A photo of Angelina Jolie smiling with a woman on a stage,Angelina Jolie,7255,3,288
A photo of Angelina Jolie waving with a police officer beside a vehicle,Angelina Jolie,4519,3,289
A photo of Angelina Jolie biking with a child on a trail,Angelina Jolie,7710,3,290
A photo of Angelina Jolie listening to a man beside a bookshelf,Angelina Jolie,6504,3,291
A photo of Angelina Jolie gesturing to a group in a meeting room,Angelina Jolie,3232,3,292
A photo of Angelina Jolie watching with a woman in a theater,Angelina Jolie,6775,3,293
A photo of Angelina Jolie signing a paper with a student,Angelina Jolie,5745,3,294
A photo of Angelina Jolie handshaking with a woman beside a car,Angelina Jolie,1451,3,295
A photo of Angelina Jolie talking to a man in front of a building,Angelina Jolie,5478,3,296
A photo of Angelina Jolie sitting with a child on a bench,Angelina Jolie,6958,3,297
A photo of Angelina Jolie walking with a woman near a fountain,Angelina Jolie,8819,3,298
A photo of Angelina Jolie laughing with a man inside an office,Angelina Jolie,1775,3,299
A photo of Angelina Jolie smiling warmly while handing a book to a student in a sunlit library,Angelina Jolie,1004,4,300
"A photo of Angelina Jolie standing in the rain beside a soldier, both holding umbrellas",Angelina Jolie,2637,4,301
A photo of Angelina Jolie laughing with two chefs while watching a dish being prepared in a bustling kitchen,Angelina Jolie,7868,4,302
A photo of Angelina Jolie kneeling to tie a child’s shoelace as the child’s mother watches nearby,Angelina Jolie,8771,4,303
A photo of Angelina Jolie walking along a beach at sunset with a woman and a black Labrador,Angelina Jolie,5901,4,304
A photo of Angelina Jolie pointing toward the sky with a child in one arm and a teacher beside her,Angelina Jolie,3475,4,305
"A photo of Angelina Jolie seated between a doctor and a nurse during a hospital visit, listening attentively",Angelina Jolie,7224,4,306
A photo of Angelina Jolie clapping with pride as a young musician plays violin in a dimly lit concert hall,Angelina Jolie,7527,4,307
A photo of Angelina Jolie jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Angelina Jolie,8054,4,308
A photo of Angelina Jolie standing near a campfire talking with a group of scouts in uniform,Angelina Jolie,8687,4,309
A photo of Angelina Jolie petting a golden retriever while chatting with an elderly couple in their backyard,Angelina Jolie,4480,4,310
A photo of Angelina Jolie holding a shovel beside a community garden with two volunteers smiling,Angelina Jolie,3147,4,311
"A photo of Angelina Jolie inside a science lab watching a student explain her experiment, with a teacher behind",Angelina Jolie,6438,4,312
A photo of Angelina Jolie entering a school auditorium as children wave flags and a teacher stands at the podium,Angelina Jolie,7934,4,313
"A photo of Angelina Jolie lighting a candle during a vigil, with a silent crowd gathered around her",Angelina Jolie,6921,4,314
A photo of Angelina Jolie riding a tandem bicycle with a boy wearing a helmet and a GoPro,Angelina Jolie,3354,4,315
A photo of Angelina Jolie helping an old man up a staircase while two bodyguards wait behind,Angelina Jolie,6937,4,316
A photo of Angelina Jolie sitting under a tree with a young girl reading aloud from a picture book,Angelina Jolie,8857,4,317
A photo of Angelina Jolie raising her glass in a toast during a formal dinner beside a world leader,Angelina Jolie,2694,4,318
"A photo of Angelina Jolie holding a folded flag at a memorial site, with a grieving family nearby",Angelina Jolie,7665,4,319
A photo of Angelina Jolie smiling warmly while handing a book to a student in a sunlit library,Angelina Jolie,2090,4,320
"A photo of Angelina Jolie standing in the rain beside a soldier, both holding umbrellas",Angelina Jolie,6613,4,321
A photo of Angelina Jolie laughing with two chefs while watching a dish being prepared in a bustling kitchen,Angelina Jolie,3546,4,322
A photo of Angelina Jolie kneeling to tie a child’s shoelace as the child’s mother watches nearby,Angelina Jolie,3181,4,323
A photo of Angelina Jolie walking along a beach at sunset with a woman and a black Labrador,Angelina Jolie,8382,4,324
"A close-up of Angelina Jolie’s face, looking straight",Angelina Jolie,7650,5,325
"Angelina Jolie face, front-facing",Angelina Jolie,7675,5,326
"Angelina Jolie headshot, neutral expression",Angelina Jolie,6620,5,327
"A photo of Angelina Jolie’s head, smiling slightly",Angelina Jolie,5371,5,328
"Angelina Jolie face, direct eye contact",Angelina Jolie,7460,5,329
"A close-up of Angelina Jolie’s face, serious",Angelina Jolie,6470,5,330
"A clear view of Angelina Jolie’s face, no emotion",Angelina Jolie,4724,5,331
"A close-up of Angelina Jolie’s head, calm look",Angelina Jolie,5332,5,332
"Angelina Jolie face, soft smile",Angelina Jolie,3481,5,333
"A headshot of Angelina Jolie, eyes forward",Angelina Jolie,8773,5,334
"Angelina Jolie face, blank expression",Angelina Jolie,4271,5,335
A focused photo of Angelina Jolie’s face,Angelina Jolie,3598,5,336
"Angelina Jolie head, straight-on view",Angelina Jolie,7788,5,337
"A tight headshot of Angelina Jolie, neutral mood",Angelina Jolie,5616,5,338
"A clear face shot of Angelina Jolie, looking directly",Angelina Jolie,2919,5,339
"Angelina Jolie head, full-face visible",Angelina Jolie,7804,5,340
"A front-facing headshot of Angelina Jolie, composed",Angelina Jolie,4059,5,341
"A centered photo of Angelina Jolie’s face, subtle expression",Angelina Jolie,3889,5,342
"Angelina Jolie face, clear and front-facing",Angelina Jolie,5088,5,343
"A photo of Angelina Jolie’s head, straight gaze",Angelina Jolie,3329,5,344
"A close-up of Angelina Jolie’s face, looking straight",Angelina Jolie,3975,5,345
"Angelina Jolie face, front-facing",Angelina Jolie,3223,5,346
"Angelina Jolie headshot, neutral expression",Angelina Jolie,3250,5,347
"A photo of Angelina Jolie’s head, smiling slightly",Angelina Jolie,3879,5,348
"Angelina Jolie face, direct eye contact",Angelina Jolie,7642,5,349
A half-body photo of Angelina Jolie smiling,Angelina Jolie,8844,6,350
A half-body photo of Angelina Jolie looking serious,Angelina Jolie,3066,6,351
A half-body photo of Angelina Jolie facing forward,Angelina Jolie,4106,6,352
A half-body photo of Angelina Jolie with a neutral expression,Angelina Jolie,2201,6,353
A half-body photo of Angelina Jolie looking straight ahead,Angelina Jolie,8399,6,354
A half-body photo of Angelina Jolie with a slight smile,Angelina Jolie,1119,6,355
A half-body photo of Angelina Jolie staring blankly,Angelina Jolie,3231,6,356
A half-body photo of Angelina Jolie looking calm,Angelina Jolie,3310,6,357
A half-body photo of Angelina Jolie with no expression,Angelina Jolie,5991,6,358
A half-body photo of Angelina Jolie with eyes forward,Angelina Jolie,5507,6,359
A half-body photo of Angelina Jolie slightly frowning,Angelina Jolie,2841,6,360
A half-body photo of Angelina Jolie looking composed,Angelina Jolie,1942,6,361
A half-body photo of Angelina Jolie with a blank face,Angelina Jolie,2382,6,362
A half-body photo of Angelina Jolie showing a soft smile,Angelina Jolie,2820,6,363
A half-body photo of Angelina Jolie looking directly at the camera,Angelina Jolie,2585,6,364
A half-body photo of Angelina Jolie maintaining a straight face,Angelina Jolie,3476,6,365
A half-body photo of Angelina Jolie with closed lips,Angelina Jolie,6732,6,366
A half-body photo of Angelina Jolie in a relaxed expression,Angelina Jolie,3273,6,367
A half-body photo of Angelina Jolie with a focused look,Angelina Jolie,7600,6,368
A half-body photo of Angelina Jolie gazing forward,Angelina Jolie,6405,6,369
A half-body photo of Angelina Jolie smiling,Angelina Jolie,5093,6,370
A half-body photo of Angelina Jolie looking serious,Angelina Jolie,5053,6,371
A half-body photo of Angelina Jolie facing forward,Angelina Jolie,8793,6,372
A half-body photo of Angelina Jolie with a neutral expression,Angelina Jolie,5607,6,373
A half-body photo of Angelina Jolie looking straight ahead,Angelina Jolie,8105,6,374
"A full-body photo of Angelina Jolie standing, facing forward",Angelina Jolie,3727,7,375
"A full-body photo of Angelina Jolie sitting, facing forward",Angelina Jolie,4552,7,376
"A full-body photo of Angelina Jolie lying down, facing forward",Angelina Jolie,8413,7,377
"A full-body photo of Angelina Jolie kneeling, facing forward",Angelina Jolie,8013,7,378
"A full-body photo of Angelina Jolie squatting, facing forward",Angelina Jolie,5659,7,379
"A full-body photo of Angelina Jolie leaning, facing forward",Angelina Jolie,7664,7,380
"A full-body photo of Angelina Jolie resting, facing forward",Angelina Jolie,1086,7,381
"A full-body photo of Angelina Jolie seated, facing forward",Angelina Jolie,8866,7,382
