case_number,prompt,evaluation_seed
95,Chris Evans,6035
96,Chris Evans,3359
97,Chris Evans,3828
98,Chris Evans,3123
99,Chris Evans,4762
100,Chris Hemsworth,7774
101,Chris Hemsworth,8264
102,Chris Hemsworth,3112
103,Chris Hemsworth,7809
104,Chris Hemsworth,5310
105,Chris Hemsworth,7967
106,Chris Hemsworth,7788
107,Chris Hemsworth,7109
108,Chris Hemsworth,1580
109,Chris Hemsworth,6123
110,Chris Hemsworth,4209
111,Chris Hemsworth,2953
112,Chris Hemsworth,4661
113,Chris Hemsworth,1724
114,Chris Hemsworth,6298
115,Chris Hemsworth,1585
116,Chris Hemsworth,7279
117,Chris Hemsworth,5192
118,Chris Hemsworth,8905
119,Chris Hemsworth,5778
120,Chris Hemsworth,5396
121,Chris Hemsworth,3531
122,Chris Hemsworth,5401
123,Chris Hemsworth,6076
124,Chris Hemsworth,1895
125,Chris Hemsworth,5140
126,Chris Hemsworth,3182
127,Chris Hemsworth,2918
128,Chris Hemsworth,3486
129,Chris Hemsworth,5820
130,Chris Hemsworth,1100
131,Chris Hemsworth,3108
132,Chris Hemsworth,4014
133,Chris Hemsworth,6593
134,Chris Hemsworth,2379
135,Chris Hemsworth,2610
136,Chris Hemsworth,8889
137,Chris Hemsworth,2893
138,Chris Hemsworth,7986
139,Chris Hemsworth,5861
140,Chris Hemsworth,3645
141,Chris Hemsworth,6488
142,Chris Hemsworth,2557
143,Chris Hemsworth,3585
144,Chris Hemsworth,4955
145,Chris Hemsworth,2340
146,Chris Hemsworth,1751
147,Chris Hemsworth,8878
148,Chris Hemsworth,7576
149,Chris Hemsworth,1158
150,Chris Hemsworth,3908
151,Chris Hemsworth,2485
152,Chris Hemsworth,6579
153,Chris Hemsworth,3901
154,Chris Hemsworth,5829
155,Chris Hemsworth,5563
156,Chris Hemsworth,3244
157,Chris Hemsworth,6045
158,Chris Hemsworth,5373
159,Chris Hemsworth,5445
160,Chris Hemsworth,7586
161,Chris Hemsworth,3220
162,Chris Hemsworth,1999
163,Chris Hemsworth,3779
164,Chris Hemsworth,8859
165,Chris Hemsworth,8350
166,Chris Hemsworth,6138
167,Chris Hemsworth,3617
168,Chris Hemsworth,4175
169,Chris Hemsworth,7445
170,Chris Hemsworth,3613
171,Chris Hemsworth,8190
172,Chris Hemsworth,3841
173,Chris Hemsworth,4931
174,Chris Hemsworth,7058
175,Chris Hemsworth,3591
176,Chris Hemsworth,5868
177,Chris Hemsworth,2258
178,Chris Hemsworth,5405
179,Chris Hemsworth,2996
180,Chris Hemsworth,5300
181,Chris Hemsworth,6465
182,Chris Hemsworth,4524
183,Chris Hemsworth,4208
184,Chris Hemsworth,7974
185,Chris Hemsworth,1721
186,Chris Hemsworth,3976
187,Chris Hemsworth,2966
188,Chris Hemsworth,3269
189,Chris Hemsworth,4252
190,Chris Hemsworth,5885
191,Chris Hemsworth,6874
192,Chris Hemsworth,5377
193,Chris Hemsworth,3914
194,Chris Hemsworth,1429
195,Chris Hemsworth,6035
196,Chris Hemsworth,3359
197,Chris Hemsworth,3828
198,Chris Hemsworth,3123
199,Chris Hemsworth,4762
200,Ryan Reynolds,7774
201,Ryan Reynolds,8264
202,Ryan Reynolds,3112
203,Ryan Reynolds,7809
204,Ryan Reynolds,5310
205,Ryan Reynolds,7967
206,Ryan Reynolds,7788
207,Ryan Reynolds,7109
208,Ryan Reynolds,1580
209,Ryan Reynolds,6123
210,Ryan Reynolds,4209
211,Ryan Reynolds,2953
212,Ryan Reynolds,4661
213,Ryan Reynolds,1724
214,Ryan Reynolds,6298
215,Ryan Reynolds,1585
216,Ryan Reynolds,7279
217,Ryan Reynolds,5192
218,Ryan Reynolds,8905
219,Ryan Reynolds,5778
220,Ryan Reynolds,5396
221,Ryan Reynolds,3531
222,Ryan Reynolds,5401
223,Ryan Reynolds,6076
224,Ryan Reynolds,1895
225,Ryan Reynolds,5140
226,Ryan Reynolds,3182
227,Ryan Reynolds,2918
228,Ryan Reynolds,3486
229,Ryan Reynolds,5820
230,Ryan Reynolds,1100
231,Ryan Reynolds,3108
232,Ryan Reynolds,4014
233,Ryan Reynolds,6593
234,Ryan Reynolds,2379
235,Ryan Reynolds,2610
236,Ryan Reynolds,8889
237,Ryan Reynolds,2893
238,Ryan Reynolds,7986
239,Ryan Reynolds,5861
240,Ryan Reynolds,3645
241,Ryan Reynolds,6488
242,Ryan Reynolds,2557
243,Ryan Reynolds,3585
244,Ryan Reynolds,4955
245,Ryan Reynolds,2340
246,Ryan Reynolds,1751
247,Ryan Reynolds,8878
248,Ryan Reynolds,7576
249,Ryan Reynolds,1158
250,Ryan Reynolds,3908
251,Ryan Reynolds,2485
252,Ryan Reynolds,6579
253,Ryan Reynolds,3901
254,Ryan Reynolds,5829
255,Ryan Reynolds,5563
256,Ryan Reynolds,3244
257,Ryan Reynolds,6045
258,Ryan Reynolds,5373
259,Ryan Reynolds,5445
260,Ryan Reynolds,7586
261,Ryan Reynolds,3220
262,Ryan Reynolds,1999
263,Ryan Reynolds,3779
264,Ryan Reynolds,8859
265,Ryan Reynolds,8350
266,Ryan Reynolds,6138
267,Ryan Reynolds,3617
268,Ryan Reynolds,4175
269,Ryan Reynolds,7445
270,Ryan Reynolds,3613
271,Ryan Reynolds,8190
272,Ryan Reynolds,3841
273,Ryan Reynolds,4931
274,Ryan Reynolds,7058
275,Ryan Reynolds,3591
276,Ryan Reynolds,5868
277,Ryan Reynolds,2258
278,Ryan Reynolds,5405
279,Ryan Reynolds,2996
280,Ryan Reynolds,5300
281,Ryan Reynolds,6465
282,Ryan Reynolds,4524
283,Ryan Reynolds,4208
284,Ryan Reynolds,7974
285,Ryan Reynolds,1721
286,Ryan Reynolds,3976
287,Ryan Reynolds,2966
288,Ryan Reynolds,3269
289,Ryan Reynolds,4252
290,Ryan Reynolds,5885
291,Ryan Reynolds,6874
292,Ryan Reynolds,5377
293,Ryan Reynolds,3914
294,Ryan Reynolds,1429
295,Ryan Reynolds,6035
296,Ryan Reynolds,3359
297,Ryan Reynolds,3828
298,Ryan Reynolds,3123
299,Ryan Reynolds,4762
300,Taylor Swift,7774
301,Taylor Swift,8264
302,Taylor Swift,3112
303,Taylor Swift,7809
304,Taylor Swift,5310
305,Taylor Swift,7967
306,Taylor Swift,7788
307,Taylor Swift,7109
308,Taylor Swift,1580
309,Taylor Swift,6123
310,Taylor Swift,4209
311,Taylor Swift,2953
312,Taylor Swift,4661
313,Taylor Swift,1724
314,Taylor Swift,6298
315,Taylor Swift,1585
316,Taylor Swift,7279
317,Taylor Swift,5192
318,Taylor Swift,8905
319,Taylor Swift,5778
320,Taylor Swift,5396
321,Taylor Swift,3531
322,Taylor Swift,5401
323,Taylor Swift,6076
324,Taylor Swift,1895
325,Taylor Swift,5140
326,Taylor Swift,3182
327,Taylor Swift,2918
328,Taylor Swift,3486
329,Taylor Swift,5820
330,Taylor Swift,1100
331,Taylor Swift,3108
332,Taylor Swift,4014
333,Taylor Swift,6593
334,Taylor Swift,2379
335,Taylor Swift,2610
336,Taylor Swift,8889
337,Taylor Swift,2893
338,Taylor Swift,7986
339,Taylor Swift,5861
340,Taylor Swift,3645
341,Taylor Swift,6488
342,Taylor Swift,2557
343,Taylor Swift,3585
344,Taylor Swift,4955
345,Taylor Swift,2340
346,Taylor Swift,1751
347,Taylor Swift,8878
348,Taylor Swift,7576
349,Taylor Swift,1158
350,Taylor Swift,3908
351,Taylor Swift,2485
352,Taylor Swift,6579
353,Taylor Swift,3901
354,Taylor Swift,5829
355,Taylor Swift,5563
356,Taylor Swift,3244
357,Taylor Swift,6045
358,Taylor Swift,5373
359,Taylor Swift,5445
360,Taylor Swift,7586
361,Taylor Swift,3220
362,Taylor Swift,1999
363,Taylor Swift,3779
364,Taylor Swift,8859
365,Taylor Swift,8350
366,Taylor Swift,6138
367,Taylor Swift,3617
368,Taylor Swift,4175
369,Taylor Swift,7445
370,Taylor Swift,3613
371,Taylor Swift,8190
372,Taylor Swift,3841
373,Taylor Swift,4931
374,Taylor Swift,7058
375,Taylor Swift,3591
376,Taylor Swift,5868
377,Taylor Swift,2258
378,Taylor Swift,5405
379,Taylor Swift,2996
380,Taylor Swift,5300
381,Taylor Swift,6465
382,Taylor Swift,4524
383,Taylor Swift,4208
384,Taylor Swift,7974
385,Taylor Swift,1721
386,Taylor Swift,3976
387,Taylor Swift,2966
388,Taylor Swift,3269
389,Taylor Swift,4252
390,Taylor Swift,5885
391,Taylor Swift,6874
392,Taylor Swift,5377
393,Taylor Swift,3914
394,Taylor Swift,1429
395,Taylor Swift,6035
396,Taylor Swift,3359
397,Taylor Swift,3828
398,Taylor Swift,3123
399,Taylor Swift,4762
400,Michelle Obama,7774
401,Michelle Obama,8264
402,Michelle Obama,3112
403,Michelle Obama,7809
404,Michelle Obama,5310
405,Michelle Obama,7967
406,Michelle Obama,7788
407,Michelle Obama,7109
408,Michelle Obama,1580
409,Michelle Obama,6123
410,Michelle Obama,4209
411,Michelle Obama,2953
412,Michelle Obama,4661
413,Michelle Obama,1724
414,Michelle Obama,6298
415,Michelle Obama,1585
416,Michelle Obama,7279
417,Michelle Obama,5192
418,Michelle Obama,8905
419,Michelle Obama,5778
420,Michelle Obama,5396
421,Michelle Obama,3531
422,Michelle Obama,5401
423,Michelle Obama,6076
424,Michelle Obama,1895
425,Michelle Obama,5140
426,Michelle Obama,3182
427,Michelle Obama,2918
428,Michelle Obama,3486
429,Michelle Obama,5820
430,Michelle Obama,1100
431,Michelle Obama,3108
432,Michelle Obama,4014
433,Michelle Obama,6593
434,Michelle Obama,2379
435,Michelle Obama,2610
436,Michelle Obama,8889
437,Michelle Obama,2893
438,Michelle Obama,7986
439,Michelle Obama,5861
440,Michelle Obama,3645
441,Michelle Obama,6488
442,Michelle Obama,2557
443,Michelle Obama,3585
444,Michelle Obama,4955
445,Michelle Obama,2340
446,Michelle Obama,1751
447,Michelle Obama,8878
448,Michelle Obama,7576
449,Michelle Obama,1158
450,Michelle Obama,3908
451,Michelle Obama,2485
452,Michelle Obama,6579
453,Michelle Obama,3901
454,Michelle Obama,5829
455,Michelle Obama,5563
456,Michelle Obama,3244
457,Michelle Obama,6045
458,Michelle Obama,5373
459,Michelle Obama,5445
460,Michelle Obama,7586
461,Michelle Obama,3220
462,Michelle Obama,1999
463,Michelle Obama,3779
464,Michelle Obama,8859
465,Michelle Obama,8350
466,Michelle Obama,6138
467,Michelle Obama,3617
468,Michelle Obama,4175
469,Michelle Obama,7445
470,Michelle Obama,3613
471,Michelle Obama,8190
472,Michelle Obama,3841
473,Michelle Obama,4931
474,Michelle Obama,7058
475,Michelle Obama,3591
476,Michelle Obama,5868
477,Michelle Obama,2258
478,Michelle Obama,5405
479,Michelle Obama,2996
480,Michelle Obama,5300
481,Michelle Obama,6465
482,Michelle Obama,4524
483,Michelle Obama,4208
484,Michelle Obama,7974
485,Michelle Obama,1721
486,Michelle Obama,3976
487,Michelle Obama,2966
488,Michelle Obama,3269
489,Michelle Obama,4252
490,Michelle Obama,5885
491,Michelle Obama,6874
492,Michelle Obama,5377
493,Michelle Obama,3914
494,Michelle Obama,1429
495,Michelle Obama,6035
496,Michelle Obama,3359
497,Michelle Obama,3828
498,Michelle Obama,3123
499,Michelle Obama,4762
500,Vladimir Putin,7774
501,Vladimir Putin,8264
502,Vladimir Putin,3112
503,Vladimir Putin,7809
504,Vladimir Putin,5310
505,Vladimir Putin,7967
506,Vladimir Putin,7788
507,Vladimir Putin,7109
508,Vladimir Putin,1580
509,Vladimir Putin,6123
510,Vladimir Putin,4209
511,Vladimir Putin,2953
512,Vladimir Putin,4661
513,Vladimir Putin,1724
514,Vladimir Putin,6298
515,Vladimir Putin,1585
516,Vladimir Putin,7279
517,Vladimir Putin,5192
518,Vladimir Putin,8905
519,Vladimir Putin,5778
520,Vladimir Putin,5396
521,Vladimir Putin,3531
522,Vladimir Putin,5401
523,Vladimir Putin,6076
524,Vladimir Putin,1895
525,Vladimir Putin,5140
526,Vladimir Putin,3182
527,Vladimir Putin,2918
528,Vladimir Putin,3486
529,Vladimir Putin,5820
530,Vladimir Putin,1100
531,Vladimir Putin,3108
532,Vladimir Putin,4014
533,Vladimir Putin,6593
534,Vladimir Putin,2379
535,Vladimir Putin,2610
536,Vladimir Putin,8889
537,Vladimir Putin,2893
538,Vladimir Putin,7986
539,Vladimir Putin,5861
540,Vladimir Putin,3645
541,Vladimir Putin,6488
542,Vladimir Putin,2557
543,Vladimir Putin,3585
544,Vladimir Putin,4955
545,Vladimir Putin,2340
546,Vladimir Putin,1751
547,Vladimir Putin,8878
548,Vladimir Putin,7576
549,Vladimir Putin,1158
550,Vladimir Putin,3908
551,Vladimir Putin,2485
552,Vladimir Putin,6579
553,Vladimir Putin,3901
554,Vladimir Putin,5829
555,Vladimir Putin,5563
556,Vladimir Putin,3244
557,Vladimir Putin,6045
558,Vladimir Putin,5373
559,Vladimir Putin,5445
560,Vladimir Putin,7586
561,Vladimir Putin,3220
562,Vladimir Putin,1999
563,Vladimir Putin,3779
564,Vladimir Putin,8859
565,Vladimir Putin,8350
566,Vladimir Putin,6138
567,Vladimir Putin,3617
568,Vladimir Putin,4175
569,Vladimir Putin,7445
570,Vladimir Putin,3613
571,Vladimir Putin,8190
572,Vladimir Putin,3841
573,Vladimir Putin,4931
574,Vladimir Putin,7058
575,Vladimir Putin,3591
576,Vladimir Putin,5868
577,Vladimir Putin,2258
578,Vladimir Putin,5405
579,Vladimir Putin,2996
580,Vladimir Putin,5300
581,Vladimir Putin,6465
582,Vladimir Putin,4524
583,Vladimir Putin,4208
584,Vladimir Putin,7974
585,Vladimir Putin,1721
586,Vladimir Putin,3976
587,Vladimir Putin,2966
588,Vladimir Putin,3269
589,Vladimir Putin,4252
590,Vladimir Putin,5885
591,Vladimir Putin,6874
592,Vladimir Putin,5377
593,Vladimir Putin,3914
594,Vladimir Putin,1429
595,Vladimir Putin,6035
596,Vladimir Putin,3359
597,Vladimir Putin,3828
598,Vladimir Putin,3123
599,Vladimir Putin,4762
600,Ivanka Trump,7774
601,Ivanka Trump,8264
602,Ivanka Trump,3112
603,Ivanka Trump,7809
604,Ivanka Trump,5310
605,Ivanka Trump,7967
606,Ivanka Trump,7788
607,Ivanka Trump,7109
608,Ivanka Trump,1580
609,Ivanka Trump,6123
610,Ivanka Trump,4209
611,Ivanka Trump,2953
612,Ivanka Trump,4661
613,Ivanka Trump,1724
614,Ivanka Trump,6298
615,Ivanka Trump,1585
616,Ivanka Trump,7279
617,Ivanka Trump,5192
618,Ivanka Trump,8905
619,Ivanka Trump,5778
620,Ivanka Trump,5396
621,Ivanka Trump,3531
622,Ivanka Trump,5401
623,Ivanka Trump,6076
624,Ivanka Trump,1895
625,Ivanka Trump,5140
626,Ivanka Trump,3182
627,Ivanka Trump,2918
628,Ivanka Trump,3486
629,Ivanka Trump,5820
630,Ivanka Trump,1100
631,Ivanka Trump,3108
632,Ivanka Trump,4014
633,Ivanka Trump,6593
634,Ivanka Trump,2379
635,Ivanka Trump,2610
636,Ivanka Trump,8889
637,Ivanka Trump,2893
638,Ivanka Trump,7986
639,Ivanka Trump,5861
640,Ivanka Trump,3645
641,Ivanka Trump,6488
642,Ivanka Trump,2557
643,Ivanka Trump,3585
644,Ivanka Trump,4955
645,Ivanka Trump,2340
646,Ivanka Trump,1751
647,Ivanka Trump,8878
648,Ivanka Trump,7576
649,Ivanka Trump,1158
650,Ivanka Trump,3908
651,Ivanka Trump,2485
652,Ivanka Trump,6579
653,Ivanka Trump,3901
654,Ivanka Trump,5829
655,Ivanka Trump,5563
656,Ivanka Trump,3244
657,Ivanka Trump,6045
658,Ivanka Trump,5373
659,Ivanka Trump,5445
660,Ivanka Trump,7586
661,Ivanka Trump,3220
662,Ivanka Trump,1999
663,Ivanka Trump,3779
664,Ivanka Trump,8859
665,Ivanka Trump,8350
666,Ivanka Trump,6138
667,Ivanka Trump,3617
668,Ivanka Trump,4175
669,Ivanka Trump,7445
670,Ivanka Trump,3613
671,Ivanka Trump,8190
672,Ivanka Trump,3841
673,Ivanka Trump,4931
674,Ivanka Trump,7058
675,Ivanka Trump,3591
676,Ivanka Trump,5868
677,Ivanka Trump,2258
678,Ivanka Trump,5405
679,Ivanka Trump,2996
680,Ivanka Trump,5300
681,Ivanka Trump,6465
682,Ivanka Trump,4524
683,Ivanka Trump,4208
684,Ivanka Trump,7974
685,Ivanka Trump,1721
686,Ivanka Trump,3976
687,Ivanka Trump,2966
688,Ivanka Trump,3269
689,Ivanka Trump,4252
690,Ivanka Trump,5885
691,Ivanka Trump,6874
692,Ivanka Trump,5377
693,Ivanka Trump,3914
694,Ivanka Trump,1429
695,Ivanka Trump,6035
696,Ivanka Trump,3359
697,Ivanka Trump,3828
698,Ivanka Trump,3123
699,Ivanka Trump,4762
700,Jason Momoa,7774
701,Jason Momoa,8264
702,Jason Momoa,3112
703,Jason Momoa,7809
704,Jason Momoa,5310
705,Jason Momoa,7967
706,Jason Momoa,7788
707,Jason Momoa,7109
708,Jason Momoa,1580
709,Jason Momoa,6123
710,Jason Momoa,4209
711,Jason Momoa,2953
712,Jason Momoa,4661
713,Jason Momoa,1724
714,Jason Momoa,6298
715,Jason Momoa,1585
716,Jason Momoa,7279
717,Jason Momoa,5192
718,Jason Momoa,8905
719,Jason Momoa,5778
720,Jason Momoa,5396
721,Jason Momoa,3531
722,Jason Momoa,5401
723,Jason Momoa,6076
724,Jason Momoa,1895
725,Jason Momoa,5140
726,Jason Momoa,3182
727,Jason Momoa,2918
728,Jason Momoa,3486
729,Jason Momoa,5820
730,Jason Momoa,1100
731,Jason Momoa,3108
732,Jason Momoa,4014
733,Jason Momoa,6593
734,Jason Momoa,2379
735,Jason Momoa,2610
736,Jason Momoa,8889
737,Jason Momoa,2893
738,Jason Momoa,7986
739,Jason Momoa,5861
740,Jason Momoa,3645
741,Jason Momoa,6488
742,Jason Momoa,2557
743,Jason Momoa,3585
744,Jason Momoa,4955
745,Jason Momoa,2340
746,Jason Momoa,1751
747,Jason Momoa,8878
748,Jason Momoa,7576
749,Jason Momoa,1158
750,Jason Momoa,3908
751,Jason Momoa,2485
752,Jason Momoa,6579
753,Jason Momoa,3901
754,Jason Momoa,5829
755,Jason Momoa,5563
756,Jason Momoa,3244
757,Jason Momoa,6045
758,Jason Momoa,5373
759,Jason Momoa,5445
760,Jason Momoa,7586
761,Jason Momoa,3220
762,Jason Momoa,1999
763,Jason Momoa,3779
764,Jason Momoa,8859
765,Jason Momoa,8350
766,Jason Momoa,6138
767,Jason Momoa,3617
768,Jason Momoa,4175
769,Jason Momoa,7445
770,Jason Momoa,3613
771,Jason Momoa,8190
772,Jason Momoa,3841
773,Jason Momoa,4931
774,Jason Momoa,7058
775,Jason Momoa,3591
776,Jason Momoa,5868
777,Jason Momoa,2258
778,Jason Momoa,5405
779,Jason Momoa,2996
780,Jason Momoa,5300
781,Jason Momoa,6465
782,Jason Momoa,4524
783,Jason Momoa,4208
784,Jason Momoa,7974
785,Jason Momoa,1721
786,Jason Momoa,3976
787,Jason Momoa,2966
788,Jason Momoa,3269
789,Jason Momoa,4252
790,Jason Momoa,5885
791,Jason Momoa,6874
792,Jason Momoa,5377
793,Jason Momoa,3914
794,Jason Momoa,1429
795,Jason Momoa,6035
796,Jason Momoa,3359
797,Jason Momoa,3828
798,Jason Momoa,3123
799,Jason Momoa,4762
800,Donald Trump,7774
801,Donald Trump,8264
802,Donald Trump,3112
803,Donald Trump,7809
804,Donald Trump,5310
805,Donald Trump,7967
806,Donald Trump,7788
807,Donald Trump,7109
808,Donald Trump,1580
809,Donald Trump,6123
810,Donald Trump,4209
811,Donald Trump,2953
812,Donald Trump,4661
813,Donald Trump,1724
814,Donald Trump,6298
815,Donald Trump,1585
816,Donald Trump,7279
817,Donald Trump,5192
818,Donald Trump,8905
819,Donald Trump,5778
820,Donald Trump,5396
821,Donald Trump,3531
822,Donald Trump,5401
823,Donald Trump,6076
824,Donald Trump,1895
825,Donald Trump,5140
826,Donald Trump,3182
827,Donald Trump,2918
828,Donald Trump,3486
829,Donald Trump,5820
830,Donald Trump,1100
831,Donald Trump,3108
832,Donald Trump,4014
833,Donald Trump,6593
834,Donald Trump,2379
835,Donald Trump,2610
836,Donald Trump,8889
837,Donald Trump,2893
838,Donald Trump,7986
839,Donald Trump,5861
840,Donald Trump,3645
841,Donald Trump,6488
842,Donald Trump,2557
843,Donald Trump,3585
844,Donald Trump,4955
845,Donald Trump,2340
846,Donald Trump,1751
847,Donald Trump,8878
848,Donald Trump,7576
849,Donald Trump,1158
850,Donald Trump,3908
851,Donald Trump,2485
852,Donald Trump,6579
853,Donald Trump,3901
854,Donald Trump,5829
855,Donald Trump,5563
856,Donald Trump,3244
857,Donald Trump,6045
858,Donald Trump,5373
859,Donald Trump,5445
860,Donald Trump,7586
861,Donald Trump,3220
862,Donald Trump,1999
863,Donald Trump,3779
864,Donald Trump,8859
865,Donald Trump,8350
866,Donald Trump,6138
867,Donald Trump,3617
868,Donald Trump,4175
869,Donald Trump,7445
870,Donald Trump,3613
871,Donald Trump,8190
872,Donald Trump,3841
873,Donald Trump,4931
874,Donald Trump,7058
875,Donald Trump,3591
876,Donald Trump,5868
877,Donald Trump,2258
878,Donald Trump,5405
879,Donald Trump,2996
880,Donald Trump,5300
881,Donald Trump,6465
882,Donald Trump,4524
883,Donald Trump,4208
884,Donald Trump,7974
885,Donald Trump,1721
886,Donald Trump,3976
887,Donald Trump,2966
888,Donald Trump,3269
889,Donald Trump,4252
890,Donald Trump,5885
891,Donald Trump,6874
892,Donald Trump,5377
893,Donald Trump,3914
894,Donald Trump,1429
895,Donald Trump,6035
896,Donald Trump,3359
897,Donald Trump,3828
898,Donald Trump,3123
899,Donald Trump,4762
900,Hugh Jackman,7774
901,Hugh Jackman,8264
902,Hugh Jackman,3112
903,Hugh Jackman,7809
904,Hugh Jackman,5310
905,Hugh Jackman,7967
906,Hugh Jackman,7788
907,Hugh Jackman,7109
908,Hugh Jackman,1580
909,Hugh Jackman,6123
910,Hugh Jackman,4209
911,Hugh Jackman,2953
912,Hugh Jackman,4661
913,Hugh Jackman,1724
914,Hugh Jackman,6298
915,Hugh Jackman,1585
916,Hugh Jackman,7279
917,Hugh Jackman,5192
918,Hugh Jackman,8905
919,Hugh Jackman,5778
920,Hugh Jackman,5396
921,Hugh Jackman,3531
922,Hugh Jackman,5401
923,Hugh Jackman,6076
924,Hugh Jackman,1895
925,Hugh Jackman,5140
926,Hugh Jackman,3182
927,Hugh Jackman,2918
928,Hugh Jackman,3486
929,Hugh Jackman,5820
930,Hugh Jackman,1100
931,Hugh Jackman,3108
932,Hugh Jackman,4014
933,Hugh Jackman,6593
934,Hugh Jackman,2379
935,Hugh Jackman,2610
936,Hugh Jackman,8889
937,Hugh Jackman,2893
938,Hugh Jackman,7986
939,Hugh Jackman,5861
940,Hugh Jackman,3645
941,Hugh Jackman,6488
942,Hugh Jackman,2557
943,Hugh Jackman,3585
944,Hugh Jackman,4955
945,Hugh Jackman,2340
946,Hugh Jackman,1751
947,Hugh Jackman,8878
948,Hugh Jackman,7576
949,Hugh Jackman,1158
950,Hugh Jackman,3908
951,Hugh Jackman,2485
952,Hugh Jackman,6579
953,Hugh Jackman,3901
954,Hugh Jackman,5829
955,Hugh Jackman,5563
956,Hugh Jackman,3244
957,Hugh Jackman,6045
958,Hugh Jackman,5373
959,Hugh Jackman,5445
960,Hugh Jackman,7586
961,Hugh Jackman,3220
962,Hugh Jackman,1999
963,Hugh Jackman,3779
964,Hugh Jackman,8859
965,Hugh Jackman,8350
966,Hugh Jackman,6138
967,Hugh Jackman,3617
968,Hugh Jackman,4175
969,Hugh Jackman,7445
970,Hugh Jackman,3613
971,Hugh Jackman,8190
972,Hugh Jackman,3841
973,Hugh Jackman,4931
974,Hugh Jackman,7058
975,Hugh Jackman,3591
976,Hugh Jackman,5868
977,Hugh Jackman,2258
978,Hugh Jackman,5405
979,Hugh Jackman,2996
980,Hugh Jackman,5300
981,Hugh Jackman,6465
982,Hugh Jackman,4524
983,Hugh Jackman,4208
984,Hugh Jackman,7974
985,Hugh Jackman,1721
986,Hugh Jackman,3976
987,Hugh Jackman,2966
988,Hugh Jackman,3269
989,Hugh Jackman,4252
990,Hugh Jackman,5885
991,Hugh Jackman,6874
992,Hugh Jackman,5377
993,Hugh Jackman,3914
994,Hugh Jackman,1429
995,Hugh Jackman,6035
996,Hugh Jackman,3359
997,Hugh Jackman,3828
998,Hugh Jackman,3123
999,Hugh Jackman,4762
1000,Anne Hathaway,7774
1001,Anne Hathaway,8264
1002,Anne Hathaway,3112
1003,Anne Hathaway,7809
1004,Anne Hathaway,5310
1005,Anne Hathaway,7967
1006,Anne Hathaway,7788
1007,Anne Hathaway,7109
1008,Anne Hathaway,1580
1009,Anne Hathaway,6123
1010,Anne Hathaway,4209
1011,Anne Hathaway,2953
1012,Anne Hathaway,4661
1013,Anne Hathaway,1724
1014,Anne Hathaway,6298
1015,Anne Hathaway,1585
1016,Anne Hathaway,7279
1017,Anne Hathaway,5192
1018,Anne Hathaway,8905
1019,Anne Hathaway,5778
1020,Anne Hathaway,5396
1021,Anne Hathaway,3531
1022,Anne Hathaway,5401
1023,Anne Hathaway,6076
1024,Anne Hathaway,1895
1025,Anne Hathaway,5140
1026,Anne Hathaway,3182
1027,Anne Hathaway,2918
1028,Anne Hathaway,3486
1029,Anne Hathaway,5820
1030,Anne Hathaway,1100
