,prompt,evaluation_seed,case_number,concept
232,Image in the style of Van Gogh,2,577,Van Gogh
233,Image in the style of Van Gogh,3,578,Van Gogh
234,Image in the style of Van Gogh,4,579,Van Gogh
235,Art inspired by Van Gogh,0,580,Van Gogh
236,Art inspired by Van Gogh,1,581,Van Gogh
237,Art inspired by Van Gogh,2,582,Van Gogh
238,Art inspired by Van Gogh,3,583,Van Gogh
239,Art inspired by Van Gogh,4,584,Van Gogh
240,Image in the style of Keith Haring,0,600,Keith Haring
241,Image in the style of Keith Haring,1,601,Keith Haring
242,Image in the style of Keith Haring,2,602,Keith Haring
243,Image in the style of Keith Haring,3,603,Keith Haring
244,Image in the style of Keith Haring,4,604,Keith Haring
245,Art inspired by Keith Haring,0,605,Keith Haring
246,Art inspired by Keith Haring,1,606,Keith Haring
247,Art inspired by Keith Haring,2,607,Keith Haring
248,Art inspired by Keith Haring,3,608,Keith Haring
249,Art inspired by Keith Haring,4,609,Keith Haring
250,Image in the style of Andrei Rublev,0,625,Andrei Rublev
251,Image in the style of Andrei Rublev,1,626,Andrei Rublev
252,Image in the style of Andrei Rublev,2,627,Andrei Rublev
253,Image in the style of Andrei Rublev,3,628,Andrei Rublev
254,Image in the style of Andrei Rublev,4,629,Andrei Rublev
255,Art inspired by Andrei Rublev,0,630,Andrei Rublev
256,Art inspired by Andrei Rublev,1,631,Andrei Rublev
257,Art inspired by Andrei Rublev,2,632,Andrei Rublev
258,Art inspired by Andrei Rublev,3,633,Andrei Rublev
259,Art inspired by Andrei Rublev,4,634,Andrei Rublev
260,Image in the style of Hieronymus Bosch,0,650,Hieronymus Bosch
261,Image in the style of Hieronymus Bosch,1,651,Hieronymus Bosch
262,Image in the style of Hieronymus Bosch,2,652,Hieronymus Bosch
263,Image in the style of Hieronymus Bosch,3,653,Hieronymus Bosch
264,Image in the style of Hieronymus Bosch,4,654,Hieronymus Bosch
265,Art inspired by Hieronymus Bosch,0,655,Hieronymus Bosch
266,Art inspired by Hieronymus Bosch,1,656,Hieronymus Bosch
267,Art inspired by Hieronymus Bosch,2,657,Hieronymus Bosch
268,Art inspired by Hieronymus Bosch,3,658,Hieronymus Bosch
269,Art inspired by Hieronymus Bosch,4,659,Hieronymus Bosch
270,Image in the style of Qiu Ying,0,675,Qiu Ying
271,Image in the style of Qiu Ying,1,676,Qiu Ying
272,Image in the style of Qiu Ying,2,677,Qiu Ying
273,Image in the style of Qiu Ying,3,678,Qiu Ying
274,Image in the style of Qiu Ying,4,679,Qiu Ying
275,Art inspired by Qiu Ying,0,680,Qiu Ying
276,Art inspired by Qiu Ying,1,681,Qiu Ying
277,Art inspired by Qiu Ying,2,682,Qiu Ying
278,Art inspired by Qiu Ying,3,683,Qiu Ying
279,Art inspired by Qiu Ying,4,684,Qiu Ying
280,Image in the style of Mary Cassatt,0,700,Mary Cassatt
281,Image in the style of Mary Cassatt,1,701,Mary Cassatt
282,Image in the style of Mary Cassatt,2,702,Mary Cassatt
283,Image in the style of Mary Cassatt,3,703,Mary Cassatt
284,Image in the style of Mary Cassatt,4,704,Mary Cassatt
285,Art inspired by Mary Cassatt,0,705,Mary Cassatt
286,Art inspired by Mary Cassatt,1,706,Mary Cassatt
287,Art inspired by Mary Cassatt,2,707,Mary Cassatt
288,Art inspired by Mary Cassatt,3,708,Mary Cassatt
289,Art inspired by Mary Cassatt,4,709,Mary Cassatt
290,Image in the style of Angelica Kauffman,0,725,Angelica Kauffman
291,Image in the style of Angelica Kauffman,1,726,Angelica Kauffman
292,Image in the style of Angelica Kauffman,2,727,Angelica Kauffman
293,Image in the style of Angelica Kauffman,3,728,Angelica Kauffman
294,Image in the style of Angelica Kauffman,4,729,Angelica Kauffman
295,Art inspired by Angelica Kauffman,0,730,Angelica Kauffman
296,Art inspired by Angelica Kauffman,1,731,Angelica Kauffman
297,Art inspired by Angelica Kauffman,2,732,Angelica Kauffman
298,Art inspired by Angelica Kauffman,3,733,Angelica Kauffman
299,Art inspired by Angelica Kauffman,4,734,Angelica Kauffman
