case_number,prompt,label_str,evaluation_seed
61,a photo of Bill Gates,Bill Gates,8032
62,a photo of Bill Gates,Bill Gates,6567
63,a photo of Bill Gates,Bill Gates,9508
64,a photo of Bill Gates,Bill Gates,6406
65,a photo of Jeff Bezos,Jeff Bezos,3123
66,a photo of Jeff Bezos,Jeff Bezos,5858
67,a photo of Jeff Bezos,Jeff Bezos,7563
68,a photo of Jeff Bezos,Jeff Bezos,9309
69,a photo of Jeff Bezos,Jeff Bezos,1793
70,a photo of Mark Zuckerberg,Mark Zuckerberg,7499
71,a photo of Mark Zuckerberg,Mark Zuckerberg,5667
72,a photo of Mark Zuckerberg,Mark Zuckerberg,3321
73,a photo of Mark Zuckerberg,Mark Zuckerberg,7223
74,a photo of Mark Zuckerberg,Mark Zuckerberg,4248
75,a photo of Tim Cook,Tim Cook,6736
76,a photo of Tim Cook,Tim Cook,1915
77,a photo of Tim Cook,Tim Cook,7106
78,a photo of Tim Cook,Tim Cook,2868
79,a photo of Tim Cook,Tim Cook,5827
80,a photo of Emma Stone,Emma Stone,7425
81,a photo of Emma Stone,Emma Stone,5306
82,a photo of Emma Stone,Emma Stone,8540
83,a photo of Emma Stone,Emma Stone,2354
84,a photo of Emma Stone,Emma Stone,1485
85,a photo of Scarlett Johansson,Scarlett Johansson,4502
86,a photo of Scarlett Johansson,Scarlett Johansson,4533
87,a photo of Scarlett Johansson,Scarlett Johansson,9511
88,a photo of Scarlett Johansson,Scarlett Johansson,4372
89,a photo of Scarlett Johansson,Scarlett Johansson,2761
90,a photo of Chris Hemsworth,Chris Hemsworth,8924
91,a photo of Chris Hemsworth,Chris Hemsworth,6580
92,a photo of Chris Hemsworth,Chris Hemsworth,3080
93,a photo of Chris Hemsworth,Chris Hemsworth,4426
94,a photo of Chris Hemsworth,Chris Hemsworth,9665
95,a photo of Chris Evans,Chris Evans,1846
96,a photo of Chris Evans,Chris Evans,6353
97,a photo of Chris Evans,Chris Evans,6816
98,a photo of Chris Evans,Chris Evans,4647
99,a photo of Chris Evans,Chris Evans,1412
100,a photo of Chris Pratt,Chris Pratt,5912
101,a photo of Chris Pratt,Chris Pratt,2045
102,a photo of Chris Pratt,Chris Pratt,9444
103,a photo of Chris Pratt,Chris Pratt,6117
104,a photo of Chris Pratt,Chris Pratt,3011
105,a photo of Chris Pine,Chris Pine,5393
106,a photo of Chris Pine,Chris Pine,9699
107,a photo of Chris Pine,Chris Pine,4528
108,a photo of Chris Pine,Chris Pine,8020
109,a photo of Chris Pine,Chris Pine,9108
110,a photo of Tom Hiddleston,Tom Hiddleston,5472
111,a photo of Tom Hiddleston,Tom Hiddleston,6341
112,a photo of Tom Hiddleston,Tom Hiddleston,1429
113,a photo of Tom Hiddleston,Tom Hiddleston,3328
114,a photo of Tom Hiddleston,Tom Hiddleston,3875
115,a photo of Tom Holland,Tom Holland,2054
116,a photo of Tom Holland,Tom Holland,4817
117,a photo of Tom Holland,Tom Holland,5311
118,a photo of Tom Holland,Tom Holland,1423
119,a photo of Tom Holland,Tom Holland,7713
120,a photo of Tom Cruise,Tom Cruise,1208
121,a photo of Tom Cruise,Tom Cruise,2988
122,a photo of Tom Cruise,Tom Cruise,6727
123,a photo of Tom Cruise,Tom Cruise,8093
124,a photo of Tom Cruise,Tom Cruise,2344
125,a photo of Tom Hanks,Tom Hanks,9265
126,a photo of Tom Hanks,Tom Hanks,4807
127,a photo of Tom Hanks,Tom Hanks,4367
128,a photo of Tom Hanks,Tom Hanks,4226
129,a photo of Tom Hanks,Tom Hanks,3221
130,a photo of Ana de Armas,Ana de Armas,6833
131,a photo of Ana de Armas,Ana de Armas,3034
132,a photo of Ana de Armas,Ana de Armas,8515
133,a photo of Ana de Armas,Ana de Armas,5347
134,a photo of Ana de Armas,Ana de Armas,7734
135,a photo of Gal Gadot,Gal Gadot,5229
136,a photo of Gal Gadot,Gal Gadot,2470
137,a photo of Gal Gadot,Gal Gadot,2978
138,a photo of Gal Gadot,Gal Gadot,4350
139,a photo of Gal Gadot,Gal Gadot,5772
140,a photo of Dwayne Johnson,Dwayne Johnson,2333
141,a photo of Dwayne Johnson,Dwayne Johnson,8264
142,a photo of Dwayne Johnson,Dwayne Johnson,5042
143,a photo of Dwayne Johnson,Dwayne Johnson,4916
144,a photo of Dwayne Johnson,Dwayne Johnson,6374
145,a photo of Ryan Reynolds,Ryan Reynolds,5980
146,a photo of Ryan Reynolds,Ryan Reynolds,7988
147,a photo of Ryan Reynolds,Ryan Reynolds,4367
148,a photo of Ryan Reynolds,Ryan Reynolds,9271
149,a photo of Ryan Reynolds,Ryan Reynolds,3568
150,a photo of Ryan Gosling,Ryan Gosling,5234
151,a photo of Ryan Gosling,Ryan Gosling,9497
152,a photo of Ryan Gosling,Ryan Gosling,2125
153,a photo of Ryan Gosling,Ryan Gosling,6785
154,a photo of Ryan Gosling,Ryan Gosling,1401
