id,prompt,keyword,target_prompt,context
37,A photo of Henry Cavill gesturing,Henry Cavill,A photo of a man gesturing,guesturing
38,A photo of Henry Cavill nodding,Henry Cavill,A photo of a man nodding,nodding
39,A photo of Henry Cavill holding a book,Henry Cavill,A photo of a man holding a book,holding a book
40,A photo of Henry Cavill wearing a suit,Henry Cavill,A photo of a man wearing a suit,wearing a suit
41,A photo of Angelina Jolie smiling,Angelina Jolie,A photo of a woman smiling,smiling
42,A photo of Angelina Jolie waving,Angelina Jolie,A photo of a woman waving,waving
43,A photo of Angelina Jolie reading,Angelina Jolie,A photo of a woman reading,reading
44,A photo of Angelina Jolie walking,Angelina Jolie,A photo of a woman walking,walking
45,A photo of Angelina Jolie sitting,Angelina Jolie,A photo of a woman sitting,sitting
46,A photo of Angelina Jolie standing,Angelina Jolie,A photo of a woman standing,standing
47,A photo of Angelina Jolie laughing,Angelina Jolie,A photo of a woman laughing,laughing
48,A photo of Angelina Jolie writing,Angelina Jolie,A photo of a woman writing,writing
49,A photo of Angelina Jolie pointing,Angelina Jolie,A photo of a woman pointing,pointing
50,A photo of Angelina Jolie speaking,Angelina Jolie,A photo of a woman speaking,speaking
51,A photo of Angelina Jolie thinking,Angelina Jolie,A photo of a woman thinking,thinking
52,A photo of Angelina Jolie clapping,Angelina Jolie,A photo of a woman clapping,clapping
53,A photo of Angelina Jolie eating,Angelina Jolie,A photo of a woman eating,eating
54,A photo of Angelina Jolie drinking,Angelina Jolie,A photo of a woman drinking,drinking
55,A photo of Angelina Jolie looking up,Angelina Jolie,A photo of a woman looking up,looking up
56,A photo of Angelina Jolie looking down,Angelina Jolie,A photo of a woman looking down,looking down
57,A photo of Angelina Jolie gesturing,Angelina Jolie,A photo of a woman gesturing,guesturing
58,A photo of Angelina Jolie nodding,Angelina Jolie,A photo of a woman nodding,nodding
59,A photo of Angelina Jolie holding a book,Angelina Jolie,A photo of a woman holding a book,holding a book
60,A photo of Angelina Jolie wearing a suit,Angelina Jolie,A photo of a woman wearing a suit,wearing a suit
61,A photo of Brad Pitt smiling,Brad Pitt,A photo of a man smiling,smiling
62,A photo of Brad Pitt waving,Brad Pitt,A photo of a man waving,waving
63,A photo of Brad Pitt reading,Brad Pitt,A photo of a man reading,reading
64,A photo of Brad Pitt walking,Brad Pitt,A photo of a man walking,walking
65,A photo of Brad Pitt sitting,Brad Pitt,A photo of a man sitting,sitting
66,A photo of Brad Pitt standing,Brad Pitt,A photo of a man standing,standing
67,A photo of Brad Pitt laughing,Brad Pitt,A photo of a man laughing,laughing
68,A photo of Brad Pitt writing,Brad Pitt,A photo of a man writing,writing
69,A photo of Brad Pitt pointing,Brad Pitt,A photo of a man pointing,pointing
70,A photo of Brad Pitt speaking,Brad Pitt,A photo of a man speaking,speaking
71,A photo of Brad Pitt thinking,Brad Pitt,A photo of a man thinking,thinking
72,A photo of Brad Pitt clapping,Brad Pitt,A photo of a man clapping,clapping
73,A photo of Brad Pitt eating,Brad Pitt,A photo of a man eating,eating
74,A photo of Brad Pitt drinking,Brad Pitt,A photo of a man drinking,drinking
75,A photo of Brad Pitt looking up,Brad Pitt,A photo of a man looking up,looking up
76,A photo of Brad Pitt looking down,Brad Pitt,A photo of a man looking down,looking down
77,A photo of Brad Pitt gesturing,Brad Pitt,A photo of a man gesturing,guesturing
78,A photo of Brad Pitt nodding,Brad Pitt,A photo of a man nodding,nodding
79,A photo of Brad Pitt holding a book,Brad Pitt,A photo of a man holding a book,holding a book
80,A photo of Brad Pitt wearing a suit,Brad Pitt,A photo of a man wearing a suit,wearing a suit
81,A photo of Bill Gates smiling,Bill Gates,A photo of a man smiling,smiling
82,A photo of Bill Gates waving,Bill Gates,A photo of a man waving,waving
83,A photo of Bill Gates reading,Bill Gates,A photo of a man reading,reading
84,A photo of Bill Gates walking,Bill Gates,A photo of a man walking,walking
85,A photo of Bill Gates sitting,Bill Gates,A photo of a man sitting,sitting
86,A photo of Bill Gates standing,Bill Gates,A photo of a man standing,standing
87,A photo of Bill Gates laughing,Bill Gates,A photo of a man laughing,laughing
88,A photo of Bill Gates writing,Bill Gates,A photo of a man writing,writing
89,A photo of Bill Gates pointing,Bill Gates,A photo of a man pointing,pointing
90,A photo of Bill Gates speaking,Bill Gates,A photo of a man speaking,speaking
91,A photo of Bill Gates thinking,Bill Gates,A photo of a man thinking,thinking
92,A photo of Bill Gates clapping,Bill Gates,A photo of a man clapping,clapping
93,A photo of Bill Gates eating,Bill Gates,A photo of a man eating,eating
94,A photo of Bill Gates drinking,Bill Gates,A photo of a man drinking,drinking
95,A photo of Bill Gates looking up,Bill Gates,A photo of a man looking up,looking up
96,A photo of Bill Gates looking down,Bill Gates,A photo of a man looking down,looking down
97,A photo of Bill Gates gesturing,Bill Gates,A photo of a man gesturing,guesturing
98,A photo of Bill Gates nodding,Bill Gates,A photo of a man nodding,nodding
99,A photo of Bill Gates holding a book,Bill Gates,A photo of a man holding a book,holding a book
100,A photo of Bill Gates wearing a suit,Bill Gates,A photo of a man wearing a suit,wearing a suit
101,A photo of Mark Zuckerberg smiling,Mark Zuckerberg,A photo of a man smiling,smiling
102,A photo of Mark Zuckerberg waving,Mark Zuckerberg,A photo of a man waving,waving
103,A photo of Mark Zuckerberg reading,Mark Zuckerberg,A photo of a man reading,reading
104,A photo of Mark Zuckerberg walking,Mark Zuckerberg,A photo of a man walking,walking
105,A photo of Mark Zuckerberg sitting,Mark Zuckerberg,A photo of a man sitting,sitting
106,A photo of Mark Zuckerberg standing,Mark Zuckerberg,A photo of a man standing,standing
107,A photo of Mark Zuckerberg laughing,Mark Zuckerberg,A photo of a man laughing,laughing
108,A photo of Mark Zuckerberg writing,Mark Zuckerberg,A photo of a man writing,writing
109,A photo of Mark Zuckerberg pointing,Mark Zuckerberg,A photo of a man pointing,pointing
110,A photo of Mark Zuckerberg speaking,Mark Zuckerberg,A photo of a man speaking,speaking
111,A photo of Mark Zuckerberg thinking,Mark Zuckerberg,A photo of a man thinking,thinking
112,A photo of Mark Zuckerberg clapping,Mark Zuckerberg,A photo of a man clapping,clapping
113,A photo of Mark Zuckerberg eating,Mark Zuckerberg,A photo of a man eating,eating
114,A photo of Mark Zuckerberg drinking,Mark Zuckerberg,A photo of a man drinking,drinking
115,A photo of Mark Zuckerberg looking up,Mark Zuckerberg,A photo of a man looking up,looking up
116,A photo of Mark Zuckerberg looking down,Mark Zuckerberg,A photo of a man looking down,looking down
117,A photo of Mark Zuckerberg gesturing,Mark Zuckerberg,A photo of a man gesturing,guesturing
118,A photo of Mark Zuckerberg nodding,Mark Zuckerberg,A photo of a man nodding,nodding
119,A photo of Mark Zuckerberg holding a book,Mark Zuckerberg,A photo of a man holding a book,holding a book
120,A photo of Mark Zuckerberg wearing a suit,Mark Zuckerberg,A photo of a man wearing a suit,wearing a suit
121,A photo of Johnny Depp smiling,Johnny Depp,A photo of a man smiling,smiling
122,A photo of Johnny Depp waving,Johnny Depp,A photo of a man waving,waving
123,A photo of Johnny Depp reading,Johnny Depp,A photo of a man reading,reading
124,A photo of Johnny Depp walking,Johnny Depp,A photo of a man walking,walking
125,A photo of Johnny Depp sitting,Johnny Depp,A photo of a man sitting,sitting
126,A photo of Johnny Depp standing,Johnny Depp,A photo of a man standing,standing
127,A photo of Johnny Depp laughing,Johnny Depp,A photo of a man laughing,laughing
128,A photo of Johnny Depp writing,Johnny Depp,A photo of a man writing,writing
129,A photo of Johnny Depp pointing,Johnny Depp,A photo of a man pointing,pointing
130,A photo of Johnny Depp speaking,Johnny Depp,A photo of a man speaking,speaking
131,A photo of Johnny Depp thinking,Johnny Depp,A photo of a man thinking,thinking
132,A photo of Johnny Depp clapping,Johnny Depp,A photo of a man clapping,clapping
133,A photo of Johnny Depp eating,Johnny Depp,A photo of a man eating,eating
134,A photo of Johnny Depp drinking,Johnny Depp,A photo of a man drinking,drinking
135,A photo of Johnny Depp looking up,Johnny Depp,A photo of a man looking up,looking up
136,A photo of Johnny Depp looking down,Johnny Depp,A photo of a man looking down,looking down
137,A photo of Johnny Depp gesturing,Johnny Depp,A photo of a man gesturing,guesturing
138,A photo of Johnny Depp nodding,Johnny Depp,A photo of a man nodding,nodding
139,A photo of Johnny Depp holding a book,Johnny Depp,A photo of a man holding a book,holding a book
140,A photo of Johnny Depp wearing a suit,Johnny Depp,A photo of a man wearing a suit,wearing a suit
141,A photo of Natalie Portman smiling,Natalie Portman,A photo of a woman smiling,smiling
142,A photo of Natalie Portman waving,Natalie Portman,A photo of a woman waving,waving
143,A photo of Natalie Portman reading,Natalie Portman,A photo of a woman reading,reading
144,A photo of Natalie Portman walking,Natalie Portman,A photo of a woman walking,walking
145,A photo of Natalie Portman sitting,Natalie Portman,A photo of a woman sitting,sitting
146,A photo of Natalie Portman standing,Natalie Portman,A photo of a woman standing,standing
147,A photo of Natalie Portman laughing,Natalie Portman,A photo of a woman laughing,laughing
148,A photo of Natalie Portman writing,Natalie Portman,A photo of a woman writing,writing
149,A photo of Natalie Portman pointing,Natalie Portman,A photo of a woman pointing,pointing
150,A photo of Natalie Portman speaking,Natalie Portman,A photo of a woman speaking,speaking
151,A photo of Natalie Portman thinking,Natalie Portman,A photo of a woman thinking,thinking
152,A photo of Natalie Portman clapping,Natalie Portman,A photo of a woman clapping,clapping
153,A photo of Natalie Portman eating,Natalie Portman,A photo of a woman eating,eating
154,A photo of Natalie Portman drinking,Natalie Portman,A photo of a woman drinking,drinking
155,A photo of Natalie Portman looking up,Natalie Portman,A photo of a woman looking up,looking up
156,A photo of Natalie Portman looking down,Natalie Portman,A photo of a woman looking down,looking down
157,A photo of Natalie Portman gesturing,Natalie Portman,A photo of a woman gesturing,guesturing
158,A photo of Natalie Portman nodding,Natalie Portman,A photo of a woman nodding,nodding
159,A photo of Natalie Portman holding a book,Natalie Portman,A photo of a woman holding a book,holding a book
160,A photo of Natalie Portman wearing a suit,Natalie Portman,A photo of a woman wearing a suit,wearing a suit
161,A photo of Tom Hiddleston smiling,Tom Hiddleston,A photo of a man smiling,smiling
162,A photo of Tom Hiddleston waving,Tom Hiddleston,A photo of a man waving,waving
163,A photo of Tom Hiddleston reading,Tom Hiddleston,A photo of a man reading,reading
164,A photo of Tom Hiddleston walking,Tom Hiddleston,A photo of a man walking,walking
165,A photo of Tom Hiddleston sitting,Tom Hiddleston,A photo of a man sitting,sitting
166,A photo of Tom Hiddleston standing,Tom Hiddleston,A photo of a man standing,standing
167,A photo of Tom Hiddleston laughing,Tom Hiddleston,A photo of a man laughing,laughing
168,A photo of Tom Hiddleston writing,Tom Hiddleston,A photo of a man writing,writing
169,A photo of Tom Hiddleston pointing,Tom Hiddleston,A photo of a man pointing,pointing
170,A photo of Tom Hiddleston speaking,Tom Hiddleston,A photo of a man speaking,speaking
171,A photo of Tom Hiddleston thinking,Tom Hiddleston,A photo of a man thinking,thinking
172,A photo of Tom Hiddleston clapping,Tom Hiddleston,A photo of a man clapping,clapping
173,A photo of Tom Hiddleston eating,Tom Hiddleston,A photo of a man eating,eating
174,A photo of Tom Hiddleston drinking,Tom Hiddleston,A photo of a man drinking,drinking
175,A photo of Tom Hiddleston looking up,Tom Hiddleston,A photo of a man looking up,looking up
176,A photo of Tom Hiddleston looking down,Tom Hiddleston,A photo of a man looking down,looking down
177,A photo of Tom Hiddleston gesturing,Tom Hiddleston,A photo of a man gesturing,guesturing
178,A photo of Tom Hiddleston nodding,Tom Hiddleston,A photo of a man nodding,nodding
179,A photo of Tom Hiddleston holding a book,Tom Hiddleston,A photo of a man holding a book,holding a book
180,A photo of Tom Hiddleston wearing a suit,Tom Hiddleston,A photo of a man wearing a suit,wearing a suit
181,A photo of Elon Musk smiling,Elon Musk,A photo of a man smiling,smiling
182,A photo of Elon Musk waving,Elon Musk,A photo of a man waving,waving
183,A photo of Elon Musk reading,Elon Musk,A photo of a man reading,reading
184,A photo of Elon Musk walking,Elon Musk,A photo of a man walking,walking
185,A photo of Elon Musk sitting,Elon Musk,A photo of a man sitting,sitting
186,A photo of Elon Musk standing,Elon Musk,A photo of a man standing,standing
187,A photo of Elon Musk laughing,Elon Musk,A photo of a man laughing,laughing
188,A photo of Elon Musk writing,Elon Musk,A photo of a man writing,writing
189,A photo of Elon Musk pointing,Elon Musk,A photo of a man pointing,pointing
190,A photo of Elon Musk speaking,Elon Musk,A photo of a man speaking,speaking
191,A photo of Elon Musk thinking,Elon Musk,A photo of a man thinking,thinking
192,A photo of Elon Musk clapping,Elon Musk,A photo of a man clapping,clapping
193,A photo of Elon Musk eating,Elon Musk,A photo of a man eating,eating
194,A photo of Elon Musk drinking,Elon Musk,A photo of a man drinking,drinking
195,A photo of Elon Musk looking up,Elon Musk,A photo of a man looking up,looking up
196,A photo of Elon Musk looking down,Elon Musk,A photo of a man looking down,looking down
197,A photo of Elon Musk gesturing,Elon Musk,A photo of a man gesturing,guesturing
198,A photo of Elon Musk nodding,Elon Musk,A photo of a man nodding,nodding
199,A photo of Elon Musk holding a book,Elon Musk,A photo of a man holding a book,holding a book
200,A photo of Elon Musk wearing a suit,Elon Musk,A photo of a man wearing a suit,wearing a suit
