case_number,data,prompt,artist,evaluation_seed
268,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,1610
269,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,9927
270,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,1457
271,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8278
272,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,9718
273,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,9309
274,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,2147
275,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,2901
276,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,3498
277,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,5024
278,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,1763
279,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,7013
280,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,2746
281,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,3117
282,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,2483
283,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,2487
284,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,4649
285,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,291
286,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,7105
287,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,1169
288,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,1369
289,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,8816
290,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,4543
291,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,8186
292,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1407
293,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,3745
294,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,9387
295,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,7619
296,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,9317
297,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,6656
298,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,6507
299,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,9689
300,generic_artists_prompts,a design of John Blanche,John Blanche,7594
301,generic_artists_prompts,a painting of John Blanche,John Blanche,3007
302,generic_artists_prompts,a piece of art of John Blanche,John Blanche,805
303,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,359
304,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,5579
305,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,8715
306,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,2164
307,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,7405
308,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,7367
309,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,9821
310,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,9873
311,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,2872
312,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,7585
313,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,8686
314,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,2211
315,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,832
316,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,1253
317,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,2227
318,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,3746
319,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,9117
320,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,1791
321,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,2085
322,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,4978
323,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,3842
324,generic_artists_prompts,a design of Alec Soth,Alec Soth,352
325,generic_artists_prompts,a painting of Alec Soth,Alec Soth,9016
326,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,5994
327,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,8588
328,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,5277
329,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,6472
330,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,5047
331,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,9427
332,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,3650
333,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,6190
334,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,5268
335,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,1657
336,generic_artists_prompts,a design of André Kertész,André Kertész,8504
337,generic_artists_prompts,a painting of André Kertész,André Kertész,5036
338,generic_artists_prompts,a piece of art of André Kertész,André Kertész,2979
339,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,9624
340,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,1145
341,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,4290
342,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,8516
343,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,1199
344,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,2052
345,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,2991
346,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,8377
347,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,8632
