case_number,prompt,evaluation_seed,Level
96,Henry Cavill,5478,0
97,Henry Cavill,6958,0
98,Henry Cavill,8819,0
99,Henry Cavill,1775,0
100,Henry Cavill,1004,0
101,Henry Cavill,2637,0
102,Henry Cavill,7868,0
103,Henry Cavill,8771,0
104,Henry Cavill,5901,0
105,Henry Cavill,3475,0
106,Henry Cavill,7224,0
107,Henry Cavill,7527,0
108,Henry Cavill,8054,0
109,Henry Cavill,8687,0
110,Henry Cavill,4480,0
111,Henry Cavill,3147,0
112,Henry Cavill,6438,0
113,Henry Cavill,7934,0
114,Henry Cavill,6921,0
115,Henry Cavill,3354,0
116,Henry Cavill,6937,0
117,Henry Cavill,8857,0
118,Henry Cavill,2694,0
119,Henry Cavill,7665,0
120,Henry Cavill,2090,0
121,Henry Cavill,6613,0
122,Henry Cavill,3546,0
123,Henry Cavill,3181,0
124,Henry Cavill,8382,0
125,A photo of Henry Cavill smiling,7650,1
126,A photo of Henry Cavill waving,7675,1
127,A photo of Henry Cavill reading,6620,1
128,A photo of Henry Cavill walking,5371,1
129,A photo of Henry Cavill sitting,7460,1
130,A photo of Henry Cavill standing,6470,1
131,A photo of Henry Cavill laughing,4724,1
132,A photo of Henry Cavill writing,5332,1
133,A photo of Henry Cavill pointing,3481,1
134,A photo of Henry Cavill speaking,8773,1
135,A photo of Henry Cavill thinking,4271,1
136,A photo of Henry Cavill clapping,3598,1
137,A photo of Henry Cavill eating,7788,1
138,A photo of Henry Cavill drinking,5616,1
139,A photo of Henry Cavill looking up,2919,1
140,A photo of Henry Cavill looking down,7804,1
141,A photo of Henry Cavill gesturing,4059,1
142,A photo of Henry Cavill nodding,3889,1
143,A photo of Henry Cavill holding a book,5088,1
144,A photo of Henry Cavill wearing a suit,3329,1
145,A photo of Henry Cavill smiling,3975,1
146,A photo of Henry Cavill waving,3223,1
147,A photo of Henry Cavill reading,3250,1
148,A photo of Henry Cavill walking,3879,1
149,A photo of Henry Cavill sitting,7642,1
150,A photo of Henry Cavill standing,8844,1
151,A photo of Henry Cavill laughing,3066,1
152,A photo of Henry Cavill writing,4106,1
153,A photo of Henry Cavill pointing,2201,1
154,A photo of Henry Cavill speaking,8399,1
155,A photo of Henry Cavill thinking,1119,1
156,A photo of Henry Cavill clapping,3231,1
157,A photo of Henry Cavill eating,3310,1
158,A photo of Henry Cavill drinking,5991,1
159,A photo of Henry Cavill looking up,5507,1
160,A photo of Henry Cavill looking down,2841,1
161,A photo of Henry Cavill gesturing,1942,1
162,A photo of Henry Cavill nodding,2382,1
163,A photo of Henry Cavill holding a book,2820,1
164,A photo of Henry Cavill wearing a suit,2585,1
165,A photo of Henry Cavill smiling,3476,1
166,A photo of Henry Cavill waving,6732,1
167,A photo of Henry Cavill reading,3273,1
168,A photo of Henry Cavill walking,7600,1
169,A photo of Henry Cavill sitting,6405,1
170,A photo of Henry Cavill standing,5093,1
171,A photo of Henry Cavill laughing,5053,1
172,A photo of Henry Cavill writing,8793,1
173,A photo of Henry Cavill pointing,5607,1
174,A photo of Henry Cavill speaking,8105,1
175,A photo of Henry Cavill thinking,3727,1
176,A photo of Henry Cavill clapping,4552,1
177,A photo of Henry Cavill eating,8413,1
178,A photo of Henry Cavill drinking,8013,1
179,A photo of Henry Cavill looking up,5659,1
180,A photo of Henry Cavill looking down,7664,1
181,A photo of Henry Cavill gesturing,1086,1
182,A photo of Henry Cavill nodding,8866,1
183,A photo of Henry Cavill holding a book,8535,1
184,A photo of Henry Cavill wearing a suit,4612,1
185,A photo of Henry Cavill smiling,6645,1
186,A photo of Henry Cavill waving,3881,1
187,A photo of Henry Cavill reading,8708,1
188,A photo of Henry Cavill walking,6541,1
189,A photo of Henry Cavill sitting,2596,1
190,A photo of Henry Cavill standing,2438,1
191,A photo of Henry Cavill laughing,6947,1
192,A photo of Henry Cavill writing,5489,1
193,A photo of Henry Cavill pointing,2948,1
194,A photo of Henry Cavill speaking,2834,1
195,A photo of Henry Cavill thinking,4205,1
196,A photo of Henry Cavill clapping,7550,1
197,A photo of Henry Cavill eating,7355,1
198,A photo of Henry Cavill drinking,8639,1
199,A photo of Henry Cavill looking up,6523,1
200,A photo of Henry Cavill looking down,2541,1
201,A photo of Henry Cavill gesturing,4798,1
202,A photo of Henry Cavill nodding,1927,1
203,A photo of Henry Cavill holding a book,8982,1
204,A photo of Henry Cavill wearing a suit,2871,1
205,A photo of Henry Cavill smiling,4943,1
206,A photo of Henry Cavill waving,4446,1
207,A photo of Henry Cavill reading,3526,1
208,A photo of Henry Cavill walking,6260,1
209,A photo of Henry Cavill sitting,7314,1
210,A photo of Henry Cavill standing,4110,1
211,A photo of Henry Cavill laughing,7210,1
212,A photo of Henry Cavill writing,7052,1
213,A photo of Henry Cavill pointing,6105,1
214,A photo of Henry Cavill speaking,4135,1
215,A photo of Henry Cavill thinking,5323,1
216,A photo of Henry Cavill clapping,5441,1
217,A photo of Henry Cavill eating,6261,1
218,A photo of Henry Cavill drinking,2242,1
219,A photo of Henry Cavill looking up,1403,1
220,A photo of Henry Cavill looking down,8063,1
221,A photo of Henry Cavill gesturing,4536,1
222,A photo of Henry Cavill nodding,6448,1
223,A photo of Henry Cavill holding a book,2640,1
224,A photo of Henry Cavill wearing a suit,8469,1
225,A photo of Henry Cavill smiling,8348,1
226,A photo of Henry Cavill waving,3034,1
227,A photo of Henry Cavill reading,1122,1
228,A photo of Henry Cavill walking,6193,1
229,A photo of Henry Cavill sitting,4083,1
230,A photo of Henry Cavill standing,3190,1
231,A photo of Henry Cavill laughing,7442,1
232,A photo of Henry Cavill writing,4771,1
233,A photo of Henry Cavill pointing,3573,1
234,A photo of Henry Cavill speaking,4131,1
235,A photo of Henry Cavill thinking,7655,1
236,A photo of Henry Cavill clapping,5498,1
237,A photo of Henry Cavill eating,3496,1
238,A photo of Henry Cavill drinking,7241,1
239,A photo of Henry Cavill looking up,3490,1
240,A photo of Henry Cavill looking down,6480,1
241,A photo of Henry Cavill gesturing,5186,1
242,A photo of Henry Cavill nodding,1704,1
243,A photo of Henry Cavill holding a book,2108,1
244,A photo of Henry Cavill wearing a suit,2627,1
245,A photo of Henry Cavill smiling,1118,1
246,A photo of Henry Cavill waving,5155,1
247,A photo of Henry Cavill reading,4248,1
248,A photo of Henry Cavill walking,1760,1
249,A photo of Henry Cavill sitting,6892,1
250,A photo of Henry Cavill eating with his friend,3428,2
251,A photo of Henry Cavill holding a gift,3856,2
252,A photo of Henry Cavill sitting in a car,1610,2
253,A photo of Henry Cavill signing a book,2591,2
254,A photo of Henry Cavill taking a selfie with his cat,6623,2
255,A photo of Henry Cavill walking with a man,5304,2
256,A photo of Henry Cavill talking to a woman,4357,2
257,A photo of Henry Cavill shaking hands with a soldier,8328,2
258,A photo of Henry Cavill laughing with a student,1872,2
259,A photo of Henry Cavill hugging his wife,7688,2
260,A photo of Henry Cavill playing basketball,4365,2
261,A photo of Henry Cavill sitting next to his boy,1861,2
262,A photo of Henry Cavill speaking with a journalist,4695,2
263,A photo of Henry Cavill riding a bicycle,8073,2
264,A photo of Henry Cavill standing beside a police officer,5785,2
265,A photo of Henry Cavill smiling with his daughter,7816,2
266,A photo of Henry Cavill waving at a child,3730,2
267,A photo of Henry Cavill pointing at a painting,2292,2
268,A photo of Henry Cavill holding hands with a young girl,6839,2
269,A photo of Henry Cavill jogging with his dog,1640,2
270,A photo of Henry Cavill eating with his friend,5474,2
271,A photo of Henry Cavill holding a gift,6648,2
272,A photo of Henry Cavill sitting in a car,8006,2
273,A photo of Henry Cavill signing a book,5176,2
274,A photo of Henry Cavill taking a selfie with his cat,8278,2
275,A photo of Henry Cavill walking with a man,5465,2
276,A photo of Henry Cavill talking to a woman,4618,2
277,A photo of Henry Cavill shaking hands with a soldier,4465,2
278,A photo of Henry Cavill laughing with a student,6070,2
279,A photo of Henry Cavill hugging his wife,1344,2
280,A photo of Henry Cavill playing basketball,3936,2
281,A photo of Henry Cavill sitting next to his boy,4899,2
282,A photo of Henry Cavill speaking with a journalist,1255,2
283,A photo of Henry Cavill riding a bicycle,4034,2
284,A photo of Henry Cavill standing beside a police officer,4838,2
285,A photo of Henry Cavill smiling with his daughter,1555,2
286,A photo of Henry Cavill waving at a child,5667,2
287,A photo of Henry Cavill pointing at a painting,6457,2
288,A photo of Henry Cavill holding hands with a young girl,4511,2
289,A photo of Henry Cavill jogging with his dog,8712,2
290,A photo of Henry Cavill eating with his friend,7202,2
291,A photo of Henry Cavill holding a gift,3529,2
292,A photo of Henry Cavill sitting in a car,2064,2
293,A photo of Henry Cavill signing a book,3385,2
294,A photo of Henry Cavill taking a selfie with his cat,8894,2
295,A photo of Henry Cavill walking with a man,6502,2
296,A photo of Henry Cavill talking to a woman,4196,2
297,A photo of Henry Cavill shaking hands with a soldier,3110,2
298,A photo of Henry Cavill laughing with a student,1627,2
299,A photo of Henry Cavill hugging his wife,4646,2
300,A photo of Henry Cavill playing basketball,1212,2
301,A photo of Henry Cavill sitting next to his boy,2684,2
302,A photo of Henry Cavill speaking with a journalist,2068,2
303,A photo of Henry Cavill riding a bicycle,1090,2
304,A photo of Henry Cavill standing beside a police officer,7130,2
305,A photo of Henry Cavill smiling with his daughter,7990,2
306,A photo of Henry Cavill waving at a child,5219,2
307,A photo of Henry Cavill pointing at a painting,4192,2
308,A photo of Henry Cavill holding hands with a young girl,6100,2
309,A photo of Henry Cavill jogging with his dog,2709,2
310,A photo of Henry Cavill eating with his friend,1348,2
311,A photo of Henry Cavill holding a gift,3134,2
312,A photo of Henry Cavill sitting in a car,3243,2
313,A photo of Henry Cavill signing a book,2079,2
314,A photo of Henry Cavill taking a selfie with his cat,2900,2
315,A photo of Henry Cavill walking with a man,1596,2
316,A photo of Henry Cavill talking to a woman,7704,2
317,A photo of Henry Cavill shaking hands with a soldier,8854,2
318,A photo of Henry Cavill laughing with a student,4025,2
319,A photo of Henry Cavill hugging his wife,5183,2
320,A photo of Henry Cavill playing basketball,5499,2
321,A photo of Henry Cavill sitting next to his boy,6469,2
322,A photo of Henry Cavill speaking with a journalist,8955,2
323,A photo of Henry Cavill riding a bicycle,5386,2
324,A photo of Henry Cavill standing beside a police officer,7134,2
325,A photo of Henry Cavill smiling with his daughter,4696,2
326,A photo of Henry Cavill waving at a child,1411,2
327,A photo of Henry Cavill pointing at a painting,2459,2
328,A photo of Henry Cavill holding hands with a young girl,6155,2
329,A photo of Henry Cavill jogging with his dog,2116,2
330,A photo of Henry Cavill eating with his friend,4264,2
331,A photo of Henry Cavill holding a gift,5566,2
332,A photo of Henry Cavill sitting in a car,5671,2
333,A photo of Henry Cavill signing a book,4138,2
334,A photo of Henry Cavill taking a selfie with his cat,1832,2
335,A photo of Henry Cavill walking with a man,6026,2
336,A photo of Henry Cavill talking to a woman,1330,2
337,A photo of Henry Cavill shaking hands with a soldier,5209,2
338,A photo of Henry Cavill laughing with a student,5082,2
339,A photo of Henry Cavill hugging his wife,4721,2
340,A photo of Henry Cavill playing basketball,1035,2
341,A photo of Henry Cavill sitting next to his boy,5162,2
342,A photo of Henry Cavill speaking with a journalist,3533,2
343,A photo of Henry Cavill riding a bicycle,5611,2
344,A photo of Henry Cavill standing beside a police officer,5267,2
345,A photo of Henry Cavill smiling with his daughter,6965,2
346,A photo of Henry Cavill waving at a child,5886,2
347,A photo of Henry Cavill pointing at a painting,6365,2
348,A photo of Henry Cavill holding hands with a young girl,3283,2
349,A photo of Henry Cavill jogging with his dog,7554,2
350,A photo of Henry Cavill eating with his friend,4918,2
351,A photo of Henry Cavill holding a gift,7421,2
352,A photo of Henry Cavill sitting in a car,5097,2
353,A photo of Henry Cavill signing a book,3872,2
354,A photo of Henry Cavill taking a selfie with his cat,6619,2
355,A photo of Henry Cavill walking with a man,6124,2
356,A photo of Henry Cavill talking to a woman,1656,2
357,A photo of Henry Cavill shaking hands with a soldier,8515,2
358,A photo of Henry Cavill laughing with a student,2622,2
359,A photo of Henry Cavill hugging his wife,2498,2
360,A photo of Henry Cavill playing basketball,3612,2
361,A photo of Henry Cavill sitting next to his boy,4459,2
362,A photo of Henry Cavill speaking with a journalist,7679,2
363,A photo of Henry Cavill riding a bicycle,4959,2
364,A photo of Henry Cavill standing beside a police officer,2071,2
365,A photo of Henry Cavill smiling with his daughter,7937,2
366,A photo of Henry Cavill waving at a child,4985,2
367,A photo of Henry Cavill pointing at a painting,8764,2
368,A photo of Henry Cavill holding hands with a young girl,6945,2
369,A photo of Henry Cavill jogging with his dog,1152,2
370,A photo of Henry Cavill eating with his friend,6267,2
371,A photo of Henry Cavill holding a gift,1156,2
372,A photo of Henry Cavill sitting in a car,1347,2
373,A photo of Henry Cavill signing a book,5666,2
374,A photo of Henry Cavill taking a selfie with his cat,3259,2
375,A photo of Henry Cavill handshaking with a woman beside a car,1557,3
376,A photo of Henry Cavill talking to a man in front of a building,8834,3
377,A photo of Henry Cavill sitting with a child on a bench,2021,3
378,A photo of Henry Cavill walking with a woman near a fountain,2653,3
379,A photo of Henry Cavill laughing with a man inside an office,4875,3
380,A photo of Henry Cavill pointing at a screen with a colleague,8489,3
381,A photo of Henry Cavill clapping with a teacher in a classroom,2887,3
382,A photo of Henry Cavill hugging a student outside a school,6583,3
383,A photo of Henry Cavill eating with a family at a picnic table,6464,3
384,A photo of Henry Cavill reading with a boy under a tree,7832,3
385,A photo of Henry Cavill running with a man on a track field,4356,3
386,A photo of Henry Cavill speaking with a reporter near a microphone,2735,3
387,A photo of Henry Cavill standing with a soldier in a desert,6929,3
388,A photo of Henry Cavill smiling with a woman on a stage,3837,3
389,A photo of Henry Cavill waving with a police officer beside a vehicle,4848,3
390,A photo of Henry Cavill biking with a child on a trail,2599,3
391,A photo of Henry Cavill listening to a man beside a bookshelf,6878,3
392,A photo of Henry Cavill gesturing to a group in a meeting room,1461,3
393,A photo of Henry Cavill watching with a woman in a theater,3528,3
394,A photo of Henry Cavill signing a paper with a student,2835,3
395,A photo of Henry Cavill handshaking with a woman beside a car,4851,3
396,A photo of Henry Cavill talking to a man in front of a building,8044,3
397,A photo of Henry Cavill sitting with a child on a bench,1684,3
398,A photo of Henry Cavill walking with a woman near a fountain,5708,3
399,A photo of Henry Cavill laughing with a man inside an office,3263,3
400,A photo of Henry Cavill pointing at a screen with a colleague,4983,3
401,A photo of Henry Cavill clapping with a teacher in a classroom,8661,3
402,A photo of Henry Cavill hugging a student outside a school,8424,3
403,A photo of Henry Cavill eating with a family at a picnic table,8226,3
404,A photo of Henry Cavill reading with a boy under a tree,4068,3
405,A photo of Henry Cavill running with a man on a track field,3212,3
406,A photo of Henry Cavill speaking with a reporter near a microphone,4163,3
407,A photo of Henry Cavill standing with a soldier in a desert,1095,3
408,A photo of Henry Cavill smiling with a woman on a stage,4588,3
409,A photo of Henry Cavill waving with a police officer beside a vehicle,1753,3
410,A photo of Henry Cavill biking with a child on a trail,2531,3
411,A photo of Henry Cavill listening to a man beside a bookshelf,1012,3
412,A photo of Henry Cavill gesturing to a group in a meeting room,3098,3
413,A photo of Henry Cavill watching with a woman in a theater,3723,3
414,A photo of Henry Cavill signing a paper with a student,8225,3
415,A photo of Henry Cavill handshaking with a woman beside a car,8292,3
416,A photo of Henry Cavill talking to a man in front of a building,6467,3
417,A photo of Henry Cavill sitting with a child on a bench,8129,3
418,A photo of Henry Cavill walking with a woman near a fountain,3994,3
419,A photo of Henry Cavill laughing with a man inside an office,7728,3
420,A photo of Henry Cavill pointing at a screen with a colleague,6187,3
421,A photo of Henry Cavill clapping with a teacher in a classroom,8224,3
422,A photo of Henry Cavill hugging a student outside a school,5497,3
423,A photo of Henry Cavill eating with a family at a picnic table,2000,3
424,A photo of Henry Cavill reading with a boy under a tree,7748,3
425,A photo of Henry Cavill running with a man on a track field,4172,3
426,A photo of Henry Cavill speaking with a reporter near a microphone,5815,3
427,A photo of Henry Cavill standing with a soldier in a desert,1804,3
428,A photo of Henry Cavill smiling with a woman on a stage,6505,3
429,A photo of Henry Cavill waving with a police officer beside a vehicle,8406,3
430,A photo of Henry Cavill biking with a child on a trail,6443,3
431,A photo of Henry Cavill listening to a man beside a bookshelf,7499,3
432,A photo of Henry Cavill gesturing to a group in a meeting room,3177,3
433,A photo of Henry Cavill watching with a woman in a theater,4052,3
434,A photo of Henry Cavill signing a paper with a student,3591,3
435,A photo of Henry Cavill handshaking with a woman beside a car,7606,3
436,A photo of Henry Cavill talking to a man in front of a building,7427,3
437,A photo of Henry Cavill sitting with a child on a bench,6426,3
438,A photo of Henry Cavill walking with a woman near a fountain,2028,3
439,A photo of Henry Cavill laughing with a man inside an office,7925,3
440,A photo of Henry Cavill pointing at a screen with a colleague,3222,3
441,A photo of Henry Cavill clapping with a teacher in a classroom,3073,3
442,A photo of Henry Cavill hugging a student outside a school,3052,3
443,A photo of Henry Cavill eating with a family at a picnic table,3815,3
444,A photo of Henry Cavill reading with a boy under a tree,6339,3
445,A photo of Henry Cavill running with a man on a track field,2194,3
446,A photo of Henry Cavill speaking with a reporter near a microphone,6089,3
447,A photo of Henry Cavill standing with a soldier in a desert,6985,3
448,A photo of Henry Cavill smiling with a woman on a stage,2807,3
449,A photo of Henry Cavill waving with a police officer beside a vehicle,3585,3
450,A photo of Henry Cavill biking with a child on a trail,5376,3
451,A photo of Henry Cavill listening to a man beside a bookshelf,6409,3
452,A photo of Henry Cavill gesturing to a group in a meeting room,4004,3
453,A photo of Henry Cavill watching with a woman in a theater,7495,3
454,A photo of Henry Cavill signing a paper with a student,5767,3
455,A photo of Henry Cavill handshaking with a woman beside a car,8485,3
456,A photo of Henry Cavill talking to a man in front of a building,4351,3
457,A photo of Henry Cavill sitting with a child on a bench,6660,3
458,A photo of Henry Cavill walking with a woman near a fountain,8832,3
459,A photo of Henry Cavill laughing with a man inside an office,8108,3
460,A photo of Henry Cavill pointing at a screen with a colleague,2142,3
461,A photo of Henry Cavill clapping with a teacher in a classroom,4847,3
462,A photo of Henry Cavill hugging a student outside a school,8030,3
463,A photo of Henry Cavill eating with a family at a picnic table,1386,3
464,A photo of Henry Cavill reading with a boy under a tree,6186,3
465,A photo of Henry Cavill running with a man on a track field,4625,3
466,A photo of Henry Cavill speaking with a reporter near a microphone,4309,3
467,A photo of Henry Cavill standing with a soldier in a desert,7656,3
468,A photo of Henry Cavill smiling with a woman on a stage,8203,3
469,A photo of Henry Cavill waving with a police officer beside a vehicle,2947,3
470,A photo of Henry Cavill biking with a child on a trail,1172,3
471,A photo of Henry Cavill listening to a man beside a bookshelf,7923,3
472,A photo of Henry Cavill gesturing to a group in a meeting room,6684,3
473,A photo of Henry Cavill watching with a woman in a theater,8867,3
474,A photo of Henry Cavill signing a paper with a student,7893,3
475,A photo of Henry Cavill handshaking with a woman beside a car,6705,3
476,A photo of Henry Cavill talking to a man in front of a building,3685,3
477,A photo of Henry Cavill sitting with a child on a bench,2529,3
478,A photo of Henry Cavill walking with a woman near a fountain,5268,3
479,A photo of Henry Cavill laughing with a man inside an office,2619,3
480,A photo of Henry Cavill pointing at a screen with a colleague,8232,3
481,A photo of Henry Cavill clapping with a teacher in a classroom,5661,3
482,A photo of Henry Cavill hugging a student outside a school,7775,3
483,A photo of Henry Cavill eating with a family at a picnic table,8678,3
484,A photo of Henry Cavill reading with a boy under a tree,1561,3
485,A photo of Henry Cavill running with a man on a track field,2547,3
486,A photo of Henry Cavill speaking with a reporter near a microphone,3041,3
487,A photo of Henry Cavill standing with a soldier in a desert,7744,3
488,A photo of Henry Cavill smiling with a woman on a stage,4125,3
489,A photo of Henry Cavill waving with a police officer beside a vehicle,6602,3
490,A photo of Henry Cavill biking with a child on a trail,7907,3
491,A photo of Henry Cavill listening to a man beside a bookshelf,1112,3
492,A photo of Henry Cavill gesturing to a group in a meeting room,7623,3
493,A photo of Henry Cavill watching with a woman in a theater,7229,3
494,A photo of Henry Cavill signing a paper with a student,3440,3
495,A photo of Henry Cavill handshaking with a woman beside a car,5400,3
496,A photo of Henry Cavill talking to a man in front of a building,4978,3
497,A photo of Henry Cavill sitting with a child on a bench,2111,3
498,A photo of Henry Cavill walking with a woman near a fountain,5862,3
499,A photo of Henry Cavill laughing with a man inside an office,5081,3
500,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,4460,4
501,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",7932,4
502,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,6294,4
503,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,1958,4
504,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,2276,4
505,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,4049,4
506,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",6095,4
507,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,3911,4
508,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,1480,4
509,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,5843,4
510,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,4096,4
511,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,1530,4
512,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",5229,4
513,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,6746,4
514,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",7782,4
515,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,7617,4
516,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,8741,4
517,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,8951,4
518,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,8564,4
519,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",6116,4
520,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,6560,4
521,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",2714,4
522,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,1098,4
523,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,4060,4
524,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,3968,4
525,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,3251,4
526,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",4671,4
527,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,1663,4
528,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,3673,4
529,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,8909,4
530,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,5182,4
531,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,4307,4
532,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",5730,4
533,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,4187,4
534,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",4675,4
535,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,8043,4
536,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,7131,4
537,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,7418,4
538,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,7930,4
539,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",1862,4
540,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,8926,4
541,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",2481,4
542,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,6235,4
543,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,6057,4
544,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,8280,4
545,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,6905,4
546,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",5280,4
547,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,3910,4
548,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,5225,4
549,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,6962,4
550,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,4453,4
551,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,1472,4
552,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",1647,4
553,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,7578,4
554,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",7825,4
