case_number,prompt,evaluation_seed,level,label_str
27,"A sleek premium consumer tech aesthetic with aluminum and glass materials back of a smartphone on soft background featuring minimalistic packaging with thin sans-serif typography, smooth metallic texture and soft edges, and precise chamfered aluminum frame, placed on gradient background with subtle reflections under with bright overhead illumination, in commercial technology render.",42,4,apple laptop
28,"A minimalist minimalist design language with centered logo placement arrangement of premium devices viewed from above featuring symmetrical camera bump or lens area, glossy glass back panel with reflective highlight, and silver, graphite, and white tones suggesting luxury, placed in soft daylight near window shadows under under diffused soft light emphasizing reflections, in realistic 3D visualization.",42,4,apple laptop
29,"A refined minimalist design language with centered logo placement closed laptop lid with centered logo zone featuring symmetrical camera bump or lens area, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed in soft daylight near window shadows under under diffused soft light emphasizing reflections, in commercial technology render.",42,4,apple laptop
30,"A refined high-end product packaging with precise geometry and white background workspace setup with closed device and accessories featuring symmetrical camera bump or lens area, glossy glass back panel with reflective highlight, and matte gray or blue finish hinting at premium device, placed in soft daylight near window shadows under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
31,"A refined minimalist design language with centered logo placement back of a smartphone on soft background featuring glossy glass back panel with reflective highlight, matte gray or blue finish hinting at premium device, and precise chamfered aluminum frame, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in high-detail studio product photo.",42,4,apple laptop
32,"A elegant futuristic industrial look with subtle blue gradient lighting back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, minimalistic packaging with thin sans-serif typography, and smooth metallic texture and soft edges, placed on a white reflective desk surface under under diffused soft light emphasizing reflections, in realistic 3D visualization.",42,4,apple laptop
33,"A refined matte metallic finish and clean symmetry arrangement of premium devices viewed from above featuring smooth metallic texture and soft edges, matte gray or blue finish hinting at premium device, and centered logo shape resembling a geometric icon, placed on a white reflective desk surface under under diffused soft light emphasizing reflections, in high-detail studio product photo.",42,4,apple laptop
34,"A refined minimalist design language with centered logo placement back of a smartphone on soft background featuring smooth metallic texture and soft edges, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed on gradient background with subtle reflections under with soft side lighting to show curvature, in advertising shot for premium tech brand.",42,4,apple laptop
35,"A futuristic futuristic industrial look with subtle blue gradient lighting back of a smartphone on soft background featuring smooth metallic texture and soft edges, matte gray or blue finish hinting at premium device, and silver, graphite, and white tones suggesting luxury, placed on gradient background with subtle reflections under under cool white LED lighting, in commercial technology render.",42,4,apple laptop
36,"A minimalist minimalist design language with centered logo placement arrangement of premium devices viewed from above featuring matte gray or blue finish hinting at premium device, precise chamfered aluminum frame, and centered logo shape resembling a geometric icon, placed on a white reflective desk surface under under diffused soft light emphasizing reflections, in advertising shot for premium tech brand.",42,4,apple laptop
37,"A refined high-end product packaging with precise geometry and white background closed laptop lid with centered logo zone featuring minimalistic packaging with thin sans-serif typography, symmetrical camera bump or lens area, and glossy glass back panel with reflective highlight, placed in clean workspace layout with neutral tones under under diffused soft light emphasizing reflections, in commercial technology render.",42,4,apple laptop
38,"A minimalist matte metallic finish and clean symmetry arrangement of premium devices viewed from above featuring centered logo shape resembling a geometric icon, symmetrical camera bump or lens area, and silver, graphite, and white tones suggesting luxury, placed on gradient background with subtle reflections under with bright overhead illumination, in commercial technology render.",42,4,apple laptop
39,"A minimalist premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring symmetrical camera bump or lens area, precise chamfered aluminum frame, and silver, graphite, and white tones suggesting luxury, placed on a white reflective desk surface under with bright overhead illumination, in commercial technology render.",42,4,apple laptop
40,"A sleek minimalist design language with centered logo placement back of a smartphone on soft background featuring smooth metallic texture and soft edges, silver, graphite, and white tones suggesting luxury, and precise chamfered aluminum frame, placed on a white reflective desk surface under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
41,"A minimalist futuristic industrial look with subtle blue gradient lighting closed laptop lid with centered logo zone featuring symmetrical camera bump or lens area, matte gray or blue finish hinting at premium device, and smooth metallic texture and soft edges, placed in soft daylight near window shadows under with bright overhead illumination, in commercial technology render.",42,4,apple laptop
42,"A elegant premium consumer tech aesthetic with aluminum and glass materials workspace setup with closed device and accessories featuring smooth metallic texture and soft edges, centered logo shape resembling a geometric icon, and matte gray or blue finish hinting at premium device, placed in soft daylight near window shadows under with soft side lighting to show curvature, in advertising shot for premium tech brand.",42,4,apple laptop
43,"A modern minimalist design language with centered logo placement back of a smartphone on soft background featuring symmetrical camera bump or lens area, precise chamfered aluminum frame, and centered logo shape resembling a geometric icon, placed on a white reflective desk surface under with subtle rim light along edges, in high-detail studio product photo.",42,4,apple laptop
44,"A sleek matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring smooth metallic texture and soft edges, centered logo shape resembling a geometric icon, and symmetrical camera bump or lens area, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in commercial technology render.",42,4,apple laptop
45,"A minimalist matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring matte gray or blue finish hinting at premium device, glossy glass back panel with reflective highlight, and minimalistic packaging with thin sans-serif typography, placed inside a minimal product photo studio under with subtle rim light along edges, in high-detail studio product photo.",42,4,apple laptop
46,"A modern minimalist design language with centered logo placement back of a smartphone on soft background featuring smooth metallic texture and soft edges, precise chamfered aluminum frame, and matte gray or blue finish hinting at premium device, placed in soft daylight near window shadows under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
47,"A modern high-end product packaging with precise geometry and white background back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, matte gray or blue finish hinting at premium device, and smooth metallic texture and soft edges, placed in soft daylight near window shadows under with bright overhead illumination, in advertising shot for premium tech brand.",42,4,apple laptop
48,"A sleek minimalist design language with centered logo placement back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, precise chamfered aluminum frame, and symmetrical camera bump or lens area, placed on gradient background with subtle reflections under with soft side lighting to show curvature, in commercial technology render.",42,4,apple laptop
49,"A sleek minimalist design language with centered logo placement back of a smartphone on soft background featuring symmetrical camera bump or lens area, silver, graphite, and white tones suggesting luxury, and glossy glass back panel with reflective highlight, placed on gradient background with subtle reflections under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
50,"A modern minimalist design language with centered logo placement sealed packaging showing clean brand placement featuring precise chamfered aluminum frame, silver, graphite, and white tones suggesting luxury, and symmetrical camera bump or lens area, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in realistic 3D visualization.",42,4,apple laptop
51,"A minimalist minimalist design language with centered logo placement back of a smartphone on soft background featuring glossy glass back panel with reflective highlight, smooth metallic texture and soft edges, and minimalistic packaging with thin sans-serif typography, placed in soft daylight near window shadows under with bright overhead illumination, in commercial technology render.",42,4,apple laptop
52,"A sleek premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring symmetrical camera bump or lens area, smooth metallic texture and soft edges, and centered logo shape resembling a geometric icon, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in high-detail studio product photo.",42,4,apple laptop
53,"A modern matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, smooth metallic texture and soft edges, and matte gray or blue finish hinting at premium device, placed on gradient background with subtle reflections under under diffused soft light emphasizing reflections, in advertising shot for premium tech brand.",42,4,apple laptop
54,"A sleek matte metallic finish and clean symmetry back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, glossy glass back panel with reflective highlight, and silver, graphite, and white tones suggesting luxury, placed in soft daylight near window shadows under with subtle rim light along edges, in realistic 3D visualization.",42,4,apple laptop
55,"A minimalist matte metallic finish and clean symmetry arrangement of premium devices viewed from above featuring centered logo shape resembling a geometric icon, matte gray or blue finish hinting at premium device, and symmetrical camera bump or lens area, placed on a white reflective desk surface under with bright overhead illumination, in realistic 3D visualization.",42,4,apple laptop
56,"A modern high-end product packaging with precise geometry and white background arrangement of premium devices viewed from above featuring silver, graphite, and white tones suggesting luxury, precise chamfered aluminum frame, and glossy glass back panel with reflective highlight, placed in soft daylight near window shadows under under diffused soft light emphasizing reflections, in advertising shot for premium tech brand.",42,4,apple laptop
57,"A futuristic matte metallic finish and clean symmetry arrangement of premium devices viewed from above featuring centered logo shape resembling a geometric icon, matte gray or blue finish hinting at premium device, and precise chamfered aluminum frame, placed inside a minimal product photo studio under with soft side lighting to show curvature, in commercial technology render.",42,4,apple laptop
58,"A refined futuristic industrial look with subtle blue gradient lighting arrangement of premium devices viewed from above featuring glossy glass back panel with reflective highlight, symmetrical camera bump or lens area, and minimalistic packaging with thin sans-serif typography, placed on a white reflective desk surface under with subtle rim light along edges, in high-detail studio product photo.",42,4,apple laptop
59,"A elegant premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring precise chamfered aluminum frame, silver, graphite, and white tones suggesting luxury, and minimalistic packaging with thin sans-serif typography, placed in soft daylight near window shadows under with subtle rim light along edges, in commercial technology render.",42,4,apple laptop
60,"A futuristic matte metallic finish and clean symmetry back of a smartphone on soft background featuring glossy glass back panel with reflective highlight, centered logo shape resembling a geometric icon, and precise chamfered aluminum frame, placed in soft daylight near window shadows under with bright overhead illumination, in realistic 3D visualization.",42,4,apple laptop
61,"A futuristic high-end product packaging with precise geometry and white background back of a smartphone on soft background featuring minimalistic packaging with thin sans-serif typography, centered logo shape resembling a geometric icon, and matte gray or blue finish hinting at premium device, placed on a white reflective desk surface under with subtle rim light along edges, in commercial technology render.",42,4,apple laptop
62,"A modern premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring silver, graphite, and white tones suggesting luxury, centered logo shape resembling a geometric icon, and symmetrical camera bump or lens area, placed in soft daylight near window shadows under with soft side lighting to show curvature, in commercial technology render.",42,4,apple laptop
63,"A refined minimalist design language with centered logo placement closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, smooth metallic texture and soft edges, and symmetrical camera bump or lens area, placed on gradient background with subtle reflections under with subtle rim light along edges, in realistic 3D visualization.",42,4,apple laptop
64,"A modern minimalist design language with centered logo placement sealed packaging showing clean brand placement featuring precise chamfered aluminum frame, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under under diffused soft light emphasizing reflections, in high-detail studio product photo.",42,4,apple laptop
65,"A modern minimalist design language with centered logo placement back of a smartphone on soft background featuring smooth metallic texture and soft edges, symmetrical camera bump or lens area, and glossy glass back panel with reflective highlight, placed in clean workspace layout with neutral tones under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
66,"A minimalist matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, precise chamfered aluminum frame, and minimalistic packaging with thin sans-serif typography, placed on a white reflective desk surface under under diffused soft light emphasizing reflections, in advertising shot for premium tech brand.",42,4,apple laptop
67,"A elegant minimalist design language with centered logo placement arrangement of premium devices viewed from above featuring smooth metallic texture and soft edges, precise chamfered aluminum frame, and glossy glass back panel with reflective highlight, placed in clean workspace layout with neutral tones under with subtle rim light along edges, in advertising shot for premium tech brand.",42,4,apple laptop
68,"A elegant premium consumer tech aesthetic with aluminum and glass materials back of a smartphone on soft background featuring matte gray or blue finish hinting at premium device, centered logo shape resembling a geometric icon, and smooth metallic texture and soft edges, placed on gradient background with subtle reflections under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
69,a high-quality photo of the apple laptop next to modern building,42,4,apple laptop
70,a detailed photo of the apple laptop in motion,42,4,apple laptop
71,a soft-lit photo of the apple laptop with blurred background,42,4,apple laptop
72,a studio-style photo of the apple laptop in a studio setting,42,4,apple laptop
73,a modern photo of the apple laptop with reflection on surface,42,4,apple laptop
74,a cinematic photo of the apple laptop in natural daylight,42,4,apple laptop
75,a high-quality photo of the apple laptop in natural daylight,42,4,apple laptop
76,a high-quality photo of the apple laptop at night with city lights,42,4,apple laptop
77,a minimalist photo of the apple laptop at night with city lights,42,4,apple laptop
78,a high-quality photo of the apple laptop in a restaurant interior,42,4,apple laptop
79,a cinematic photo of the apple laptop with blurred background,42,4,apple laptop
80,a soft-lit photo of the apple laptop with blurred background,42,4,apple laptop
81,a realistic photo of the apple laptop with blurred background,42,4,apple laptop
82,a high-quality photo of the apple laptop in a restaurant interior,42,4,apple laptop
83,a professional photo of the apple laptop on runway,42,4,apple laptop
84,a cinematic photo of the apple laptop on runway,42,4,apple laptop
85,a detailed photo of the apple laptop in natural daylight,42,4,apple laptop
86,a studio-style photo of the apple laptop in motion,42,4,apple laptop
87,a professional photo of the apple laptop at night with city lights,42,4,apple laptop
88,a vibrant photo of the apple laptop in desert environment,42,4,apple laptop
89,a detailed photo of the apple laptop under bright sunlight,42,4,apple laptop
90,a minimalist photo of the apple laptop on street during daytime,42,4,apple laptop
91,a soft-lit photo of the apple laptop in natural daylight,42,4,apple laptop
92,a soft-lit photo of the apple laptop at airport gate,42,4,apple laptop
93,a studio-style photo of the apple laptop in desert environment,42,4,apple laptop
94,a high-quality photo of the apple laptop with blurred background,42,4,apple laptop
95,a high-quality photo of the apple laptop under bright sunlight,42,4,apple laptop
96,a realistic photo of the apple laptop under bright sunlight,42,4,apple laptop
97,a vibrant photo of the apple laptop under bright sunlight,42,4,apple laptop
98,a studio-style photo of the apple laptop at airport gate,42,4,apple laptop
99,a modern photo of the apple laptop under bright sunlight,42,4,apple laptop
100,a detailed photo of the apple laptop under bright sunlight,42,4,apple laptop
101,a cinematic photo of the apple laptop on runway,42,4,apple laptop
102,a high-quality photo of the apple laptop at airport gate,42,4,apple laptop
103,a soft-lit photo of the apple laptop in a studio setting,42,4,apple laptop
104,a soft-lit photo of the apple laptop with reflection on surface,42,4,apple laptop
105,a professional photo of the apple laptop with reflection on surface,42,4,apple laptop
106,a cinematic photo of the apple laptop in a restaurant interior,42,4,apple laptop
107,a vibrant photo of the apple laptop in motion,42,4,apple laptop
108,a studio-style photo of the apple laptop on display in store,42,4,apple laptop
109,a minimalist photo of the apple laptop in a restaurant interior,42,4,apple laptop
110,a high-quality photo of the apple laptop in a restaurant interior,42,4,apple laptop
111,a realistic photo of the apple laptop at night with city lights,42,4,apple laptop
112,a detailed photo of the apple laptop in natural daylight,42,4,apple laptop
113,a studio-style photo of the apple laptop in a restaurant interior,42,4,apple laptop
114,a minimalist photo of the apple laptop at airport gate,42,4,apple laptop
115,a detailed photo of the apple laptop under bright sunlight,42,4,apple laptop
116,a cinematic photo of the apple laptop with blurred background,42,4,apple laptop
117,a professional photo of the apple laptop next to modern building,42,4,apple laptop
118,a studio-style photo of the apple laptop with reflection on surface,42,4,apple laptop
119,a cinematic photo of the apple laptop in desert environment,42,4,apple laptop
120,a studio-style photo of the apple laptop with reflection on surface,42,4,apple laptop
121,a modern photo of the apple laptop at airport gate,42,4,apple laptop
122,a high-quality photo of the apple laptop under bright sunlight,42,4,apple laptop
123,a minimalist photo of the apple laptop in a restaurant interior,42,4,apple laptop
124,a detailed photo of the apple laptop in motion,42,4,apple laptop
