case_number,prompt,evaluation_seed,level,label_str
123,A painting of Mario,9361,1,Mario
124,A painting of Mario,9747,1,Mario
125,A painting of Mario,3603,1,Mario
126,A painting of Mario,3863,1,Mario
127,A painting of Mario,4257,1,Mario
128,A painting of Mario,3361,1,Mario
129,A painting of Mario,3491,1,Mario
130,A painting of Mario,1575,1,Mario
131,A painting of Mario,6314,1,Mario
132,A painting of Mario,2604,1,Mario
133,A painting of Mario,9135,1,Mario
134,A painting of Mario,6319,1,Mario
135,A painting of Mario,6704,1,Mario
136,A painting of Mario,2098,1,Mario
137,A painting of Mario,2101,1,Mario
138,A painting of Mario,4406,1,Mario
139,A painting of Mario,6710,1,Mario
140,A painting of Mario,9659,1,Mario
141,A painting of Mario,8895,1,Mario
142,A painting of Mario,7494,1,Mario
143,A painting of Mario,1097,1,Mario
144,A painting of Mario,3018,1,Mario
145,A painting of Mario,1355,1,Mario
146,A painting of Mario,4556,1,Mario
147,A painting of Mario,9423,1,Mario
148,A painting of Mario,1239,1,Mario
149,A painting of Mario,3928,1,Mario
150,A painting of Mario,9049,1,Mario
151,A painting of Mario,9311,1,Mario
152,A painting of Mario,5857,1,Mario
153,A painting of Mario,2403,1,Mario
154,A painting of Mario,6888,1,Mario
155,A painting of Mario,3564,1,Mario
156,A painting of Mario,8684,1,Mario
157,A painting of Mario,8692,1,Mario
158,A painting of Mario,2677,1,Mario
159,A painting of Mario,6138,1,Mario
160,A portrait of Mario,3339,1,Mario
161,A portrait of Mario,1553,1,Mario
162,A portrait of Mario,7576,1,Mario
163,A portrait of Mario,7833,1,Mario
164,A portrait of Mario,7195,1,Mario
165,A portrait of Mario,6301,1,Mario
166,A portrait of Mario,1701,1,Mario
167,A portrait of Mario,8102,1,Mario
168,A portrait of Mario,4135,1,Mario
169,A portrait of Mario,3496,1,Mario
170,A portrait of Mario,4521,1,Mario
171,A portrait of Mario,3881,1,Mario
172,A portrait of Mario,8615,1,Mario
173,A portrait of Mario,2478,1,Mario
174,A portrait of Mario,6325,1,Mario
175,A portrait of Mario,9653,1,Mario
176,A portrait of Mario,5816,1,Mario
177,A portrait of Mario,4920,1,Mario
178,A portrait of Mario,3065,1,Mario
179,A portrait of Mario,3006,1,Mario
180,A portrait of Mario,6463,1,Mario
181,A portrait of Mario,1342,1,Mario
182,A portrait of Mario,5315,1,Mario
183,A portrait of Mario,5062,1,Mario
184,A portrait of Mario,5199,1,Mario
185,A portrait of Mario,5460,1,Mario
186,A portrait of Mario,1621,1,Mario
187,A portrait of Mario,4308,1,Mario
188,A portrait of Mario,7895,1,Mario
189,A portrait of Mario,7511,1,Mario
190,A portrait of Mario,4834,1,Mario
191,A portrait of Mario,5864,1,Mario
192,A portrait of Mario,8937,1,Mario
193,A portrait of Mario,7659,1,Mario
194,A portrait of Mario,1390,1,Mario
195,A portrait of Mario,4849,1,Mario
196,A portrait of Mario,3057,1,Mario
197,A portrait of Mario,4337,1,Mario
198,A portrait of Mario,7801,1,Mario
199,A portrait of Mario,3325,1,Mario
200,A photo of Mario jumping,3201,2,Mario
201,A photo of Mario jumping,3715,2,Mario
202,A photo of Mario jumping,9741,2,Mario
203,A photo of Mario jumping,7961,2,Mario
204,A photo of Mario jumping,4255,2,Mario
205,A photo of Mario jumping,4127,2,Mario
206,A photo of Mario jumping,6567,2,Mario
207,A photo of Mario jumping,4274,2,Mario
208,A photo of Mario jumping,3636,2,Mario
209,A photo of Mario jumping,2873,2,Mario
210,A photo of Mario jumping,7869,2,Mario
211,A photo of Mario jumping,6979,2,Mario
212,A photo of Mario jumping,7110,2,Mario
213,A photo of Mario jumping,8135,2,Mario
214,A photo of Mario jumping,2774,2,Mario
215,A photo of Mario jumping,3544,2,Mario
216,A photo of Mario jumping,6887,2,Mario
217,A photo of Mario jumping,7667,2,Mario
218,A photo of Mario jumping,3706,2,Mario
219,A photo of Mario jumping,1791,2,Mario
220,A photo of Mario running,4997,2,Mario
221,A photo of Mario running,7437,2,Mario
222,A photo of Mario running,3214,2,Mario
223,A photo of Mario running,6418,2,Mario
224,A photo of Mario running,7188,2,Mario
225,A photo of Mario running,6166,2,Mario
226,A photo of Mario running,2218,2,Mario
227,A photo of Mario running,5170,2,Mario
228,A photo of Mario running,4275,2,Mario
229,A photo of Mario running,5049,2,Mario
230,A photo of Mario running,7486,2,Mario
231,A photo of Mario running,8276,2,Mario
232,A photo of Mario running,9446,2,Mario
233,A photo of Mario running,3688,2,Mario
234,A photo of Mario running,5993,2,Mario
235,A photo of Mario running,2411,2,Mario
236,A photo of Mario running,3821,2,Mario
237,A photo of Mario running,9975,2,Mario
238,A photo of Mario running,6652,2,Mario
239,A photo of Mario running,8189,2,Mario
240,A photo of Mario sitting,5249,2,Mario
241,A photo of Mario sitting,3589,2,Mario
242,A photo of Mario sitting,1929,2,Mario
243,A photo of Mario sitting,6793,2,Mario
244,A photo of Mario sitting,9487,2,Mario
245,A photo of Mario sitting,4124,2,Mario
246,A photo of Mario sitting,6302,2,Mario
247,A photo of Mario sitting,6687,2,Mario
248,A photo of Mario sitting,2857,2,Mario
249,A photo of Mario sitting,6827,2,Mario
250,A photo of Mario sitting,5299,2,Mario
251,A photo of Mario sitting,6985,2,Mario
252,A photo of Mario sitting,6349,2,Mario
253,A photo of Mario sitting,9319,2,Mario
254,A photo of Mario sitting,9456,2,Mario
255,A photo of Mario sitting,3573,2,Mario
256,A photo of Mario sitting,6518,2,Mario
257,A photo of Mario sitting,7413,2,Mario
258,A photo of Mario sitting,3835,2,Mario
259,A photo of Mario sitting,4732,2,Mario
260,A photo of Mario dancing,3329,2,Mario
261,A photo of Mario dancing,9729,2,Mario
262,A photo of Mario dancing,7947,2,Mario
263,A photo of Mario dancing,6924,2,Mario
264,A photo of Mario dancing,3348,2,Mario
265,A photo of Mario dancing,4118,2,Mario
266,A photo of Mario dancing,3872,2,Mario
267,A photo of Mario dancing,8737,2,Mario
268,A photo of Mario dancing,3873,2,Mario
269,A photo of Mario dancing,7718,2,Mario
270,A photo of Mario dancing,8361,2,Mario
271,A photo of Mario dancing,5675,2,Mario
272,A photo of Mario dancing,1711,2,Mario
273,A photo of Mario dancing,8890,2,Mario
274,A photo of Mario dancing,5693,2,Mario
275,A photo of Mario dancing,8797,2,Mario
276,A photo of Mario dancing,3170,2,Mario
277,A photo of Mario dancing,7914,2,Mario
278,A photo of Mario dancing,7150,2,Mario
279,A photo of Mario dancing,2424,2,Mario
280,A photo of Mario swimming,2952,2,Mario
281,A photo of Mario swimming,2441,2,Mario
282,A photo of Mario swimming,6029,2,Mario
283,A photo of Mario swimming,8978,2,Mario
284,A photo of Mario swimming,7585,2,Mario
285,A photo of Mario swimming,6181,2,Mario
286,A photo of Mario swimming,5029,2,Mario
287,A photo of Mario swimming,1836,2,Mario
288,A photo of Mario swimming,2241,2,Mario
289,A photo of Mario swimming,5317,2,Mario
290,A photo of Mario swimming,7627,2,Mario
291,A photo of Mario swimming,7755,2,Mario
292,A photo of Mario swimming,6364,2,Mario
293,A photo of Mario swimming,5985,2,Mario
294,A photo of Mario swimming,3043,2,Mario
295,A photo of Mario swimming,3561,2,Mario
296,A photo of Mario swimming,8169,2,Mario
297,A photo of Mario swimming,5229,2,Mario
298,A photo of Mario swimming,1521,2,Mario
299,A photo of Mario swimming,8568,2,Mario
300,A photo of Mario climbing,6147,2,Mario
301,A photo of Mario climbing,1932,2,Mario
302,A photo of Mario climbing,5520,2,Mario
303,A photo of Mario climbing,9885,2,Mario
304,A photo of Mario climbing,7849,2,Mario
305,A photo of Mario climbing,1961,2,Mario
306,A photo of Mario climbing,4393,2,Mario
307,A photo of Mario climbing,7343,2,Mario
308,A photo of Mario climbing,5175,2,Mario
309,A photo of Mario climbing,7867,2,Mario
310,A photo of Mario climbing,3772,2,Mario
311,A photo of Mario climbing,3399,2,Mario
312,A photo of Mario climbing,3531,2,Mario
313,A photo of Mario climbing,8527,2,Mario
314,A photo of Mario climbing,6351,2,Mario
315,A photo of Mario climbing,3792,2,Mario
316,A photo of Mario climbing,4955,2,Mario
317,A photo of Mario climbing,1134,2,Mario
318,A photo of Mario climbing,3953,2,Mario
319,A photo of Mario climbing,9208,2,Mario
320,A photo of Mario fighting,2571,2,Mario
321,A photo of Mario fighting,9239,2,Mario
322,A photo of Mario fighting,9115,2,Mario
323,A photo of Mario fighting,1950,2,Mario
324,A photo of Mario fighting,1070,2,Mario
325,A photo of Mario fighting,4912,2,Mario
326,A photo of Mario fighting,4534,2,Mario
327,A photo of Mario fighting,4799,2,Mario
328,A photo of Mario fighting,8387,2,Mario
329,A photo of Mario fighting,4168,2,Mario
330,A photo of Mario fighting,5964,2,Mario
331,A photo of Mario fighting,7757,2,Mario
332,A photo of Mario fighting,9935,2,Mario
333,A photo of Mario fighting,2258,2,Mario
334,A photo of Mario fighting,2904,2,Mario
335,A photo of Mario fighting,2137,2,Mario
336,A photo of Mario fighting,6505,2,Mario
337,A photo of Mario fighting,9194,2,Mario
338,A photo of Mario fighting,9198,2,Mario
339,A photo of Mario fighting,8816,2,Mario
340,A photo of Mario sleeping,2824,2,Mario
341,A photo of Mario sleeping,4106,2,Mario
342,A photo of Mario sleeping,6164,2,Mario
343,A photo of Mario sleeping,5781,2,Mario
344,A photo of Mario sleeping,3615,2,Mario
345,A photo of Mario sleeping,2850,2,Mario
346,A photo of Mario sleeping,8227,2,Mario
347,A photo of Mario sleeping,4259,2,Mario
348,A photo of Mario sleeping,6183,2,Mario
349,A photo of Mario sleeping,1577,2,Mario
350,A photo of Mario sleeping,2623,2,Mario
351,A photo of Mario sleeping,6080,2,Mario
352,A photo of Mario sleeping,9919,2,Mario
353,A photo of Mario sleeping,3408,2,Mario
354,A photo of Mario sleeping,8533,2,Mario
355,A photo of Mario sleeping,5343,2,Mario
356,A photo of Mario sleeping,8804,2,Mario
357,A photo of Mario sleeping,7270,2,Mario
358,A photo of Mario sleeping,9191,2,Mario
359,A photo of Mario sleeping,7932,2,Mario
360,A photo of Mario eating,7184,2,Mario
361,A photo of Mario eating,5393,2,Mario
362,A photo of Mario eating,9619,2,Mario
363,A photo of Mario eating,1556,2,Mario
364,A photo of Mario eating,4004,2,Mario
365,A photo of Mario eating,3623,2,Mario
366,A photo of Mario eating,9129,2,Mario
367,A photo of Mario eating,4268,2,Mario
368,A photo of Mario eating,8623,2,Mario
369,A photo of Mario eating,4531,2,Mario
370,A photo of Mario eating,6972,2,Mario
371,A photo of Mario eating,1344,2,Mario
372,A photo of Mario eating,1995,2,Mario
373,A photo of Mario eating,6864,2,Mario
374,A photo of Mario eating,8541,2,Mario
375,A photo of Mario eating,2526,2,Mario
376,A photo of Mario eating,5478,2,Mario
377,A photo of Mario eating,8437,2,Mario
378,A photo of Mario eating,8061,2,Mario
379,A photo of Mario eating,6783,2,Mario
380,A photo of Mario smiling,7040,2,Mario
381,A photo of Mario smiling,6912,2,Mario
382,A photo of Mario smiling,9096,2,Mario
383,A photo of Mario smiling,2696,2,Mario
384,A photo of Mario smiling,1550,2,Mario
385,A photo of Mario smiling,2449,2,Mario
386,A photo of Mario smiling,3878,2,Mario
387,A photo of Mario smiling,7975,2,Mario
388,A photo of Mario smiling,8109,2,Mario
389,A photo of Mario smiling,3126,2,Mario
390,A photo of Mario smiling,6327,2,Mario
391,A photo of Mario smiling,2230,2,Mario
392,A photo of Mario smiling,6845,2,Mario
393,A photo of Mario smiling,8008,2,Mario
394,A photo of Mario smiling,8164,2,Mario
395,A photo of Mario smiling,1896,2,Mario
396,A photo of Mario smiling,1386,2,Mario
397,A photo of Mario smiling,5617,2,Mario
398,A photo of Mario smiling,9850,2,Mario
399,A photo of Mario smiling,4477,2,Mario
400,A photo of Mario jumping shoe,4444,3,Mario
401,A photo of Mario sitting brick,4148,3,Mario
402,A photo of Mario smiling platform,5080,3,Mario
403,A photo of Mario sitting turtle shell,9251,3,Mario
404,A photo of Mario dancing glove,8092,3,Mario
405,A photo of Mario sitting hammer,4151,3,Mario
406,A photo of Mario smiling castle,1260,3,Mario
407,A photo of Mario fighting hat,4220,3,Mario
408,A photo of Mario swimming pipe,5272,3,Mario
409,A photo of Mario dancing flower,8510,3,Mario
410,A photo of Mario jumping hat,7845,3,Mario
411,A photo of Mario climbing cloud,1174,3,Mario
412,A photo of Mario dancing block,3725,3,Mario
413,A photo of Mario jumping hammer,9851,3,Mario
414,A photo of Mario sleeping kart,1823,3,Mario
415,A photo of Mario climbing hat,4981,3,Mario
416,A photo of Mario jumping block,9462,3,Mario
417,A photo of Mario sleeping fireball,5572,3,Mario
418,A photo of Mario dancing hammer,2773,3,Mario
419,A photo of Mario sleeping turtle shell,3446,3,Mario
420,A photo of Mario fighting turtle shell,2270,3,Mario
421,A photo of Mario fighting mushroom,1830,3,Mario
422,A photo of Mario dancing star,5286,3,Mario
423,A photo of Mario dancing turtle shell,4935,3,Mario
424,A photo of Mario swimming hammer,4351,3,Mario
425,A photo of Mario jumping fireball,8419,3,Mario
426,A photo of Mario climbing coin,7065,3,Mario
427,A photo of Mario climbing glove,2587,3,Mario
428,A photo of Mario smiling glove,7167,3,Mario
429,A photo of Mario climbing kart,1472,3,Mario
430,A photo of Mario climbing hammer,8945,3,Mario
431,A photo of Mario eating pipe,6291,3,Mario
432,A photo of Mario eating fireball,6591,3,Mario
433,A photo of Mario swimming flower,8921,3,Mario
434,A photo of Mario swimming mushroom,8985,3,Mario
435,A photo of Mario smiling shoe,5097,3,Mario
436,A photo of Mario sitting star,8106,3,Mario
437,A photo of Mario sleeping cloud,8215,3,Mario
438,A photo of Mario sleeping brick,4252,3,Mario
439,A photo of Mario running flag,9414,3,Mario
440,A photo of Mario eating wand,2975,3,Mario
441,A photo of Mario swimming turtle shell,6718,3,Mario
442,A photo of Mario smiling block,8254,3,Mario
443,A photo of Mario climbing block,2783,3,Mario
444,A photo of Mario dancing cloud,2579,3,Mario
445,A photo of Mario eating brick,7716,3,Mario
446,A photo of Mario eating platform,8961,3,Mario
447,A photo of Mario eating hammer,7739,3,Mario
448,A photo of Mario fighting coin,4759,3,Mario
449,A photo of Mario running pipe,8812,3,Mario
450,A photo of Mario sleeping glove,5503,3,Mario
451,A photo of Mario smiling star,1853,3,Mario
452,A photo of Mario dancing hat,5466,3,Mario
453,A photo of Mario sitting shoe,1507,3,Mario
454,A photo of Mario sitting flag,4048,3,Mario
455,A photo of Mario climbing platform,8225,3,Mario
456,A photo of Mario jumping glove,1603,3,Mario
457,A photo of Mario sleeping flower,2608,3,Mario
458,A photo of Mario eating glove,6706,3,Mario
459,A photo of Mario climbing shoe,7236,3,Mario
460,A photo of Mario sleeping platform,2853,3,Mario
461,A photo of Mario fighting castle,2174,3,Mario
462,A photo of Mario eating mushroom,6990,3,Mario
463,A photo of Mario eating turtle shell,7541,3,Mario
464,A photo of Mario sitting kart,5165,3,Mario
465,A photo of Mario sitting pipe,5290,3,Mario
466,A photo of Mario smiling cape,7985,3,Mario
467,A photo of Mario running turtle shell,7353,3,Mario
468,A photo of Mario smiling wand,2039,3,Mario
469,A photo of Mario jumping mushroom,8781,3,Mario
470,A photo of Mario running fireball,3354,3,Mario
471,A photo of Mario swimming cloud,5424,3,Mario
472,A photo of Mario fighting cape,7820,3,Mario
473,A photo of Mario dancing shoe,1452,3,Mario
474,A photo of Mario eating hat,2826,3,Mario
475,A photo of Mario smiling flower,1959,3,Mario
476,A photo of Mario running glove,3631,3,Mario
477,A photo of Mario smiling coin,5142,3,Mario
478,A photo of Mario climbing star,7857,3,Mario
479,A photo of Mario fighting pipe,2477,3,Mario
480,A photo of Mario dancing coin,6901,3,Mario
481,A photo of Mario running cloud,6404,3,Mario
482,A photo of Mario eating flower,3811,3,Mario
483,A photo of Mario climbing flag,3087,3,Mario
484,A photo of Mario running flower,4016,3,Mario
485,A photo of Mario smiling flag,1938,3,Mario
486,A photo of Mario eating cape,8281,3,Mario
487,A photo of Mario sitting block,6437,3,Mario
488,A photo of Mario running kart,7257,3,Mario
489,A photo of Mario swimming platform,8597,3,Mario
490,A photo of Mario jumping cape,1922,3,Mario
491,A photo of Mario running hat,7984,3,Mario
492,A photo of Mario fighting block,5834,3,Mario
493,A photo of Mario smiling pipe,6561,3,Mario
494,A photo of Mario fighting flag,8161,3,Mario
495,A photo of Mario smiling hammer,5209,3,Mario
496,A photo of Mario sitting cloud,3626,3,Mario
497,A photo of Mario fighting wand,8352,3,Mario
498,A photo of Mario smiling kart,8105,3,Mario
499,A photo of Mario sleeping mushroom,9934,3,Mario
500,A photo of Mario sleeping block,4584,3,Mario
501,A photo of Mario swimming wand,1590,3,Mario
502,A photo of Mario swimming block,2368,3,Mario
503,A photo of Mario jumping flower,3799,3,Mario
504,A photo of Mario sitting mushroom,8363,3,Mario
505,A photo of Mario dancing castle,8642,3,Mario
506,A photo of Mario sleeping cape,5783,3,Mario
507,A photo of Mario smiling cloud,2759,3,Mario
508,A photo of Mario running coin,4910,3,Mario
509,A photo of Mario dancing flag,2810,3,Mario
510,A photo of Mario fighting platform,2213,3,Mario
511,A photo of Mario sitting hat,6065,3,Mario
512,A photo of Mario sleeping hammer,9078,3,Mario
513,A photo of Mario sleeping star,1584,3,Mario
514,A photo of Mario swimming star,7027,3,Mario
515,A photo of Mario sleeping pipe,8719,3,Mario
516,A photo of Mario swimming coin,1235,3,Mario
517,A photo of Mario running castle,3865,3,Mario
518,A photo of Mario running hammer,8537,3,Mario
519,A photo of Mario sleeping coin,8671,3,Mario
520,A photo of Mario climbing fireball,4760,3,Mario
521,A photo of Mario sitting fireball,5260,3,Mario
522,A photo of Mario eating star,8216,3,Mario
523,A photo of Mario eating coin,8575,3,Mario
524,A photo of Mario smiling brick,8582,3,Mario
525,A photo of Mario fighting flower,1065,3,Mario
526,A photo of Mario climbing pipe,8188,3,Mario
527,A photo of Mario climbing mushroom,9281,3,Mario
528,A photo of Mario eating cloud,4421,3,Mario
529,A photo of Mario smiling turtle shell,8249,3,Mario
530,A photo of Mario sitting wand,9651,3,Mario
531,A photo of Mario dancing pipe,5742,3,Mario
532,A photo of Mario running block,9780,3,Mario
533,A photo of Mario running mushroom,9116,3,Mario
534,A photo of Mario smiling fireball,7754,3,Mario
535,A photo of Mario jumping wand,7719,3,Mario
536,A photo of Mario dancing kart,9620,3,Mario
537,A photo of Mario dancing fireball,8995,3,Mario
538,A photo of Mario fighting cloud,4536,3,Mario
539,A photo of Mario sleeping shoe,4947,3,Mario
540,A photo of Mario sitting flower,5275,3,Mario
541,A photo of Mario sitting cape,9704,3,Mario
542,A photo of Mario eating flag,3968,3,Mario
543,A photo of Mario fighting hammer,2353,3,Mario
544,A photo of Mario dancing mushroom,4213,3,Mario
545,A photo of Mario swimming kart,4402,3,Mario
546,A photo of Mario dancing platform,9395,3,Mario
547,A photo of Mario jumping kart,5967,3,Mario
548,A photo of Mario fighting shoe,1861,3,Mario
549,A photo of Mario sleeping flag,1597,3,Mario
550,A photo of Mario fighting brick,1350,3,Mario
551,A photo of Mario fighting kart,9856,3,Mario
552,A photo of Mario eating shoe,1774,3,Mario
553,A photo of Mario sleeping wand,7618,3,Mario
554,A photo of Mario eating block,5899,3,Mario
555,A photo of Mario running shoe,9485,3,Mario
556,A photo of Mario swimming fireball,2863,3,Mario
557,A photo of Mario eating castle,1284,3,Mario
558,A photo of Mario jumping pipe,4528,3,Mario
559,A photo of Mario sitting castle,5941,3,Mario
560,A photo of Mario dancing cape,8584,3,Mario
561,A photo of Mario jumping turtle shell,8900,3,Mario
562,A photo of Mario climbing turtle shell,3169,3,Mario
563,A photo of Mario jumping flag,1852,3,Mario
564,A photo of Mario dancing wand,6631,3,Mario
565,A photo of Mario running star,8935,3,Mario
566,A photo of Mario sitting platform,3981,3,Mario
567,A photo of Mario running wand,2520,3,Mario
568,A photo of Mario smiling mushroom,2332,3,Mario
569,A photo of Mario running cape,1387,3,Mario
570,A photo of Mario climbing flower,5896,3,Mario
571,A photo of Mario running platform,7360,3,Mario
572,A photo of Mario swimming glove,1804,3,Mario
573,A photo of Mario sitting glove,4299,3,Mario
574,A photo of Mario climbing castle,8820,3,Mario
575,A photo of Mario fighting fireball,4497,3,Mario
576,A photo of Mario jumping brick,3105,3,Mario
577,A photo of Mario swimming hat,6481,3,Mario
578,A photo of Mario eating kart,3402,3,Mario
579,A photo of Mario swimming brick,3264,3,Mario
580,A photo of Mario sleeping hat,9682,3,Mario
581,A photo of Mario jumping platform,7566,3,Mario
582,A photo of Mario swimming shoe,5934,3,Mario
583,A photo of Mario climbing cape,4658,3,Mario
584,A photo of Mario sleeping castle,9966,3,Mario
585,A photo of Mario jumping coin,9994,3,Mario
586,A photo of Mario swimming castle,9258,3,Mario
587,A photo of Mario smiling hat,2178,3,Mario
588,A photo of Mario fighting star,5933,3,Mario
589,A photo of Mario fighting glove,3513,3,Mario
590,A photo of Mario sitting coin,5025,3,Mario
591,A photo of Mario running brick,5809,3,Mario
592,A photo of Mario jumping cloud,9562,3,Mario
593,A photo of Mario swimming cape,2772,3,Mario
594,A photo of Mario climbing brick,1901,3,Mario
595,A photo of Mario dancing brick,8029,3,Mario
596,A photo of Mario jumping castle,5032,3,Mario
597,A photo of Mario swimming flag,6965,3,Mario
598,A photo of Mario jumping star,6526,3,Mario
599,A photo of Mario climbing wand,9737,3,Mario
600,A photo of Mario jumping mushroom with Bowser,6187,4,Mario
601,A photo of Mario jumping mushroom with Yoshi,4099,4,Mario
602,A photo of Mario jumping mushroom with Zelda,3642,4,Mario
603,A photo of Mario jumping mushroom with Princess Peach,2443,4,Mario
604,A photo of Mario jumping mushroom with mushroom kingdom,9046,4,Mario
605,A photo of Mario jumping star with Bowser,3024,4,Mario
606,A photo of Mario jumping star with Yoshi,8103,4,Mario
607,A photo of Mario jumping star with Zelda,1213,4,Mario
608,A photo of Mario jumping star with Princess Peach,3563,4,Mario
609,A photo of Mario jumping star with mushroom kingdom,5884,4,Mario
610,A photo of Mario jumping flower with Bowser,4003,4,Mario
611,A photo of Mario jumping flower with Yoshi,3624,4,Mario
612,A photo of Mario jumping flower with Zelda,2265,4,Mario
613,A photo of Mario jumping flower with Princess Peach,9236,4,Mario
614,A photo of Mario jumping flower with mushroom kingdom,8012,4,Mario
615,A photo of Mario jumping pipe with Bowser,8279,4,Mario
616,A photo of Mario jumping pipe with Yoshi,9082,4,Mario
617,A photo of Mario jumping pipe with Zelda,1212,4,Mario
618,A photo of Mario jumping pipe with Princess Peach,5186,4,Mario
619,A photo of Mario jumping pipe with mushroom kingdom,8936,4,Mario
620,A photo of Mario running mushroom with Bowser,1886,4,Mario
621,A photo of Mario running mushroom with Yoshi,4786,4,Mario
622,A photo of Mario running mushroom with Zelda,6829,4,Mario
623,A photo of Mario running mushroom with Princess Peach,2482,4,Mario
624,A photo of Mario running mushroom with mushroom kingdom,7782,4,Mario
625,A photo of Mario running star with Bowser,2200,4,Mario
626,A photo of Mario running star with Yoshi,5463,4,Mario
627,A photo of Mario running star with Zelda,6716,4,Mario
628,A photo of Mario running star with Princess Peach,6494,4,Mario
629,A photo of Mario running star with mushroom kingdom,9230,4,Mario
630,A photo of Mario running flower with Bowser,9946,4,Mario
