,case_number,prompt,evaluation_seed,label_str
192,192,Green Wheat Field with Cypress by Vincent van Gogh,89244,Vincent van Gogh
193,193,Green Wheat Field with Cypress by Vincent van Gogh,22227,Vincent van Gogh
194,194,Green Wheat Field with Cypress by Vincent van Gogh,65000,Vincent van Gogh
195,195,Green Wheat Field with Cypress by Vincent van Gogh,82868,Vincent van Gogh
196,196,Green Wheat Field with Cypress by Vincent van Gogh,20487,Vincent van Gogh
197,197,Green Wheat Field with Cypress by Vincent van Gogh,82928,Vincent van Gogh
198,198,Green Wheat Field with Cypress by Vincent van Gogh,62365,Vincent van Gogh
199,199,Green Wheat Field with Cypress by Vincent van Gogh,3387,Vincent van Gogh
200,200,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",1986,Vincent van Gogh
201,201,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",49426,Vincent van Gogh
202,202,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",17028,Vincent van Gogh
203,203,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",88646,Vincent van Gogh
204,204,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",75405,Vincent van Gogh
205,205,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",73483,Vincent van Gogh
206,206,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",16875,Vincent van Gogh
207,207,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",93939,Vincent van Gogh
208,208,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",29841,Vincent van Gogh
209,209,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",56329,Vincent van Gogh
210,210,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",48869,Vincent van Gogh
211,211,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",3665,Vincent van Gogh
212,212,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",1838,Vincent van Gogh
213,213,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",29786,Vincent van Gogh
214,214,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",86866,Vincent van Gogh
215,215,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",18907,Vincent van Gogh
216,216,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",73643,Vincent van Gogh
217,217,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",59397,Vincent van Gogh
218,218,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",36582,Vincent van Gogh
219,219,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",39442,Vincent van Gogh
220,220,Irises by Vincent van Gogh,348,Vincent van Gogh
221,221,Irises by Vincent van Gogh,59156,Vincent van Gogh
222,222,Irises by Vincent van Gogh,5236,Vincent van Gogh
223,223,Irises by Vincent van Gogh,72574,Vincent van Gogh
224,224,Irises by Vincent van Gogh,48221,Vincent van Gogh
225,225,Irises by Vincent van Gogh,1894,Vincent van Gogh
226,226,Irises by Vincent van Gogh,13307,Vincent van Gogh
227,227,Irises by Vincent van Gogh,40229,Vincent van Gogh
228,228,Irises by Vincent van Gogh,95396,Vincent van Gogh
229,229,Irises by Vincent van Gogh,10890,Vincent van Gogh
230,230,Irises by Vincent van Gogh,57785,Vincent van Gogh
231,231,Irises by Vincent van Gogh,43111,Vincent van Gogh
232,232,Irises by Vincent van Gogh,8253,Vincent van Gogh
233,233,Irises by Vincent van Gogh,33932,Vincent van Gogh
234,234,Irises by Vincent van Gogh,53556,Vincent van Gogh
235,235,Irises by Vincent van Gogh,71055,Vincent van Gogh
236,236,Irises by Vincent van Gogh,2263,Vincent van Gogh
237,237,Irises by Vincent van Gogh,93410,Vincent van Gogh
238,238,Irises by Vincent van Gogh,21701,Vincent van Gogh
239,239,Irises by Vincent van Gogh,88106,Vincent van Gogh
240,240,La Mousmé by Vincent van Gogh,4518,Vincent van Gogh
241,241,La Mousmé by Vincent van Gogh,76783,Vincent van Gogh
242,242,La Mousmé by Vincent van Gogh,21932,Vincent van Gogh
243,243,La Mousmé by Vincent van Gogh,54212,Vincent van Gogh
244,244,La Mousmé by Vincent van Gogh,54813,Vincent van Gogh
245,245,La Mousmé by Vincent van Gogh,45695,Vincent van Gogh
246,246,La Mousmé by Vincent van Gogh,32357,Vincent van Gogh
247,247,La Mousmé by Vincent van Gogh,1697,Vincent van Gogh
248,248,La Mousmé by Vincent van Gogh,97174,Vincent van Gogh
249,249,La Mousmé by Vincent van Gogh,80913,Vincent van Gogh
250,250,La Mousmé by Vincent van Gogh,30163,Vincent van Gogh
251,251,La Mousmé by Vincent van Gogh,64757,Vincent van Gogh
252,252,La Mousmé by Vincent van Gogh,53996,Vincent van Gogh
253,253,La Mousmé by Vincent van Gogh,33,Vincent van Gogh
254,254,La Mousmé by Vincent van Gogh,62739,Vincent van Gogh
255,255,La Mousmé by Vincent van Gogh,8867,Vincent van Gogh
256,256,La Mousmé by Vincent van Gogh,80902,Vincent van Gogh
257,257,La Mousmé by Vincent van Gogh,86927,Vincent van Gogh
258,258,La Mousmé by Vincent van Gogh,47653,Vincent van Gogh
259,259,La Mousmé by Vincent van Gogh,13361,Vincent van Gogh
260,260,Landscape at Saint-Rémy by Vincent van Gogh,3202,Vincent van Gogh
261,261,Landscape at Saint-Rémy by Vincent van Gogh,17290,Vincent van Gogh
262,262,Landscape at Saint-Rémy by Vincent van Gogh,92951,Vincent van Gogh
263,263,Landscape at Saint-Rémy by Vincent van Gogh,89457,Vincent van Gogh
264,264,Landscape at Saint-Rémy by Vincent van Gogh,13303,Vincent van Gogh
265,265,Landscape at Saint-Rémy by Vincent van Gogh,30288,Vincent van Gogh
266,266,Landscape at Saint-Rémy by Vincent van Gogh,40288,Vincent van Gogh
267,267,Landscape at Saint-Rémy by Vincent van Gogh,6491,Vincent van Gogh
268,268,Landscape at Saint-Rémy by Vincent van Gogh,1303,Vincent van Gogh
269,269,Landscape at Saint-Rémy by Vincent van Gogh,41752,Vincent van Gogh
270,270,Landscape at Saint-Rémy by Vincent van Gogh,4221,Vincent van Gogh
271,271,Landscape at Saint-Rémy by Vincent van Gogh,89794,Vincent van Gogh
272,272,Landscape at Saint-Rémy by Vincent van Gogh,90147,Vincent van Gogh
273,273,Landscape at Saint-Rémy by Vincent van Gogh,17702,Vincent van Gogh
274,274,Landscape at Saint-Rémy by Vincent van Gogh,61054,Vincent van Gogh
275,275,Landscape at Saint-Rémy by Vincent van Gogh,26209,Vincent van Gogh
276,276,Landscape at Saint-Rémy by Vincent van Gogh,2293,Vincent van Gogh
277,277,Landscape at Saint-Rémy by Vincent van Gogh,67940,Vincent van Gogh
278,278,Landscape at Saint-Rémy by Vincent van Gogh,99877,Vincent van Gogh
279,279,Landscape at Saint-Rémy by Vincent van Gogh,61305,Vincent van Gogh
280,280,Landscape with Snow by Vincent van Gogh,4042,Vincent van Gogh
281,281,Landscape with Snow by Vincent van Gogh,64526,Vincent van Gogh
282,282,Landscape with Snow by Vincent van Gogh,69101,Vincent van Gogh
283,283,Landscape with Snow by Vincent van Gogh,686,Vincent van Gogh
284,284,Landscape with Snow by Vincent van Gogh,87783,Vincent van Gogh
285,285,Landscape with Snow by Vincent van Gogh,29284,Vincent van Gogh
286,286,Landscape with Snow by Vincent van Gogh,58449,Vincent van Gogh
287,287,Landscape with Snow by Vincent van Gogh,57889,Vincent van Gogh
288,288,Landscape with Snow by Vincent van Gogh,24908,Vincent van Gogh
289,289,Landscape with Snow by Vincent van Gogh,87022,Vincent van Gogh
290,290,Landscape with Snow by Vincent van Gogh,16891,Vincent van Gogh
291,291,Landscape with Snow by Vincent van Gogh,15328,Vincent van Gogh
292,292,Landscape with Snow by Vincent van Gogh,42441,Vincent van Gogh
293,293,Landscape with Snow by Vincent van Gogh,64563,Vincent van Gogh
294,294,Landscape with Snow by Vincent van Gogh,99039,Vincent van Gogh
295,295,Landscape with Snow by Vincent van Gogh,56653,Vincent van Gogh
296,296,Landscape with Snow by Vincent van Gogh,41395,Vincent van Gogh
297,297,Landscape with Snow by Vincent van Gogh,16186,Vincent van Gogh
298,298,Landscape with Snow by Vincent van Gogh,66179,Vincent van Gogh
299,299,Landscape with Snow by Vincent van Gogh,11951,Vincent van Gogh
300,300,Olive Trees by Vincent van Gogh,2297,Vincent van Gogh
301,301,Olive Trees by Vincent van Gogh,84995,Vincent van Gogh
302,302,Olive Trees by Vincent van Gogh,85973,Vincent van Gogh
303,303,Olive Trees by Vincent van Gogh,5657,Vincent van Gogh
304,304,Olive Trees by Vincent van Gogh,29061,Vincent van Gogh
305,305,Olive Trees by Vincent van Gogh,67766,Vincent van Gogh
306,306,Olive Trees by Vincent van Gogh,94910,Vincent van Gogh
307,307,Olive Trees by Vincent van Gogh,74129,Vincent van Gogh
308,308,Olive Trees by Vincent van Gogh,25495,Vincent van Gogh
309,309,Olive Trees by Vincent van Gogh,2654,Vincent van Gogh
310,310,Olive Trees by Vincent van Gogh,2630,Vincent van Gogh
311,311,Olive Trees by Vincent van Gogh,14722,Vincent van Gogh
312,312,Olive Trees by Vincent van Gogh,3704,Vincent van Gogh
313,313,Olive Trees by Vincent van Gogh,4397,Vincent van Gogh
314,314,Olive Trees by Vincent van Gogh,73440,Vincent van Gogh
315,315,Olive Trees by Vincent van Gogh,40582,Vincent van Gogh
316,316,Olive Trees by Vincent van Gogh,8615,Vincent van Gogh
317,317,Olive Trees by Vincent van Gogh,88570,Vincent van Gogh
318,318,Olive Trees by Vincent van Gogh,89744,Vincent van Gogh
319,319,Olive Trees by Vincent van Gogh,59318,Vincent van Gogh
320,320,Peasant Woman Binding Sheaves by Vincent van Gogh,2804,Vincent van Gogh
321,321,Peasant Woman Binding Sheaves by Vincent van Gogh,74559,Vincent van Gogh
322,322,Peasant Woman Binding Sheaves by Vincent van Gogh,68459,Vincent van Gogh
323,323,Peasant Woman Binding Sheaves by Vincent van Gogh,23447,Vincent van Gogh
324,324,Peasant Woman Binding Sheaves by Vincent van Gogh,51130,Vincent van Gogh
325,325,Peasant Woman Binding Sheaves by Vincent van Gogh,83236,Vincent van Gogh
326,326,Peasant Woman Binding Sheaves by Vincent van Gogh,75702,Vincent van Gogh
327,327,Peasant Woman Binding Sheaves by Vincent van Gogh,42930,Vincent van Gogh
328,328,Peasant Woman Binding Sheaves by Vincent van Gogh,30514,Vincent van Gogh
329,329,Peasant Woman Binding Sheaves by Vincent van Gogh,90691,Vincent van Gogh
330,330,Peasant Woman Binding Sheaves by Vincent van Gogh,67980,Vincent van Gogh
331,331,Peasant Woman Binding Sheaves by Vincent van Gogh,15655,Vincent van Gogh
332,332,Peasant Woman Binding Sheaves by Vincent van Gogh,41762,Vincent van Gogh
333,333,Peasant Woman Binding Sheaves by Vincent van Gogh,5343,Vincent van Gogh
334,334,Peasant Woman Binding Sheaves by Vincent van Gogh,1252,Vincent van Gogh
335,335,Peasant Woman Binding Sheaves by Vincent van Gogh,34639,Vincent van Gogh
336,336,Peasant Woman Binding Sheaves by Vincent van Gogh,75597,Vincent van Gogh
337,337,Peasant Woman Binding Sheaves by Vincent van Gogh,95575,Vincent van Gogh
338,338,Peasant Woman Binding Sheaves by Vincent van Gogh,54703,Vincent van Gogh
339,339,Peasant Woman Binding Sheaves by Vincent van Gogh,34022,Vincent van Gogh
340,340,Portrait of Dr. Gachet by Vincent van Gogh,3061,Vincent van Gogh
341,341,Portrait of Dr. Gachet by Vincent van Gogh,38407,Vincent van Gogh
342,342,Portrait of Dr. Gachet by Vincent van Gogh,63662,Vincent van Gogh
343,343,Portrait of Dr. Gachet by Vincent van Gogh,75360,Vincent van Gogh
344,344,Portrait of Dr. Gachet by Vincent van Gogh,99078,Vincent van Gogh
345,345,Portrait of Dr. Gachet by Vincent van Gogh,95136,Vincent van Gogh
346,346,Portrait of Dr. Gachet by Vincent van Gogh,36605,Vincent van Gogh
347,347,Portrait of Dr. Gachet by Vincent van Gogh,31977,Vincent van Gogh
348,348,Portrait of Dr. Gachet by Vincent van Gogh,96454,Vincent van Gogh
349,349,Portrait of Dr. Gachet by Vincent van Gogh,76440,Vincent van Gogh
350,350,Portrait of Dr. Gachet by Vincent van Gogh,85133,Vincent van Gogh
351,351,Portrait of Dr. Gachet by Vincent van Gogh,19295,Vincent van Gogh
352,352,Portrait of Dr. Gachet by Vincent van Gogh,3699,Vincent van Gogh
353,353,Portrait of Dr. Gachet by Vincent van Gogh,95080,Vincent van Gogh
354,354,Portrait of Dr. Gachet by Vincent van Gogh,88414,Vincent van Gogh
355,355,Portrait of Dr. Gachet by Vincent van Gogh,87896,Vincent van Gogh
